Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR JAN 2025 0,CR JAN 2025 1,CR JAN 2025 2,CR JAN 2025 3,CR JUL 2025 0,CR JUL 2025 1,CR JUL 2025 2,CR JUL 2025 3
JIPMER-All India,OBC-PwD,Pondicherry,"JIPMER, Puducherry",TBRD,-,-,-,-,-,28479,28479,-,-,-,-,-,-
AIIMS-All India,OBC,Maharashtra,"AIIMS, Nagpur",MICROBIOLOGY,-,-,-,-,-,-,-,-,-,6621,7324,11840,28563
JIPMER-All India,ST,Pondicherry,"JIPMER, Puducherry",PHYSIOLOGY,-,-,-,-,-,25450,25450,28603,-,-,15888,-,-
AIIMS-All India,ST,Maharashtra,"AIIMS, Nagpur",BIOCHEMISTRY,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,UR,Gujarat,"AIIMS, Rajkot",ANATOMY,-,-,-,-,-,5333,6261,9190,-,3897,3897,6083,-
AIIMS-All India,EWS,Jammu and Kashmir,"AIIMS, Jammu",BIOCHEMISTRY,-,-,-,-,-,-,-,-,-,20262,22645,28824,-
AIIMS-All India,UR-PwD,Odisha,"AIIMS, Bhubaneswar",ORTHOPAEDICS,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,EWS-PwD,Maharashtra,"AIIMS, Nagpur",ORTHOPAEDICS,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,EWS,Uttarakhand,"AIIMS, Rishikesh",ANATOMY,-,-,-,-,-,-,-,-,-,9568,10798,28858,-
AIIMS-All India,ST,Jammu and Kashmir,"AIIMS, Jammu",FORENSIC MEDICINE,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Maharashtra,"AIIMS, Nagpur",HOSPITAL ADMINISTRATION,-,-,-,-,-,-,-,-,-,9125,-,28964,-
AIIMS-All India,ST,Gujarat,"AIIMS, Rajkot",BIOCHEMISTRY,-,-,-,-,-,29082,29082,-,-,-,-,-,-
AIIMS-All India,OBC-PwD,Maharashtra,"AIIMS, Nagpur",GENERAL MEDICINE,-,-,-,-,-,-,-,-,-,29143,29143,-,-
AIIMS-All India,SC,Uttarakhand,"AIIMS, Rishikesh",BIOCHEMISTRY,-,-,-,-,-,-,-,-,-,11868,14383,25798,-
AIIMS-All India,SC,Uttar Pradesh,"AIIMS, Rai Bareli",COMMUNITY MEDICINE,-,-,-,-,-,9940,13773,13773,29222,-,-,-,-
AIIMS-All India,ST,Chhattisgarh,"AIIMS, Raipur",IHBT,-,-,-,-,-,-,-,-,-,17401,18535,29301,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Rajasthan,"AIIMS, Jodhpur",IHBT,-,-,-,-,-,-,5814,8468,-,3691,29406,-,-
AIIMS-All India,SC,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",PHARMACOLOGY,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,SC,Odisha,"AIIMS, Bhubaneswar",PHARMACOLOGY,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,EWS,Uttar Pradesh,"AIIMS, Rai Bareli",BIOCHEMISTRY,-,-,-,-,-,-,-,-,-,15220,15220,29540,-
AIIMS-All India,UR,Jammu and Kashmir,"AIIMS, Jammu",FORENSIC MEDICINE,-,-,-,-,-,4411,6567,9958,27225,4228,4480,6702,29603
AIIMS-All India,OBC-PwD,Chhattisgarh,"AIIMS, Raipur",PATHOLOGY,-,-,-,-,-,29336,29691,-,-,-,-,-,-
AIIMS-All India,OBC,Uttar Pradesh,"AIIMS, Gorakhpur",PHYSIOLOGY,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,SC,Jharkhand,"AIIMS, Deoghar",PHARMACOLOGY,-,-,-,-,-,15594,17917,21003,29819,-,-,-,-
JIMPER-Inst. Pref,INST (JIPMER),Pondicherry,"JIPMER, Puducherry",BIOCHEMISTRY,-,-,-,-,-,-,-,6875,-,-,-,-,-
AIIMS-All India,ST,Chhattisgarh,"AIIMS, Raipur",ANATOMY,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,EWS,West Bengal,"AIIMS, Kalyani",ANATOMY,-,-,-,-,-,-,-,-,-,19722,22066,29905,-
AIIMS-All India,SC,Maharashtra,"AIIMS, Nagpur",FAMILY MEDICINE,-,-,-,-,-,-,-,-,-,7544,7544,9076,29908
AIIMS-All India,UR-PwD,Punjab,"AIIMS, Bathinda",PATHOLOGY,-,-,-,-,-,-,29911,-,-,-,-,-,-
AIIMS-All India,OBC,Chhattisgarh,"AIIMS, Raipur",BIOCHEMISTRY,-,-,-,-,-,11133,11955,15653,29952,-,-,-,-
AIIMS-All India,SC,West Bengal,"AIIMS, Kalyani",BIOCHEMISTRY,-,-,-,-,-,15815,16831,18908,29983,-,-,-,-
AIIMS-All India,SC-PwD,Uttar Pradesh,"AIIMS, Rai Bareli",GENERAL MEDICINE,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,UR-PwD,Delhi,"AIIMS, Delhi",IHBT,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,ST,Uttarakhand,"AIIMS, Rishikesh",BIOCHEMISTRY,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,ST,Gujarat,"AIIMS, Rajkot",FORENSIC MEDICINE,-,-,-,-,-,-,-,-,-,22961,18578,30463,-
AIIMS-All India,ST,Jammu and Kashmir,"AIIMS, Jammu",PHYSIOLOGY,-,-,-,-,-,26688,28949,30513,29082,-,-,-,-
AIIMS-All India,UR,Jharkhand,"AIIMS, Deoghar",MICROBIOLOGY,-,-,-,-,-,-,-,-,-,-,-,-,30653
AIIMS-All India,ST,Rajasthan,"AIIMS, Jodhpur",ANATOMY,-,-,-,-,-,23465,30124,30657,-,-,-,-,-
AIIMS-All India,ST,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",BIOCHEMISTRY,-,-,-,-,-,29767,30889,-,-,-,-,-,-
AIIMS-All India,ST,West Bengal,"AIIMS, Kalyani",FORENSIC MEDICINE,-,-,-,-,-,25325,25650,30929,-,-,-,-,-
AIIMS-All India,SC,Andhra Pradesh,"AIIMS, Mangalagiri",PHYSIOLOGY,-,-,-,-,-,-,-,-,-,-,-,-,30938
AIIMS-All India,ST,Maharashtra,"AIIMS, Nagpur",MICROBIOLOGY,-,-,-,-,-,-,-,-,-,23783,23783,30942,-
AIIMS-All India,UR-PwD,Madhya Pradesh,"AIIMS, Bhopal",GENERAL SURGERY,-,-,-,-,-,30950,-,-,-,-,-,-,-
PGIMER-All India,ST,Chandigarh,"PGIMER, Chandigarh",PHARMACOLOGY,-,-,-,-,-,21188,20910,31033,-,-,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Telangana,"AIIMS, Bibinagar",PHARMACOLOGY,-,-,-,-,-,-,-,-,-,19094,31072,-,-
AIIMS-All India,UR-PwD,Jharkhand,"AIIMS, Deoghar",COMMUNITY & FAMILY MEDICINE,-,-,-,-,-,31118,-,-,-,-,-,-,-
AIIMS-All India,SC,Uttar Pradesh,"AIIMS, Gorakhpur",PHARMACOLOGY,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,ST,Delhi,"AIIMS, Delhi",IHBT,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,UR,Jammu and Kashmir,"AIIMS, Jammu",PHARMACOLOGY,-,-,-,-,-,4399,5333,9550,21699,3218,3825,6235,31273
JIPMER-All India,UR-PwD,Pondicherry,"JIPMER, Puducherry",ANAESTHESIOLOGY,-,-,-,-,-,755,31277,937,-,-,-,-,-
AIIMS-All India,ST,Madhya Pradesh,"AIIMS, Bhopal",PHYSIOLOGY,-,-,-,-,-,25899,26688,31290,-,-,-,-,-
AIIMS-All India,UR,Gujarat,"AIIMS, Rajkot",FORENSIC MEDICINE,-,-,-,-,-,-,-,-,-,3418,4400,4810,31320
AIIMS-All India,SC,Odisha,"AIIMS, Bhubaneswar",FORENSIC MEDICINE,-,-,-,-,-,10725,11929,14198,31333,-,-,-,-
AIIMS-All India,UR,Gujarat,"AIIMS, Rajkot",MICROBIOLOGY,-,-,-,-,-,3155,4767,7542,15582,2048,3664,4543,31375
AIIMS-All India,ST,Odisha,"AIIMS, Bhubaneswar",PHYSIOLOGY,-,-,-,-,-,25243,28543,31432,-,-,-,-,-
AIIMS-All India,ST,Jammu and Kashmir,"AIIMS, Jammu",PHARMACOLOGY,-,-,-,-,-,-,-,-,-,31461,29811,31009,-
AIIMS-All India,ST,Punjab,"AIIMS, Bathinda",BIOCHEMISTRY,-,-,-,-,-,28543,23465,31527,-,-,-,-,-
AIIMS-All India,UR-PwD,Jammu and Kashmir,"AIIMS, Jammu",RADIATION ONCOLOGY,-,-,-,-,-,-,31588,-,-,-,-,-,-
AIIMS-All India,OBC,West Bengal,"AIIMS, Kalyani",BIOCHEMISTRY,-,-,-,-,-,4176,9354,12437,30967,9204,9204,12488,31693
AIIMS-All India,SC,Rajasthan,"AIIMS, Jodhpur",FORENSIC MEDICINE,-,-,-,-,-,5534,12030,18705,-,11836,13644,21632,31736
AIIMS-All India,ST,Gujarat,"AIIMS, Rajkot",ANAESTHESIOLOGY,-,-,-,-,-,-,-,-,-,15683,17401,19541,31843
AIIMS-All India,UR,Jammu and Kashmir,"AIIMS, Jammu",MICROBIOLOGY,-,-,-,-,-,4836,3654,7976,17882,2649,2778,5276,31911
AIIMS-All India,UR-PwD,Chhattisgarh,"AIIMS, Raipur",OBG,-,-,-,-,-,-,-,-,-,-,32242,-,-
AIIMS-All India,UR-PwD,Maharashtra,"AIIMS, Nagpur",OBG,-,-,-,-,-,-,-,-,-,32242,30730,-,-
AIIMS-All India,OBC,Uttar Pradesh,"AIIMS, Gorakhpur",MICROBIOLOGY,-,-,-,-,-,-,-,-,-,6542,6542,13189,33085
AIIMS-All India,UR-PwD,Andhra Pradesh,"AIIMS, Mangalagiri",ANAESTHESIOLOGY,-,-,-,-,-,-,-,-,-,33172,33172,-,-
AIIMS-All India,EWS,Chhattisgarh,"AIIMS, Raipur",PHARMACOLOGY,-,-,-,-,-,-,-,-,-,5162,5162,26842,33278
AIIMS-All India,UR,Maharashtra,"AIIMS, Nagpur",BIOCHEMISTRY,-,-,-,-,-,4090,4090,9649,-,-,-,-,33787
AIIMS-All India,UR,Assam,"AIIMS, Guwahati",FORENSIC MEDICINE,-,-,-,-,-,4148,4148,8875,26362,-,-,-,33812
AIIMS-All India,ST,Jharkhand,"AIIMS, Deoghar",PMR,-,-,-,-,-,16802,17383,25142,25142,13848,21414,33937,-
AIIMS-All India,UR,Madhya Pradesh,"AIIMS, Bhopal",ANATOMY,-,-,-,-,-,-,-,-,-,-,-,-,33966
AIIMS-Inst. Pref,UR-AIIMS-IP,Delhi,"AIIMS, Delhi",COMMUNITY MEDICINE,-,-,-,-,-,14542,8125,8125,-,5719,10075,34152,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Rajasthan,"AIIMS, Jodhpur",BIOCHEMISTRY,-,-,-,-,-,-,21291,-,-,32523,34220,-,-
AIIMS-All India,ST,Chhattisgarh,"AIIMS, Raipur",BIOCHEMISTRY,-,-,-,-,-,-,-,-,-,24098,24098,34632,-
AIIMS-All India,ST,Uttar Pradesh,"AIIMS, Gorakhpur",ENT,-,-,-,-,-,-,-,-,-,13573,15861,23541,34811
AIIMS-Inst. Pref,UR-AIIMS-IP,Uttar Pradesh,"AIIMS, Gorakhpur",MICROBIOLOGY,-,-,-,-,-,-,-,-,-,35060,2452,-,-
AIIMS-All India,UR-PwD,Uttarakhand,"AIIMS, Rishikesh",GENERAL MEDICINE,-,-,-,-,-,-,-,-,-,12202,35493,-,-
PGIMER-All India,UR-PwD,Chandigarh,"PGIMER, Chandigarh",OPHTHALMOLOGY,-,-,-,-,-,-,-,-,-,35493,-,-,-
