Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR JAN 2025 0,CR JAN 2025 1,CR JAN 2025 2,CR JAN 2025 3,CR JUL 2025 0,CR JUL 2025 1,CR JUL 2025 2,CR JUL 2025 3
AIIMS-All India,UR,Delhi,"AIIMS, Delhi",GENERAL MEDICINE,-,-,-,-,-,12,13,-,-,4,4,-,-
AIIMS-All India,UR,Delhi,"AIIMS, Delhi",RADIO DIAGNOSIS,-,-,-,-,-,5,5,-,-,7,6,7,-
JIPMER-All India,OBC,Pondicherry,"JIPMER, Puducherry",RADIO DIAGNOSIS,-,-,-,-,-,65,25,-,-,96,96,-,-
AIIMS-All India,OBC,Delhi,"AIIMS, Delhi",GENERAL MEDICINE,-,-,-,-,-,37,37,-,-,42,42,-,-
PGIMER-All India,UR,Chandigarh,"PGIMER, Chandigarh",RADIO DIAGNOSIS,-,-,-,-,-,-,-,-,-,18,13,17,-
JIPMER-All India,UR,Pondicherry,"JIPMER, Puducherry",RADIO DIAGNOSIS,-,-,-,-,-,35,35,46,-,45,45,43,-
AIIMS-All India,UR,Uttarakhand,"AIIMS, Rishikesh",RADIO DIAGNOSIS,-,-,-,-,-,27,27,27,-,32,27,27,-
AIIMS-All India,OBC,Delhi,"AIIMS, Delhi",RADIO DIAGNOSIS,-,-,-,-,-,44,60,17,-,66,66,-,-
PGIMER-All India,UR,Chandigarh,"PGIMER, Chandigarh",GENERAL MEDICINE,-,-,-,-,-,30,38,45,-,16,21,20,-
AIIMS-All India,UR,Delhi,"AIIMS, Delhi",PAEDIATRICS,-,-,-,-,-,38,30,30,-,29,29,29,-
PGIMER-All India,OBC,Chandigarh,"PGIMER, Chandigarh",RADIO DIAGNOSIS,-,-,-,-,-,60,92,92,92,83,83,83,-
AIIMS-All India,UR,Rajasthan,"AIIMS, Jodhpur",RADIO DIAGNOSIS,-,-,-,-,-,14,10,6,-,27,18,25,-
AIIMS-All India,UR,Odisha,"AIIMS, Bhubaneswar",RADIO DIAGNOSIS,-,-,-,-,-,-,-,-,-,52,58,52,-
AIIMS-All India,UR,Bihar,"AIIMS, Patna",GENERAL MEDICINE,-,-,-,-,-,71,101,101,-,117,117,117,117
AIIMS-All India,EWS,Delhi,"AIIMS, Delhi",GENERAL MEDICINE,-,-,-,-,-,98,93,-,-,54,63,-,-
AIIMS-All India,UR,Rajasthan,"AIIMS, Jodhpur",GENERAL MEDICINE,-,-,-,-,-,31,51,51,-,35,35,-,-
AIIMS-All India,UR,Uttarakhand,"AIIMS, Rishikesh",GENERAL MEDICINE,-,-,-,-,-,51,54,71,71,34,36,36,-
JIPMER-All India,UR,Pondicherry,"JIPMER, Puducherry",GENERAL MEDICINE,-,-,-,-,-,70,70,100,100,51,57,57,-
JIPMER-All India,EWS,Pondicherry,"JIPMER, Puducherry",GENERAL MEDICINE,-,-,-,-,-,220,237,237,-,205,234,234,-
AIIMS-All India,OBC,Rajasthan,"AIIMS, Jodhpur",RADIO DIAGNOSIS,-,-,-,-,-,88,123,123,-,120,132,132,-
AIIMS-All India,OBC,Delhi,"AIIMS, Delhi",NUCLEAR MEDICINE,-,-,-,-,-,216,311,-,-,-,-,-,-
AIIMS-All India,OBC,Uttarakhand,"AIIMS, Rishikesh",RADIO DIAGNOSIS,-,-,-,-,-,-,-,-,-,150,150,-,-
JIPMER-All India,OBC,Pondicherry,"JIPMER, Puducherry",GENERAL MEDICINE,-,-,-,-,-,154,159,171,-,148,173,173,173
AIIMS-All India,UR,Madhya Pradesh,"AIIMS, Bhopal",GENERAL MEDICINE,-,-,-,-,-,53,71,98,-,-,-,-,-
AIIMS-All India,UR,Gujarat,"AIIMS, Rajkot",GENERAL MEDICINE,-,-,-,-,-,-,-,-,-,187,152,156,-
AIIMS-All India,UR,Odisha,"AIIMS, Bhubaneswar",GENERAL MEDICINE,-,-,-,-,-,45,45,86,111,37,75,75,-
AIIMS-All India,UR,Delhi,"AIIMS, Delhi",NEUROSURGERY 6 YRS,-,-,-,-,-,168,106,106,-,53,53,-,-
PGIMER-All India,UR,Chandigarh,"PGIMER, Chandigarh",NUCLEAR MEDICINE,-,-,-,-,-,211,206,97,-,74,24,-,-
AIIMS-All India,UR,Madhya Pradesh,"AIIMS, Bhopal",RADIO DIAGNOSIS,-,-,-,-,-,41,31,31,31,-,-,-,-
AIIMS-All India,OBC,Madhya Pradesh,"AIIMS, Bhopal",RADIO DIAGNOSIS,-,-,-,-,-,127,153,153,-,228,209,209,209
AIIMS-All India,EWS,Uttarakhand,"AIIMS, Rishikesh",RADIO DIAGNOSIS,-,-,-,-,-,-,-,-,-,-,-,-,-
NIMHANS-All India,UR,Karnataka,"NIMHANS, Bangalore",NEUROSURGERY 6 YRS,-,-,-,-,-,8,65,-,-,68,68,-,-
AIIMS-All India,UR,Chhattisgarh,"AIIMS, Raipur",GENERAL MEDICINE,-,-,-,-,-,80,80,-,-,97,79,64,64
AIIMS-All India,UR,Maharashtra,"AIIMS, Nagpur",GENERAL MEDICINE,-,-,-,-,-,103,104,-,103,102,119,124,124
AIIMS-All India,UR,Bihar,"AIIMS, Patna",RADIO DIAGNOSIS,-,-,-,-,-,50,50,50,-,-,-,-,-
AIIMS-All India,UR,Delhi,"AIIMS, Delhi",GENERAL SURGERY,-,-,-,-,-,116,168,168,168,19,19,-,-
AIIMS-All India,UR,Chhattisgarh,"AIIMS, Raipur",RADIO DIAGNOSIS,-,-,-,-,-,99,99,99,-,58,60,60,-
AIIMS-All India,UR,Maharashtra,"AIIMS, Nagpur",RADIO DIAGNOSIS,-,-,-,-,-,97,41,-,-,73,32,32,-
AIIMS-All India,UR,Punjab,"AIIMS, Bathinda",GENERAL MEDICINE,-,-,-,-,-,109,114,114,79,-,-,-,-
AIIMS-All India,OBC,Odisha,"AIIMS, Bhubaneswar",RADIO DIAGNOSIS,-,-,-,-,-,112,112,-,-,132,120,120,-
AIIMS-All India,UR,Andhra Pradesh,"AIIMS, Mangalagiri",GENERAL MEDICINE,-,-,-,-,-,129,109,109,-,154,115,129,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Delhi,"AIIMS, Delhi",RADIO DIAGNOSIS,-,-,-,-,-,16,16,-,-,8,8,-,-
PGIMER-All India,UR,Chandigarh,"PGIMER, Chandigarh",DERMATOLOGY,-,-,-,-,-,69,56,56,-,24,26,26,99
AIIMS-All India,OBC,Bihar,"AIIMS, Patna",RADIO DIAGNOSIS,-,-,-,-,-,-,-,-,-,311,228,228,-
AIIMS-All India,UR,Odisha,"AIIMS, Bhubaneswar",DERMATOLOGY,-,-,-,-,-,-,-,-,-,-,69,86,-
PGIMER-All India,OBC,Chandigarh,"PGIMER, Chandigarh",GENERAL MEDICINE,-,-,-,-,-,72,72,81,-,84,84,84,-
AIIMS-All India,UR,Uttar Pradesh,"AIIMS, Rai Bareli",GENERAL MEDICINE,-,-,-,-,-,135,145,147,-,153,126,-,-
NIMHANS-All India,UR,Karnataka,"NIMHANS, Bangalore",NEUROLOGY 6 YRS,-,-,-,-,-,-,-,-,-,115,107,98,-
AIIMS-All India,UR,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",GENERAL MEDICINE,-,-,-,-,-,122,122,-,-,142,130,130,130
AIIMS-All India,UR,Andhra Pradesh,"AIIMS, Mangalagiri",RADIO DIAGNOSIS,-,-,-,-,-,137,155,155,155,-,-,-,-
AIIMS-All India,UR,Delhi,"AIIMS, Delhi",OBG,-,-,-,-,-,49,49,-,-,158,171,183,-
AIIMS-All India,OBC,Uttarakhand,"AIIMS, Rishikesh",GENERAL MEDICINE,-,-,-,-,-,152,152,152,-,173,240,176,-
AIIMS-All India,UR,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",RADIO DIAGNOSIS,-,-,-,-,-,150,131,-,-,71,71,71,-
AIIMS-All India,UR,West Bengal,"AIIMS, Kalyani",RADIO DIAGNOSIS,-,-,-,-,-,151,144,144,193,-,-,-,-
AIIMS-All India,OBC,Rajasthan,"AIIMS, Jodhpur",GENERAL MEDICINE,-,-,-,-,-,96,96,96,-,70,70,70,-
AIIMS-All India,UR,Chhattisgarh,"AIIMS, Raipur",DERMATOLOGY,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,UR,Delhi,"AIIMS, Delhi",OPHTHALMOLOGY,-,-,-,-,-,205,205,240,240,-,-,-,-
AIIMS-All India,UR,Uttarakhand,"AIIMS, Rishikesh",UROLOGY (6 YRS),-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,UR,Uttar Pradesh,"AIIMS, Gorakhpur",GENERAL MEDICINE,-,-,-,-,-,-,-,-,-,141,129,141,141
AIIMS-All India,UR,Jammu and Kashmir,"AIIMS, Jammu",RADIO DIAGNOSIS,-,-,-,-,-,209,197,-,-,-,-,-,-
JIPMER-All India,UR,Pondicherry,"JIPMER, Puducherry",TBRD,-,-,-,-,-,-,358,358,-,160,189,189,-
AIIMS-All India,EWS,Uttarakhand,"AIIMS, Rishikesh",GENERAL MEDICINE,-,-,-,-,-,-,-,-,-,78,205,205,-
AIIMS-All India,EWS,Odisha,"AIIMS, Bhubaneswar",GENERAL MEDICINE,-,-,-,-,-,110,98,182,-,-,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Rajasthan,"AIIMS, Jodhpur",DERMATOLOGY,-,-,-,-,-,-,-,-,-,344,-,-,-
AIIMS-All India,OBC,Maharashtra,"AIIMS, Nagpur",RADIO DIAGNOSIS,-,-,-,-,-,159,210,210,-,209,321,-,-
AIIMS-All India,UR,Delhi,"AIIMS, Delhi",INECTIOUS DISEASES 6 YRS,-,-,-,-,-,247,223,247,326,-,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Delhi,"AIIMS, Delhi",GENERAL SURGERY,-,-,-,-,-,285,285,-,434,-,-,-,-
AIIMS-All India,UR,Andhra Pradesh,"AIIMS, Mangalagiri",DERMATOLOGY,-,-,-,-,-,224,209,296,344,41,41,-,-
PGIMER-All India,UR,Chandigarh,"PGIMER, Chandigarh",ORTHOPAEDICS,-,-,-,-,-,275,288,424,-,28,28,-,-
AIIMS-All India,UR,Rajasthan,"AIIMS, Jodhpur",GENERAL SURGERY,-,-,-,-,-,252,87,-,-,175,-,-,-
AIIMS-All India,UR,Maharashtra,"AIIMS, Nagpur",NUCLEAR MEDICINE,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Chhattisgarh,"AIIMS, Raipur",RADIO DIAGNOSIS,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,UR,Delhi,"AIIMS, Delhi",ENT,-,-,-,-,-,178,178,-,-,-,-,-,-
AIIMS-All India,UR,Rajasthan,"AIIMS, Jodhpur",NEUROSURGERY 6 YRS,-,-,-,-,-,-,-,-,-,169,135,135,-
AIIMS-All India,OBC,Bihar,"AIIMS, Patna",GENERAL MEDICINE,-,-,-,-,-,213,171,187,-,-,-,-,-
PGIMER-All India,UR,Chandigarh,"PGIMER, Chandigarh",PAEDIATRICS,-,-,-,-,-,82,121,130,-,87,87,67,-
AIIMS-All India,UR,Uttarakhand,"AIIMS, Rishikesh",OBG,-,-,-,-,-,316,316,316,-,-,-,-,-
AIIMS-All India,UR,Jammu and Kashmir,"AIIMS, Jammu",GENERAL MEDICINE,-,-,-,-,-,160,160,160,-,192,153,161,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Maharashtra,"AIIMS, Nagpur",GENERAL MEDICINE,-,-,-,-,-,386,386,604,-,403,403,403,-
AIIMS-All India,OBC,Madhya Pradesh,"AIIMS, Bhopal",GENERAL MEDICINE,-,-,-,-,-,171,161,161,-,-,-,-,-
AIIMS-All India,OBC,Odisha,"AIIMS, Bhubaneswar",GENERAL MEDICINE,-,-,-,-,-,-,-,-,-,172,172,172,-
AIIMS-All India,UR,Odisha,"AIIMS, Bhubaneswar",OBG,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Madhya Pradesh,"AIIMS, Bhopal",GENERAL MEDICINE,-,-,-,-,-,383,383,-,-,-,-,-,-
AIIMS-All India,OBC,Andhra Pradesh,"AIIMS, Mangalagiri",RADIO DIAGNOSIS,-,-,-,-,-,-,-,-,-,321,282,282,-
AIIMS-All India,OBC,Punjab,"AIIMS, Bathinda",GENERAL MEDICINE,-,-,-,-,-,228,263,305,-,377,368,368,368
AIIMS-All India,EWS,Punjab,"AIIMS, Bathinda",RADIO DIAGNOSIS,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,UR,Uttarakhand,"AIIMS, Rishikesh",NEUROSURGERY 6 YRS,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,EWS,Delhi,"AIIMS, Delhi",PAEDIATRICS,-,-,-,-,-,93,310,-,-,-,-,-,-
AIIMS-All India,UR,Rajasthan,"AIIMS, Jodhpur",PAEDIATRICS,-,-,-,-,-,131,130,221,-,124,103,-,-
AIIMS-All India,UR,Bihar,"AIIMS, Patna",DERMATOLOGY,-,-,-,-,-,188,-,-,-,119,160,160,213
AIIMS-All India,UR,Madhya Pradesh,"AIIMS, Bhopal",PAEDIATRICS,-,-,-,-,-,-,146,222,-,-,-,-,-
AIIMS-All India,UR,Jharkhand,"AIIMS, Deoghar",GENERAL MEDICINE,-,-,-,-,-,-,-,-,-,190,142,142,232
AIIMS-All India,OBC,Jharkhand,"AIIMS, Deoghar",GENERAL MEDICINE,-,-,-,-,-,187,187,263,263,406,429,459,-
AIIMS-All India,UR,Chhattisgarh,"AIIMS, Raipur",PAEDIATRICS,-,-,-,-,-,192,192,288,324,156,157,190,312
AIIMS-All India,UR,Uttar Pradesh,"AIIMS, Gorakhpur",DERMATOLOGY,-,-,-,-,-,158,158,158,158,-,-,-,-
PGIMER-All India,UR,Chandigarh,"PGIMER, Chandigarh",OPHTHALMOLOGY,-,-,-,-,-,387,404,450,427,-,110,110,110
AIIMS-All India,UR,Delhi,"AIIMS, Delhi",RADIATION ONCOLOGY,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,UR,Assam,"AIIMS, Guwahati",GENERAL MEDICINE,-,-,-,-,-,-,-,124,-,161,141,153,-
AIIMS-All India,OBC,Delhi,"AIIMS, Delhi",DERMATOLOGY,-,-,-,-,-,63,63,-,-,218,218,-,-
AIIMS-All India,UR,Maharashtra,"AIIMS, Nagpur",PAEDIATRICS,-,-,-,-,-,232,232,412,412,155,167,192,192
AIIMS-All India,UR,Rajasthan,"AIIMS, Jodhpur",ORTHOPAEDICS,-,-,-,-,-,-,-,-,-,-,174,237,237
AIIMS-All India,UR,Rajasthan,"AIIMS, Jodhpur",OPHTHALMOLOGY,-,-,-,-,-,421,355,-,-,373,373,373,373
AIIMS-All India,OBC,Chhattisgarh,"AIIMS, Raipur",GENERAL MEDICINE,-,-,-,-,-,175,85,85,85,315,315,315,311
AIIMS-All India,EWS,Chhattisgarh,"AIIMS, Raipur",GENERAL MEDICINE,-,-,-,-,-,119,126,126,-,343,310,363,363
AIIMS-All India,OBC,Delhi,"AIIMS, Delhi",PAEDIATRICS,-,-,-,-,-,212,216,327,-,108,308,-,-
AIIMS-All India,UR,Odisha,"AIIMS, Bhubaneswar",ORTHOPAEDICS,-,-,-,-,-,-,-,-,-,238,286,286,-
AIIMS-All India,UR,Jammu and Kashmir,"AIIMS, Jammu",DERMATOLOGY,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,UR,Andhra Pradesh,"AIIMS, Mangalagiri",NUCLEAR MEDICINE,-,-,-,-,-,-,-,-,-,180,-,-,-
AIIMS-All India,EWS,Maharashtra,"AIIMS, Nagpur",GENERAL MEDICINE,-,-,-,-,-,-,-,-,-,363,305,310,-
JIPMER-All India,OBC,Pondicherry,"JIPMER, Puducherry",DERMATOLOGY,-,-,-,-,-,-,-,-,-,302,302,-,-
AIIMS-All India,UR,Uttarakhand,"AIIMS, Rishikesh",ORTHOPAEDICS,-,-,-,-,-,-,-,-,-,174,149,174,-
AIIMS-All India,EWS,Bihar,"AIIMS, Patna",GENERAL MEDICINE,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,EWS,Uttar Pradesh,"AIIMS, Gorakhpur",GENERAL MEDICINE,-,-,-,-,-,182,182,193,827,-,-,-,-
AIIMS-All India,EWS,Gujarat,"AIIMS, Rajkot",RADIO DIAGNOSIS,-,-,-,-,-,-,-,-,-,-,-,-,-
JIPMER-All India,UR,Pondicherry,"JIPMER, Puducherry",OBG,-,-,-,-,-,363,174,-,-,163,193,193,252
JIPMER-All India,UR,Pondicherry,"JIPMER, Puducherry",GENERAL SURGERY,-,-,-,-,-,341,376,395,365,178,178,197,-
AIIMS-All India,EWS,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",RADIO DIAGNOSIS,-,-,-,-,-,-,-,-,-,113,113,113,-
JIPMER-All India,OBC,Pondicherry,"JIPMER, Puducherry",PAEDIATRICS,-,-,-,-,-,283,279,279,545,334,334,356,-
AIIMS-All India,UR,Chhattisgarh,"AIIMS, Raipur",OBG,-,-,-,-,-,-,337,337,337,252,184,291,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Delhi,"AIIMS, Delhi",DERMATOLOGY,-,-,-,-,-,-,-,-,-,137,85,85,85
JIPMER-All India,OBC,Pondicherry,"JIPMER, Puducherry",RADIATION ONCOLOGY,-,-,-,-,-,858,-,884,-,-,856,1011,573
PGIMER-All India,UR,Chandigarh,"PGIMER, Chandigarh",GENERAL SURGERY,-,-,-,-,-,203,266,266,-,145,145,123,175
AIIMS-All India,EWS,Delhi,"AIIMS, Delhi",DERMATOLOGY,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,OBC,Madhya Pradesh,"AIIMS, Bhopal",PAEDIATRICS,-,-,-,-,-,375,-,-,-,438,524,560,-
AIIMS-All India,UR,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",PAEDIATRICS,-,-,-,-,-,-,-,355,-,323,212,347,-
PGIMER-All India,UR,Chandigarh,"PGIMER, Chandigarh",RADIATION ONCOLOGY,-,-,-,-,-,354,250,250,-,370,185,-,-
AIIMS-All India,OBC,Andhra Pradesh,"AIIMS, Mangalagiri",PAEDIATRICS,-,-,-,-,-,-,-,-,-,513,511,676,-
AIIMS-All India,UR,Punjab,"AIIMS, Bathinda",PAEDIATRICS,-,-,-,-,-,221,221,425,429,-,-,-,-
AIIMS-All India,OBC,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",RADIO DIAGNOSIS,-,-,-,-,-,235,254,254,-,-,-,-,-
AIIMS-All India,EWS,Uttarakhand,"AIIMS, Rishikesh",PAEDIATRICS,-,-,-,-,-,388,388,446,-,-,-,-,-
AIIMS-All India,UR,Chhattisgarh,"AIIMS, Raipur",RADIATION ONCOLOGY,-,-,-,-,-,622,-,622,622,-,-,-,-
AIIMS-All India,UR,Chhattisgarh,"AIIMS, Raipur",GENERAL SURGERY,-,-,-,-,-,266,-,-,-,-,-,-,-
AIIMS-All India,UR,Rajasthan,"AIIMS, Jodhpur",INECTIOUS DISEASES 6 YRS,-,-,-,-,-,-,-,-,-,-,-,-,-
JIPMER-All India,UR,Pondicherry,"JIPMER, Puducherry",ORTHOPAEDICS,-,-,-,-,-,424,424,436,436,281,237,-,-
AIIMS-All India,EWS,Maharashtra,"AIIMS, Nagpur",DERMATOLOGY,-,-,-,-,-,289,289,410,-,-,-,-,-
AIIMS-All India,UR,Uttar Pradesh,"AIIMS, Rai Bareli",PAEDIATRICS,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,OBC,Maharashtra,"AIIMS, Nagpur",GENERAL MEDICINE,-,-,-,-,-,185,185,212,-,294,294,294,294
AIIMS-All India,UR,Delhi,"AIIMS, Delhi",PSYCHIATRY,-,-,-,-,-,120,-,-,-,110,215,215,-
AIIMS-All India,UR,Uttarakhand,"AIIMS, Rishikesh",GENERAL SURGERY,-,-,-,-,-,255,297,297,-,208,175,175,-
PGIMER-All India,OBC,Chandigarh,"PGIMER, Chandigarh",NUCLEAR MEDICINE,-,-,-,-,-,-,-,-,-,92,92,92,-
AIIMS-All India,OBC,Odisha,"AIIMS, Bhubaneswar",PAEDIATRICS,-,-,-,-,-,300,467,495,495,356,402,589,-
AIIMS-All India,UR,Assam,"AIIMS, Guwahati",PAEDIATRICS,-,-,-,-,-,241,328,463,463,232,323,-,-
AIIMS-All India,OBC,Uttar Pradesh,"AIIMS, Rai Bareli",GENERAL MEDICINE,-,-,-,-,-,267,212,213,-,-,-,-,-
AIIMS-All India,UR,Bihar,"AIIMS, Patna",ORTHOPAEDICS,-,-,-,-,-,-,-,-,-,328,304,471,384
AIIMS-All India,OBC,Assam,"AIIMS, Guwahati",GENERAL MEDICINE,-,-,-,-,-,348,348,348,348,-,-,-,-
AIIMS-All India,UR,Punjab,"AIIMS, Bathinda",OPHTHALMOLOGY,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,UR,Delhi,"AIIMS, Delhi",ANAESTHESIOLOGY,-,-,-,-,-,472,440,501,903,280,299,251,404
AIIMS-All India,OBC,Uttarakhand,"AIIMS, Rishikesh",NUCLEAR MEDICINE,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,OBC,Delhi,"AIIMS, Delhi",GENERAL SURGERY,-,-,-,-,-,418,407,314,-,417,320,-,-
JIPMER-All India,OBC,Pondicherry,"JIPMER, Puducherry",TBRD,-,-,-,-,-,295,295,-,-,-,-,-,681
AIIMS-All India,UR,Jharkhand,"AIIMS, Deoghar",PAEDIATRICS,-,-,-,-,-,280,413,468,468,355,328,-,-
AIIMS-All India,OBC,Andhra Pradesh,"AIIMS, Mangalagiri",DERMATOLOGY,-,-,-,-,-,-,-,-,-,422,413,413,-
AIIMS-All India,OBC,Rajasthan,"AIIMS, Jodhpur",DERMATOLOGY,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,UR,Chhattisgarh,"AIIMS, Raipur",ORTHOPAEDICS,-,-,-,-,-,436,436,-,579,-,278,278,-
AIIMS-All India,UR,Maharashtra,"AIIMS, Nagpur",PLASTIC SURGERY 6 YRS,-,-,-,-,-,-,-,-,-,230,230,-,-
AIIMS-All India,OBC,Odisha,"AIIMS, Bhubaneswar",DERMATOLOGY,-,-,-,-,-,-,-,-,-,245,245,245,-
PGIMER-All India,UR,Chandigarh,"PGIMER, Chandigarh",OBG,-,-,-,-,-,218,218,291,-,183,183,225,-
AIIMS-All India,UR,Uttarakhand,"AIIMS, Rishikesh",EMERGENCY MEDICINE,-,-,-,-,-,669,-,-,-,-,580,580,-
PGIMER-All India,OBC,Chandigarh,"PGIMER, Chandigarh",PAEDIATRICS,-,-,-,-,-,312,309,382,573,350,388,388,-
AIIMS-All India,OBC,Uttarakhand,"AIIMS, Rishikesh",PAEDIATRICS,-,-,-,-,-,397,390,397,-,-,-,-,-
AIIMS-All India,UR,Andhra Pradesh,"AIIMS, Mangalagiri",GENERAL SURGERY,-,-,-,-,-,395,475,475,-,299,208,208,-
AIIMS-All India,UR,Rajasthan,"AIIMS, Jodhpur",OBG,-,-,-,-,-,227,291,319,-,184,158,158,-
AIIMS-All India,EWS,Rajasthan,"AIIMS, Jodhpur",PAEDIATRICS,-,-,-,-,-,206,319,437,-,-,-,-,-
AIIMS-All India,UR,Odisha,"AIIMS, Bhubaneswar",RADIATION ONCOLOGY,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,OBC,Jammu and Kashmir,"AIIMS, Jammu",GENERAL MEDICINE,-,-,-,-,-,-,-,-,-,418,459,591,-
AIIMS-All India,EWS,Delhi,"AIIMS, Delhi",OBG,-,-,-,-,-,-,-,-,-,641,508,950,-
AIIMS-All India,EWS,Uttarakhand,"AIIMS, Rishikesh",OBG,-,-,-,-,-,651,651,651,651,-,-,-,-
AIIMS-All India,UR,Madhya Pradesh,"AIIMS, Bhopal",EMERGENCY MEDICINE,-,-,-,-,-,709,522,784,1075,467,740,889,1056
AIIMS-All India,OBC,Madhya Pradesh,"AIIMS, Bhopal",NUCLEAR MEDICINE,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,OBC,Madhya Pradesh,"AIIMS, Bhopal",DERMATOLOGY,-,-,-,-,-,-,-,-,-,413,301,-,-
AIIMS-All India,OBC,Rajasthan,"AIIMS, Jodhpur",GENERAL SURGERY,-,-,-,-,-,447,418,418,-,670,585,670,-
AIIMS-All India,UR,Bihar,"AIIMS, Patna",GENERAL SURGERY,-,-,-,-,-,-,-,-,-,177,-,-,-
AIIMS-All India,UR,Maharashtra,"AIIMS, Nagpur",NEUROSURGERY 6 YRS,-,-,-,-,-,-,-,-,-,303,415,484,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Madhya Pradesh,"AIIMS, Bhopal",DERMATOLOGY,-,-,-,-,-,-,485,485,485,-,-,-,-
AIIMS-All India,UR,Uttar Pradesh,"AIIMS, Gorakhpur",GENERAL SURGERY,-,-,-,-,-,476,547,547,476,295,295,-,-
SCTIMST-All India,UR,Kerala,"Sree Chirtra Thirunal, Triv.",IHBT,-,-,-,-,-,1355,1799,1929,10124,-,-,-,-
AIIMS-All India,EWS,Jharkhand,"AIIMS, Deoghar",GENERAL MEDICINE,-,-,-,-,-,-,-,-,-,487,614,-,935
JIPMER-All India,UR,Pondicherry,"JIPMER, Puducherry",RADIATION ONCOLOGY,-,-,-,-,-,-,526,526,-,-,-,398,-
AIIMS-All India,OBC,Delhi,"AIIMS, Delhi",OBG,-,-,-,-,-,327,298,-,-,559,474,639,579
AIIMS-All India,UR,Punjab,"AIIMS, Bathinda",NEUROSURGERY 6 YRS,-,-,-,-,-,-,-,-,-,456,523,-,-
AIIMS-All India,UR,Bihar,"AIIMS, Patna",OBG,-,-,-,-,-,-,-,-,-,225,216,-,-
AIIMS-All India,OBC,Delhi,"AIIMS, Delhi",ORTHOPAEDICS,-,-,-,-,-,462,570,-,-,631,630,973,-
PGIMER-All India,OBC,Chandigarh,"PGIMER, Chandigarh",ORTHOPAEDICS,-,-,-,-,-,595,603,603,603,630,631,1055,-
JIPMER-All India,UR,Pondicherry,"JIPMER, Puducherry",ENT,-,-,-,-,-,592,726,779,-,-,318,-,318
AIIMS-All India,EWS,Delhi,"AIIMS, Delhi",GENERAL SURGERY,-,-,-,-,-,199,368,233,-,166,166,-,-
AIIMS-All India,UR,Uttar Pradesh,"AIIMS, Rai Bareli",GENERAL SURGERY,-,-,-,-,-,323,549,549,-,-,-,-,-
JIMPER-Inst. Pref,INST (JIPMER),Pondicherry,"JIPMER, Puducherry",RADIO DIAGNOSIS,-,-,-,-,-,47,47,47,-,-,-,-,-
AIIMS-All India,EWS,Madhya Pradesh,"AIIMS, Bhopal",PAEDIATRICS,-,-,-,-,-,322,322,466,-,453,399,453,-
JIPMER-All India,UR,Pondicherry,"JIPMER, Puducherry",OPHTHALMOLOGY,-,-,-,-,-,246,647,-,647,221,197,221,221
AIIMS-All India,OBC,Rajasthan,"AIIMS, Jodhpur",PAEDIATRICS,-,-,-,-,-,340,327,390,586,402,481,524,513
AIIMS-All India,EWS,Uttarakhand,"AIIMS, Rishikesh",TBRD,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,OBC,Maharashtra,"AIIMS, Nagpur",DERMATOLOGY,-,-,-,-,-,-,-,-,-,472,344,344,-
AIIMS-All India,OBC,Punjab,"AIIMS, Bathinda",RADIO DIAGNOSIS,-,-,-,-,-,153,230,230,230,-,-,-,-
AIIMS-All India,UR,Uttarakhand,"AIIMS, Rishikesh",ENT,-,-,-,-,-,-,-,-,-,-,-,-,-
