Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR JAN 2026 0,CR JAN 2026 1,CR JAN 2026 2,CR JAN 2026 3,CR JUL 2026 0,CR JUL 2026 1,CR JUL 2026 2,CR JUL 2026 3
AIIMS-Inst. Pref,UR-AIIMS-IP,Delhi,"AIIMS, Delhi",RADIO DIAGNOSIS,-,-,-,-,-,-,-,-,-,97,-,-,-
PGIMER-All India,UR,Chandigarh,"PGIMER, Chandigarh",DERMATOLOGY,-,-,-,-,-,75,75,75,-,99,-,-,-
AIIMS-All India,OBC,Bihar,"AIIMS, Patna",RADIO DIAGNOSIS,-,-,-,-,-,287,198,198,-,102,-,-,-
AIIMS-All India,UR,Odisha,"AIIMS, Bhubaneswar",DERMATOLOGY,-,-,-,-,-,-,-,-,-,104,-,-,-
PGIMER-All India,OBC,Chandigarh,"PGIMER, Chandigarh",GENERAL MEDICINE,-,-,-,-,-,135,120,120,-,106,-,-,-
AIIMS-All India,UR,Uttar Pradesh,"AIIMS, Rai Bareli",GENERAL MEDICINE,-,-,-,-,-,168,171,154,143,109,-,-,-
NIMHANS-All India,UR,Karnataka,"NIMHANS, Bangalore",NEUROLOGY 6 YRS,-,-,-,-,-,-,-,-,-,110,-,-,-
AIIMS-All India,UR,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",GENERAL MEDICINE,-,-,-,-,-,145,113,113,124,117,-,-,-
AIIMS-All India,UR,Andhra Pradesh,"AIIMS, Mangalagiri",RADIO DIAGNOSIS,-,-,-,-,-,142,142,267,267,118,-,-,-
AIIMS-All India,UR,Delhi,"AIIMS, Delhi",OBG,-,-,-,-,-,112,73,73,-,119,-,-,-
AIIMS-All India,OBC,Uttarakhand,"AIIMS, Rishikesh",GENERAL MEDICINE,-,-,-,-,-,169,161,161,-,120,-,-,-
AIIMS-All India,UR,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",RADIO DIAGNOSIS,-,-,-,-,-,-,-,-,-,122,-,-,-
AIIMS-All India,UR,West Bengal,"AIIMS, Kalyani",RADIO DIAGNOSIS,-,-,-,-,-,185,179,179,179,123,-,-,-
AIIMS-All India,OBC,Rajasthan,"AIIMS, Jodhpur",GENERAL MEDICINE,-,-,-,-,-,187,169,-,-,124,-,-,-
AIIMS-All India,UR,Chhattisgarh,"AIIMS, Raipur",DERMATOLOGY,-,-,-,-,-,-,-,-,-,125,-,-,-
AIIMS-All India,UR,Delhi,"AIIMS, Delhi",OPHTHALMOLOGY,-,-,-,-,-,-,-,235,-,127,-,-,-
AIIMS-All India,UR,Uttarakhand,"AIIMS, Rishikesh",UROLOGY (6 YRS),-,-,-,-,-,79,134,134,-,128,-,-,-
AIIMS-All India,UR,Uttar Pradesh,"AIIMS, Gorakhpur",GENERAL MEDICINE,-,-,-,-,-,149,149,180,-,131,-,-,-
AIIMS-All India,UR,Jammu and Kashmir,"AIIMS, Jammu",RADIO DIAGNOSIS,-,-,-,-,-,-,-,-,-,134,-,-,-
JIPMER-All India,UR,Pondicherry,"JIPMER, Puducherry",TBRD,-,-,-,-,-,-,-,318,459,135,-,-,-
AIIMS-All India,EWS,Uttarakhand,"AIIMS, Rishikesh",GENERAL MEDICINE,-,-,-,-,-,-,-,-,-,136,-,-,-
AIIMS-All India,EWS,Odisha,"AIIMS, Bhubaneswar",GENERAL MEDICINE,-,-,-,-,-,-,-,-,-,137,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Rajasthan,"AIIMS, Jodhpur",DERMATOLOGY,-,-,-,-,-,-,-,-,-,139,-,-,-
AIIMS-All India,OBC,Maharashtra,"AIIMS, Nagpur",RADIO DIAGNOSIS,-,-,-,-,-,295,267,287,-,142,-,-,-
AIIMS-All India,UR,Delhi,"AIIMS, Delhi",INECTIOUS DISEASES 6 YRS,-,-,-,-,-,165,168,172,-,143,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Delhi,"AIIMS, Delhi",GENERAL SURGERY,-,-,-,-,-,25,25,-,-,144,-,-,-
AIIMS-All India,UR,Andhra Pradesh,"AIIMS, Mangalagiri",DERMATOLOGY,-,-,-,-,-,-,-,-,-,145,-,-,-
PGIMER-All India,UR,Chandigarh,"PGIMER, Chandigarh",ORTHOPAEDICS,-,-,-,-,-,230,230,315,412,149,-,-,-
AIIMS-All India,UR,Rajasthan,"AIIMS, Jodhpur",GENERAL SURGERY,-,-,-,-,-,206,223,268,-,153,-,-,-
AIIMS-All India,UR,Maharashtra,"AIIMS, Nagpur",NUCLEAR MEDICINE,-,-,-,-,-,189,189,189,189,155,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Chhattisgarh,"AIIMS, Raipur",RADIO DIAGNOSIS,-,-,-,-,-,-,-,-,-,157,-,-,-
AIIMS-All India,UR,Delhi,"AIIMS, Delhi",ENT,-,-,-,-,-,-,-,-,-,158,-,-,-
AIIMS-All India,UR,Rajasthan,"AIIMS, Jodhpur",NEUROSURGERY 6 YRS,-,-,-,-,-,-,-,-,-,159,-,-,-
AIIMS-All India,OBC,Bihar,"AIIMS, Patna",GENERAL MEDICINE,-,-,-,-,-,218,218,218,-,160,-,-,-
PGIMER-All India,UR,Chandigarh,"PGIMER, Chandigarh",PAEDIATRICS,-,-,-,-,-,76,78,109,-,161,-,-,-
AIIMS-All India,UR,Uttarakhand,"AIIMS, Rishikesh",OBG,-,-,-,-,-,445,432,445,453,166,-,-,-
AIIMS-All India,UR,Jammu and Kashmir,"AIIMS, Jammu",GENERAL MEDICINE,-,-,-,-,-,-,-,-,-,167,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Maharashtra,"AIIMS, Nagpur",GENERAL MEDICINE,-,-,-,-,-,-,-,-,-,168,-,-,-
AIIMS-All India,OBC,Madhya Pradesh,"AIIMS, Bhopal",GENERAL MEDICINE,-,-,-,-,-,215,215,-,-,169,-,-,-
AIIMS-All India,OBC,Odisha,"AIIMS, Bhubaneswar",GENERAL MEDICINE,-,-,-,-,-,164,164,164,164,172,-,-,-
AIIMS-All India,UR,Odisha,"AIIMS, Bhubaneswar",OBG,-,-,-,-,-,446,429,455,-,174,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Madhya Pradesh,"AIIMS, Bhopal",GENERAL MEDICINE,-,-,-,-,-,-,-,-,-,176,-,-,-
AIIMS-All India,OBC,Andhra Pradesh,"AIIMS, Mangalagiri",RADIO DIAGNOSIS,-,-,-,-,-,174,174,-,-,179,-,-,-
AIIMS-All India,OBC,Punjab,"AIIMS, Bathinda",GENERAL MEDICINE,-,-,-,-,-,-,-,-,380,182,-,-,-
AIIMS-All India,EWS,Punjab,"AIIMS, Bathinda",RADIO DIAGNOSIS,-,-,-,-,-,-,-,-,-,186,-,-,-
AIIMS-All India,UR,Uttarakhand,"AIIMS, Rishikesh",NEUROSURGERY 6 YRS,-,-,-,-,-,-,-,-,-,187,-,-,-
AIIMS-All India,EWS,Delhi,"AIIMS, Delhi",PAEDIATRICS,-,-,-,-,-,248,248,464,-,189,-,-,-
AIIMS-All India,UR,Rajasthan,"AIIMS, Jodhpur",PAEDIATRICS,-,-,-,-,-,78,196,250,334,190,-,-,-
AIIMS-All India,UR,Bihar,"AIIMS, Patna",DERMATOLOGY,-,-,-,-,-,-,-,-,-,191,-,-,-
AIIMS-All India,UR,Madhya Pradesh,"AIIMS, Bhopal",PAEDIATRICS,-,-,-,-,-,208,219,275,275,192,-,-,-
AIIMS-All India,UR,Jharkhand,"AIIMS, Deoghar",GENERAL MEDICINE,-,-,-,-,-,151,151,151,151,194,-,-,-
AIIMS-All India,OBC,Jharkhand,"AIIMS, Deoghar",GENERAL MEDICINE,-,-,-,-,-,310,286,286,473,196,-,-,-
AIIMS-All India,UR,Chhattisgarh,"AIIMS, Raipur",PAEDIATRICS,-,-,-,-,-,-,260,319,319,200,-,-,-
AIIMS-All India,UR,Uttar Pradesh,"AIIMS, Gorakhpur",DERMATOLOGY,-,-,-,-,-,166,252,-,-,202,-,-,-
PGIMER-All India,UR,Chandigarh,"PGIMER, Chandigarh",OPHTHALMOLOGY,-,-,-,-,-,269,300,351,395,204,-,-,-
AIIMS-All India,UR,Delhi,"AIIMS, Delhi",RADIATION ONCOLOGY,-,-,-,-,-,93,93,-,-,206,-,-,-
AIIMS-All India,UR,Assam,"AIIMS, Guwahati",GENERAL MEDICINE,-,-,-,-,-,171,145,145,-,207,-,-,-
AIIMS-All India,OBC,Delhi,"AIIMS, Delhi",DERMATOLOGY,-,-,-,-,-,105,105,105,-,214,-,-,-
AIIMS-All India,UR,Maharashtra,"AIIMS, Nagpur",PAEDIATRICS,-,-,-,-,-,-,-,-,-,216,-,-,-
AIIMS-All India,UR,Rajasthan,"AIIMS, Jodhpur",ORTHOPAEDICS,-,-,-,-,-,-,315,412,465,217,-,-,-
AIIMS-All India,UR,Rajasthan,"AIIMS, Jodhpur",OPHTHALMOLOGY,-,-,-,-,-,-,-,-,-,218,-,-,-
AIIMS-All India,OBC,Chhattisgarh,"AIIMS, Raipur",GENERAL MEDICINE,-,-,-,-,-,191,187,187,187,220,-,-,-
AIIMS-All India,EWS,Chhattisgarh,"AIIMS, Raipur",GENERAL MEDICINE,-,-,-,-,-,-,-,-,-,224,-,-,-
AIIMS-All India,OBC,Delhi,"AIIMS, Delhi",PAEDIATRICS,-,-,-,-,-,246,247,251,-,225,-,-,-
AIIMS-All India,UR,Odisha,"AIIMS, Bhubaneswar",ORTHOPAEDICS,-,-,-,-,-,427,427,-,-,226,-,-,-
AIIMS-All India,UR,Jammu and Kashmir,"AIIMS, Jammu",DERMATOLOGY,-,-,-,-,-,-,-,-,-,228,-,-,-
AIIMS-All India,UR,Andhra Pradesh,"AIIMS, Mangalagiri",NUCLEAR MEDICINE,-,-,-,-,-,-,-,-,-,229,-,-,-
AIIMS-All India,EWS,Maharashtra,"AIIMS, Nagpur",GENERAL MEDICINE,-,-,-,-,-,242,147,147,-,230,-,-,-
JIPMER-All India,OBC,Pondicherry,"JIPMER, Puducherry",DERMATOLOGY,-,-,-,-,-,-,225,-,-,232,-,-,-
AIIMS-All India,UR,Uttarakhand,"AIIMS, Rishikesh",ORTHOPAEDICS,-,-,-,-,-,278,278,361,-,235,-,-,-
AIIMS-All India,EWS,Bihar,"AIIMS, Patna",GENERAL MEDICINE,-,-,-,-,-,-,-,-,-,236,-,-,-
AIIMS-All India,EWS,Uttar Pradesh,"AIIMS, Gorakhpur",GENERAL MEDICINE,-,-,-,-,-,-,-,-,-,238,-,-,-
AIIMS-All India,EWS,Gujarat,"AIIMS, Rajkot",RADIO DIAGNOSIS,-,-,-,-,-,-,-,-,-,240,-,-,-
JIPMER-All India,UR,Pondicherry,"JIPMER, Puducherry",OBG,-,-,-,-,-,299,299,446,-,241,-,-,-
JIPMER-All India,UR,Pondicherry,"JIPMER, Puducherry",GENERAL SURGERY,-,-,-,-,-,264,274,244,514,242,-,-,-
AIIMS-All India,EWS,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",RADIO DIAGNOSIS,-,-,-,-,-,-,-,-,-,245,-,-,-
JIPMER-All India,OBC,Pondicherry,"JIPMER, Puducherry",PAEDIATRICS,-,-,-,-,-,339,309,381,393,246,-,-,-
AIIMS-All India,UR,Chhattisgarh,"AIIMS, Raipur",OBG,-,-,-,-,-,530,530,530,-,247,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Delhi,"AIIMS, Delhi",DERMATOLOGY,-,-,-,-,-,81,77,116,-,248,-,-,-
JIPMER-All India,OBC,Pondicherry,"JIPMER, Puducherry",RADIATION ONCOLOGY,-,-,-,-,-,892,959,1062,-,249,-,-,-
PGIMER-All India,UR,Chandigarh,"PGIMER, Chandigarh",GENERAL SURGERY,-,-,-,-,-,192,206,223,387,253,-,-,-
AIIMS-All India,EWS,Delhi,"AIIMS, Delhi",DERMATOLOGY,-,-,-,-,-,155,155,-,-,258,-,-,-
AIIMS-All India,OBC,Madhya Pradesh,"AIIMS, Bhopal",PAEDIATRICS,-,-,-,-,-,489,472,585,585,259,-,-,-
AIIMS-All India,UR,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",PAEDIATRICS,-,-,-,-,-,-,-,-,-,266,-,-,-
PGIMER-All India,UR,Chandigarh,"PGIMER, Chandigarh",RADIATION ONCOLOGY,-,-,-,-,-,262,262,262,-,267,-,-,-
AIIMS-All India,OBC,Andhra Pradesh,"AIIMS, Mangalagiri",PAEDIATRICS,-,-,-,-,-,471,471,471,929,268,-,-,-
AIIMS-All India,UR,Punjab,"AIIMS, Bathinda",PAEDIATRICS,-,-,-,-,-,252,354,354,354,269,-,-,-
AIIMS-All India,OBC,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",RADIO DIAGNOSIS,-,-,-,-,-,328,332,-,-,270,-,-,-
AIIMS-All India,EWS,Uttarakhand,"AIIMS, Rishikesh",PAEDIATRICS,-,-,-,-,-,-,-,-,-,274,-,-,-
AIIMS-All India,UR,Chhattisgarh,"AIIMS, Raipur",RADIATION ONCOLOGY,-,-,-,-,-,-,-,-,-,275,-,-,-
AIIMS-All India,UR,Chhattisgarh,"AIIMS, Raipur",GENERAL SURGERY,-,-,-,-,-,408,410,410,-,276,-,-,-
AIIMS-All India,UR,Rajasthan,"AIIMS, Jodhpur",INECTIOUS DISEASES 6 YRS,-,-,-,-,-,-,-,-,-,277,-,-,-
JIPMER-All India,UR,Pondicherry,"JIPMER, Puducherry",ORTHOPAEDICS,-,-,-,-,-,281,538,538,546,278,-,-,-
AIIMS-All India,EWS,Maharashtra,"AIIMS, Nagpur",DERMATOLOGY,-,-,-,-,-,-,-,-,-,279,-,-,-
AIIMS-All India,UR,Uttar Pradesh,"AIIMS, Rai Bareli",PAEDIATRICS,-,-,-,-,-,306,319,363,463,280,-,-,-
AIIMS-All India,OBC,Maharashtra,"AIIMS, Nagpur",GENERAL MEDICINE,-,-,-,-,-,231,98,98,-,281,-,-,-
AIIMS-All India,UR,Delhi,"AIIMS, Delhi",PSYCHIATRY,-,-,-,-,-,-,-,-,-,283,-,-,-
AIIMS-All India,UR,Uttarakhand,"AIIMS, Rishikesh",GENERAL SURGERY,-,-,-,-,-,-,-,-,-,285,-,-,-
PGIMER-All India,OBC,Chandigarh,"PGIMER, Chandigarh",NUCLEAR MEDICINE,-,-,-,-,-,-,-,-,-,292,-,-,-
AIIMS-All India,OBC,Odisha,"AIIMS, Bhubaneswar",PAEDIATRICS,-,-,-,-,-,263,263,263,-,294,-,-,-
AIIMS-All India,UR,Assam,"AIIMS, Guwahati",PAEDIATRICS,-,-,-,-,-,268,385,-,-,295,-,-,-
AIIMS-All India,OBC,Uttar Pradesh,"AIIMS, Rai Bareli",GENERAL MEDICINE,-,-,-,-,-,-,-,254,254,298,-,-,-
AIIMS-All India,UR,Bihar,"AIIMS, Patna",ORTHOPAEDICS,-,-,-,-,-,-,-,-,-,299,-,-,-
AIIMS-All India,OBC,Assam,"AIIMS, Guwahati",GENERAL MEDICINE,-,-,-,-,-,-,-,-,-,301,-,-,-
AIIMS-All India,UR,Punjab,"AIIMS, Bathinda",OPHTHALMOLOGY,-,-,-,-,-,686,686,686,686,303,-,-,-
AIIMS-All India,UR,Delhi,"AIIMS, Delhi",ANAESTHESIOLOGY,-,-,-,-,-,395,395,519,392,304,-,-,-
AIIMS-All India,OBC,Uttarakhand,"AIIMS, Rishikesh",NUCLEAR MEDICINE,-,-,-,-,-,369,328,328,328,305,-,-,-
AIIMS-All India,OBC,Delhi,"AIIMS, Delhi",GENERAL SURGERY,-,-,-,-,-,152,152,-,-,307,-,-,-
JIPMER-All India,OBC,Pondicherry,"JIPMER, Puducherry",TBRD,-,-,-,-,-,470,627,605,1064,308,-,-,-
AIIMS-All India,UR,Jharkhand,"AIIMS, Deoghar",PAEDIATRICS,-,-,-,-,-,318,382,400,-,309,-,-,-
AIIMS-All India,OBC,Andhra Pradesh,"AIIMS, Mangalagiri",DERMATOLOGY,-,-,-,-,-,-,-,-,-,318,-,-,-
AIIMS-All India,OBC,Rajasthan,"AIIMS, Jodhpur",DERMATOLOGY,-,-,-,-,-,-,-,-,-,319,-,-,-
AIIMS-All India,UR,Chhattisgarh,"AIIMS, Raipur",ORTHOPAEDICS,-,-,-,-,-,465,546,550,1086,321,-,-,-
AIIMS-All India,UR,Maharashtra,"AIIMS, Nagpur",PLASTIC SURGERY 6 YRS,-,-,-,-,-,312,549,549,550,322,-,-,-
AIIMS-All India,OBC,Odisha,"AIIMS, Bhubaneswar",DERMATOLOGY,-,-,-,-,-,-,-,-,-,325,-,-,-
PGIMER-All India,UR,Chandigarh,"PGIMER, Chandigarh",OBG,-,-,-,-,-,199,226,95,137,328,-,-,-
AIIMS-All India,UR,Uttarakhand,"AIIMS, Rishikesh",EMERGENCY MEDICINE,-,-,-,-,-,337,374,311,-,331,-,-,-
PGIMER-All India,OBC,Chandigarh,"PGIMER, Chandigarh",PAEDIATRICS,-,-,-,-,-,297,297,309,309,333,-,-,-
AIIMS-All India,OBC,Uttarakhand,"AIIMS, Rishikesh",PAEDIATRICS,-,-,-,-,-,389,380,545,-,336,-,-,-
AIIMS-All India,UR,Andhra Pradesh,"AIIMS, Mangalagiri",GENERAL SURGERY,-,-,-,-,-,-,-,-,-,337,-,-,-
AIIMS-All India,UR,Rajasthan,"AIIMS, Jodhpur",OBG,-,-,-,-,-,357,306,362,362,338,-,-,-
AIIMS-All India,EWS,Rajasthan,"AIIMS, Jodhpur",PAEDIATRICS,-,-,-,-,-,-,-,-,-,339,-,-,-
AIIMS-All India,UR,Odisha,"AIIMS, Bhubaneswar",RADIATION ONCOLOGY,-,-,-,-,-,573,573,779,548,341,-,-,-
AIIMS-All India,OBC,Jammu and Kashmir,"AIIMS, Jammu",GENERAL MEDICINE,-,-,-,-,-,-,-,-,-,342,-,-,-
AIIMS-All India,EWS,Delhi,"AIIMS, Delhi",OBG,-,-,-,-,-,435,435,-,-,344,-,-,-
AIIMS-All India,EWS,Uttarakhand,"AIIMS, Rishikesh",OBG,-,-,-,-,-,-,-,-,-,346,-,-,-
AIIMS-All India,UR,Madhya Pradesh,"AIIMS, Bhopal",EMERGENCY MEDICINE,-,-,-,-,-,641,762,951,-,347,-,-,-
AIIMS-All India,OBC,Madhya Pradesh,"AIIMS, Bhopal",NUCLEAR MEDICINE,-,-,-,-,-,-,-,-,-,348,-,-,-
AIIMS-All India,OBC,Madhya Pradesh,"AIIMS, Bhopal",DERMATOLOGY,-,-,-,-,-,110,116,415,-,349,-,-,-
AIIMS-All India,OBC,Rajasthan,"AIIMS, Jodhpur",GENERAL SURGERY,-,-,-,-,-,458,458,-,-,353,-,-,-
AIIMS-All India,UR,Bihar,"AIIMS, Patna",GENERAL SURGERY,-,-,-,-,-,382,336,-,-,354,-,-,-
AIIMS-All India,UR,Maharashtra,"AIIMS, Nagpur",NEUROSURGERY 6 YRS,-,-,-,-,-,156,156,156,-,355,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Madhya Pradesh,"AIIMS, Bhopal",DERMATOLOGY,-,-,-,-,-,-,-,-,-,360,-,-,-
AIIMS-All India,UR,Uttar Pradesh,"AIIMS, Gorakhpur",GENERAL SURGERY,-,-,-,-,-,400,501,-,524,361,-,-,-
SCTIMST-All India,UR,Kerala,"Sree Chirtra Thirunal, Triv.",IHBT,-,-,-,-,-,1881,1881,3743,10260,362,-,-,-
AIIMS-All India,EWS,Jharkhand,"AIIMS, Deoghar",GENERAL MEDICINE,-,-,-,-,-,294,320,320,320,364,-,-,-
JIPMER-All India,UR,Pondicherry,"JIPMER, Puducherry",RADIATION ONCOLOGY,-,-,-,-,-,459,-,-,-,367,-,-,-
AIIMS-All India,OBC,Delhi,"AIIMS, Delhi",OBG,-,-,-,-,-,504,520,-,-,370,-,-,-
AIIMS-All India,UR,Punjab,"AIIMS, Bathinda",NEUROSURGERY 6 YRS,-,-,-,-,-,273,463,463,833,372,-,-,-
AIIMS-All India,UR,Bihar,"AIIMS, Patna",OBG,-,-,-,-,-,405,475,-,-,373,-,-,-
AIIMS-All India,OBC,Delhi,"AIIMS, Delhi",ORTHOPAEDICS,-,-,-,-,-,327,327,-,-,374,-,-,-
PGIMER-All India,OBC,Chandigarh,"PGIMER, Chandigarh",ORTHOPAEDICS,-,-,-,-,-,345,345,345,-,376,-,-,-
JIPMER-All India,UR,Pondicherry,"JIPMER, Puducherry",ENT,-,-,-,-,-,437,480,-,-,377,-,-,-
AIIMS-All India,EWS,Delhi,"AIIMS, Delhi",GENERAL SURGERY,-,-,-,-,-,181,181,181,-,378,-,-,-
AIIMS-All India,UR,Uttar Pradesh,"AIIMS, Rai Bareli",GENERAL SURGERY,-,-,-,-,-,478,524,581,542,379,-,-,-
JIMPER-Inst. Pref,INST (JIPMER),Pondicherry,"JIPMER, Puducherry",RADIO DIAGNOSIS,-,-,-,-,-,36,36,-,-,380,-,-,-
AIIMS-All India,EWS,Madhya Pradesh,"AIIMS, Bhopal",PAEDIATRICS,-,-,-,-,-,474,474,582,-,384,-,-,-
JIPMER-All India,UR,Pondicherry,"JIPMER, Puducherry",OPHTHALMOLOGY,-,-,-,-,-,330,431,546,1042,387,-,-,-
AIIMS-All India,OBC,Rajasthan,"AIIMS, Jodhpur",PAEDIATRICS,-,-,-,-,-,302,302,393,605,389,-,-,-
AIIMS-All India,EWS,Uttarakhand,"AIIMS, Rishikesh",TBRD,-,-,-,-,-,-,-,-,-,391,-,-,-
AIIMS-All India,OBC,Maharashtra,"AIIMS, Nagpur",DERMATOLOGY,-,-,-,-,-,415,415,629,631,392,-,-,-
