Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR JAN 2026 0,CR JAN 2026 1,CR JAN 2026 2,CR JAN 2026 3,CR JUL 2026 0,CR JUL 2026 1,CR JUL 2026 2,CR JUL 2026 3
AIIMS-All India,UR,Delhi,"AIIMS, Delhi",GENERAL MEDICINE,-,-,-,-,-,6,6,-,-,3,-,-,-
AIIMS-All India,UR,Delhi,"AIIMS, Delhi",RADIO DIAGNOSIS,-,-,-,-,-,2,2,-,-,4,-,-,-
JIPMER-All India,OBC,Pondicherry,"JIPMER, Puducherry",RADIO DIAGNOSIS,-,-,-,-,-,150,100,100,-,5,-,-,-
AIIMS-All India,OBC,Delhi,"AIIMS, Delhi",GENERAL MEDICINE,-,-,-,-,-,53,47,18,-,9,-,-,-
PGIMER-All India,UR,Chandigarh,"PGIMER, Chandigarh",RADIO DIAGNOSIS,-,-,-,-,-,32,32,41,-,20,-,-,-
JIPMER-All India,UR,Pondicherry,"JIPMER, Puducherry",RADIO DIAGNOSIS,-,-,-,-,-,-,41,59,59,21,-,-,-
AIIMS-All India,UR,Uttarakhand,"AIIMS, Rishikesh",RADIO DIAGNOSIS,-,-,-,-,-,41,55,55,-,25,-,-,-
AIIMS-All India,OBC,Delhi,"AIIMS, Delhi",RADIO DIAGNOSIS,-,-,-,-,-,11,29,-,-,27,-,-,-
PGIMER-All India,UR,Chandigarh,"PGIMER, Chandigarh",GENERAL MEDICINE,-,-,-,-,-,23,28,23,-,28,-,-,-
AIIMS-All India,UR,Delhi,"AIIMS, Delhi",PAEDIATRICS,-,-,-,-,-,52,48,48,-,31,-,-,-
PGIMER-All India,OBC,Chandigarh,"PGIMER, Chandigarh",RADIO DIAGNOSIS,-,-,-,-,-,72,72,72,-,33,-,-,-
AIIMS-All India,UR,Rajasthan,"AIIMS, Jodhpur",RADIO DIAGNOSIS,-,-,-,-,-,19,19,19,-,40,-,-,-
AIIMS-All India,UR,Odisha,"AIIMS, Bhubaneswar",RADIO DIAGNOSIS,-,-,-,-,-,-,-,-,-,42,-,-,-
AIIMS-All India,UR,Bihar,"AIIMS, Patna",GENERAL MEDICINE,-,-,-,-,-,119,115,119,-,45,-,-,-
AIIMS-All India,EWS,Delhi,"AIIMS, Delhi",GENERAL MEDICINE,-,-,-,-,-,44,44,-,-,49,-,-,-
AIIMS-All India,UR,Rajasthan,"AIIMS, Jodhpur",GENERAL MEDICINE,-,-,-,-,-,48,33,33,33,50,-,-,-
AIIMS-All India,UR,Uttarakhand,"AIIMS, Rishikesh",GENERAL MEDICINE,-,-,-,-,-,31,31,-,-,52,-,-,-
JIPMER-All India,UR,Pondicherry,"JIPMER, Puducherry",GENERAL MEDICINE,-,-,-,-,-,59,60,57,-,53,-,-,-
JIPMER-All India,EWS,Pondicherry,"JIPMER, Puducherry",GENERAL MEDICINE,-,-,-,-,-,239,239,-,-,55,-,-,-
AIIMS-All India,OBC,Rajasthan,"AIIMS, Jodhpur",RADIO DIAGNOSIS,-,-,-,-,-,146,146,146,286,56,-,-,-
AIIMS-All India,OBC,Delhi,"AIIMS, Delhi",NUCLEAR MEDICINE,-,-,-,-,-,225,191,191,-,57,-,-,-
AIIMS-All India,OBC,Uttarakhand,"AIIMS, Rishikesh",RADIO DIAGNOSIS,-,-,-,-,-,111,111,111,-,59,-,-,-
JIPMER-All India,OBC,Pondicherry,"JIPMER, Puducherry",GENERAL MEDICINE,-,-,-,-,-,82,82,-,-,60,-,-,-
AIIMS-All India,UR,Madhya Pradesh,"AIIMS, Bhopal",GENERAL MEDICINE,-,-,-,-,-,-,-,-,-,61,-,-,-
AIIMS-All India,UR,Gujarat,"AIIMS, Rajkot",GENERAL MEDICINE,-,-,-,-,-,-,-,-,-,63,-,-,-
AIIMS-All India,UR,Odisha,"AIIMS, Bhubaneswar",GENERAL MEDICINE,-,-,-,-,-,45,58,58,-,64,-,-,-
AIIMS-All India,UR,Delhi,"AIIMS, Delhi",NEUROSURGERY 6 YRS,-,-,-,-,-,51,51,-,-,65,-,-,-
PGIMER-All India,UR,Chandigarh,"PGIMER, Chandigarh",NUCLEAR MEDICINE,-,-,-,-,-,17,102,104,-,67,-,-,-
AIIMS-All India,UR,Madhya Pradesh,"AIIMS, Bhopal",RADIO DIAGNOSIS,-,-,-,-,-,42,52,68,68,68,-,-,-
AIIMS-All India,OBC,Madhya Pradesh,"AIIMS, Bhopal",RADIO DIAGNOSIS,-,-,-,-,-,240,162,162,-,71,-,-,-
AIIMS-All India,EWS,Uttarakhand,"AIIMS, Rishikesh",RADIO DIAGNOSIS,-,-,-,-,-,195,195,195,-,75,-,-,-
NIMHANS-All India,UR,Karnataka,"NIMHANS, Bangalore",NEUROSURGERY 6 YRS,-,-,-,-,-,89,89,-,-,77,-,-,-
AIIMS-All India,UR,Chhattisgarh,"AIIMS, Raipur",GENERAL MEDICINE,-,-,-,-,-,94,63,63,-,78,-,-,-
AIIMS-All India,UR,Maharashtra,"AIIMS, Nagpur",GENERAL MEDICINE,-,-,-,-,-,108,94,94,-,79,-,-,-
AIIMS-All India,UR,Bihar,"AIIMS, Patna",RADIO DIAGNOSIS,-,-,-,-,-,68,59,99,-,80,-,-,-
AIIMS-All India,UR,Delhi,"AIIMS, Delhi",GENERAL SURGERY,-,-,-,-,-,21,12,-,21,82,-,-,-
AIIMS-All India,UR,Chhattisgarh,"AIIMS, Raipur",RADIO DIAGNOSIS,-,-,-,-,-,99,79,79,79,83,-,-,-
AIIMS-All India,UR,Maharashtra,"AIIMS, Nagpur",RADIO DIAGNOSIS,-,-,-,-,-,55,99,133,133,84,-,-,-
AIIMS-All India,UR,Punjab,"AIIMS, Bathinda",GENERAL MEDICINE,-,-,-,-,-,143,119,130,-,86,-,-,-
AIIMS-All India,OBC,Odisha,"AIIMS, Bhubaneswar",RADIO DIAGNOSIS,-,-,-,-,-,265,200,200,-,93,-,-,-
AIIMS-All India,UR,Andhra Pradesh,"AIIMS, Mangalagiri",GENERAL MEDICINE,-,-,-,-,-,140,148,148,-,94,-,-,-
