Round,AI Rank,State,Institute,Course,Quota,Category
2,3586,Karnataka,"NIMHANS, Bangalore",PSYCHIATRY,NIMHANS-All India,SC
2,3587,Maharashtra,"AIIMS, Nagpur",MICROBIOLOGY,AIIMS-All India,UR
2,3591,Chhattisgarh,"AIIMS, Raipur",IHBT,AIIMS-All India,UR
2,3612,Chhattisgarh,"AIIMS, Raipur",ANAESTHESIOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
2,3631,Madhya Pradesh,"AIIMS, Bhopal",CARDIO THORACIC AND VASCULAR SURGERY 6 YRS,AIIMS-Inst. Pref,UR-AIIMS-IP
2,3633,Bihar,"AIIMS, Patna",PATHOLOGY,AIIMS-All India,OBC
2,3649,Delhi,"AIIMS, Delhi",GENERAL SURGERY,AIIMS-All India,SC
2,3664,Punjab,"AIIMS, Bathinda",PHARMACOLOGY,AIIMS-All India,UR
2,3674,Andhra Pradesh,"AIIMS, Mangalagiri",HOSPITAL ADMINISTRATION,AIIMS-All India,UR
2,3701,Chandigarh,"PGIMER, Chandigarh",MICROBIOLOGY,PGIMER-All India,UR
2,3703,Pondicherry,"JIPMER, Puducherry",ANAESTHESIOLOGY,JIMPER-Inst. Pref,INST (JIPMER)
2,3736,Maharashtra,"AIIMS, Nagpur",ENT,AIIMS-Inst. Pref,UR-AIIMS-IP
2,3747,Jharkhand,"AIIMS, Deoghar",ORTHOPAEDICS,AIIMS-Inst. Pref,UR-AIIMS-IP
2,3751,Odisha,"AIIMS, Bhubaneswar",PATHOLOGY,AIIMS-All India,OBC
2,3754,Delhi,"AIIMS, Delhi",RADIATION ONCOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
2,3756,Maharashtra,"AIIMS, Nagpur",FAMILY MEDICINE,AIIMS-All India,OBC
2,3797,Odisha,"AIIMS, Bhubaneswar",NUCLEAR MEDICINE,AIIMS-All India,SC
2,3801,Karnataka,"NIMHANS, Bangalore",PSYCHIATRY,NIMHANS-KAR Domicile,OBC-Karnataka Domicile
2,3814,Chhattisgarh,"AIIMS, Raipur",ANAESTHESIOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
2,3838,Bihar,"AIIMS, Patna",EMERGENCY MEDICINE,AIIMS-Inst. Pref,UR-AIIMS-IP
2,3851,Chhattisgarh,"AIIMS, Raipur",NUCLEAR MEDICINE,AIIMS-All India,UR-PwD
2,3885,Madhya Pradesh,"AIIMS, Bhopal",MICROBIOLOGY,AIIMS-All India,UR
2,3911,Rajasthan,"AIIMS, Jodhpur",ANAESTHESIOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
2,3926,Uttar Pradesh,"AIIMS, Rai Bareli",MICROBIOLOGY,AIIMS-All India,UR
2,3940,Chhattisgarh,"AIIMS, Raipur",COMMUNITY MEDICINE,AIIMS-All India,UR
2,3943,Rajasthan,"AIIMS, Jodhpur",PSYCHIATRY,AIIMS-All India,SC
2,3980,Delhi,"AIIMS, Delhi",BIOCHEMISTRY,AIIMS-All India,UR
2,3993,Chandigarh,"PGIMER, Chandigarh",GENERAL SURGERY,PGIMER-All India,SC
2,4007,Punjab,"AIIMS, Bathinda",GENERAL MEDICINE,AIIMS-All India,ST
2,4025,Chhattisgarh,"AIIMS, Raipur",PATHOLOGY,AIIMS-All India,OBC
2,4027,Andhra Pradesh,"AIIMS, Mangalagiri",NUCLEAR MEDICINE,AIIMS-All India,SC
2,4033,Pondicherry,"JIPMER, Puducherry",RADIATION ONCOLOGY,JIPMER-All India,SC
2,4067,Rajasthan,"AIIMS, Jodhpur",MICROBIOLOGY,AIIMS-All India,UR
2,4080,Rajasthan,"AIIMS, Jodhpur",PHARMACOLOGY,AIIMS-All India,UR
2,4112,Bihar,"AIIMS, Patna",PMR,AIIMS-All India,OBC
2,4123,Delhi,"AIIMS, Delhi",FORENSIC MEDICINE,AIIMS-All India,OBC
2,4148,Uttar Pradesh,"AIIMS, Rai Bareli",COMMUNITY MEDICINE,AIIMS-All India,UR
2,4153,Pondicherry,"JIPMER, Puducherry",OPHTHALMOLOGY,JIPMER-All India,SC
2,4163,Delhi,"AIIMS, Delhi",ANATOMY,AIIMS-All India,UR
2,4177,Odisha,"AIIMS, Bhubaneswar",RADIO DIAGNOSIS,AIIMS-All India,ST
2,4180,Uttar Pradesh,"AIIMS, Gorakhpur",ORTHOPAEDICS,AIIMS-All India,SC
2,4182,Pondicherry,"JIPMER, Puducherry",OBG,JIPMER-All India,SC
2,4211,Delhi,"AIIMS, Delhi",OPHTHALMOLOGY,AIIMS-All India,SC
2,4213,Bihar,"AIIMS, Patna",TRAUMASURG&CC (6 YRS),AIIMS-Inst. Pref,UR-AIIMS-IP
2,4252,Bihar,"AIIMS, Patna",ANAESTHESIOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
2,4280,Rajasthan,"AIIMS, Jodhpur",ANAESTHESIOLOGY,AIIMS-All India,SC
2,4283,Chandigarh,"PGIMER, Chandigarh",OBG,PGIMER-Rural,UR-RA
2,4288,Bihar,"AIIMS, Patna",PHARMACOLOGY,AIIMS-All India,UR
2,4295,Chandigarh,"PGIMER, Chandigarh",MICROBIOLOGY,PGIMER-All India,UR
2,4310,Chandigarh,"PGIMER, Chandigarh",RADIO DIAGNOSIS,PGIMER-Rural,OBC-RA
2,4331,Madhya Pradesh,"AIIMS, Bhopal",ORTHOPAEDICS,AIIMS-All India,ST
2,4337,Rajasthan,"AIIMS, Jodhpur",COMMUNITY MEDICINE,AIIMS-All India,UR
2,4354,Maharashtra,"AIIMS, Nagpur",COMMUNITY MEDICINE,AIIMS-All India,UR
2,4396,Odisha,"AIIMS, Bhubaneswar",ENT,AIIMS-Inst. Pref,UR-AIIMS-IP
2,4419,Odisha,"AIIMS, Bhubaneswar",HOSPITAL ADMINISTRATION,AIIMS-All India,OBC
2,4428,Madhya Pradesh,"AIIMS, Bhopal",PATHOLOGY,AIIMS-All India,OBC
2,4455,Assam,"AIIMS, Guwahati",COMMUNITY & FAMILY MEDICINE,AIIMS-All India,UR
2,4458,Delhi,"AIIMS, Delhi",COMMUNITY MEDICINE,AIIMS-All India,OBC
2,4468,Delhi,"AIIMS, Delhi",ANAESTHESIOLOGY,AIIMS-All India,SC
2,4471,Karnataka,"NIMHANS, Bangalore",PSYCHIATRY,NIMHANS-KAR Domicile,OBC-Karnataka Domicile
2,4477,Maharashtra,"AIIMS, Nagpur",PHARMACOLOGY,AIIMS-All India,UR
2,4498,Delhi,"AIIMS, Delhi",EMERGENCY MEDICINE,AIIMS-All India,SC
2,4521,Rajasthan,"AIIMS, Jodhpur",GENERAL SURGERY,AIIMS-All India,ST
2,4524,Gujarat,"AIIMS, Rajkot",COMMUNITY & FAMILY MEDICINE,AIIMS-All India,UR
2,4528,Delhi,"AIIMS, Delhi",ANATOMY,AIIMS-All India,UR
2,4540,Pondicherry,"JIPMER, Puducherry",ANAESTHESIOLOGY,JIPMER-All India,SC-PwD
2,4553,Madhya Pradesh,"AIIMS, Bhopal",PAEDIATRICS,AIIMS-All India,SC
2,4560,Telangana,"AIIMS, Bibinagar",MICROBIOLOGY,AIIMS-All India,UR
2,4588,Assam,"AIIMS, Guwahati",COMMUNITY & FAMILY MEDICINE,AIIMS-All India,UR
2,4621,Chandigarh,"PGIMER, Chandigarh",BIOCHEMISTRY,PGIMER-All India,UR
2,4629,Delhi,"AIIMS, Delhi",PALLIATIVE MEDICINE,AIIMS-All India,EWS
2,4664,Delhi,"AIIMS, Delhi",LAB MEDICINE,AIIMS-All India,OBC
2,4785,Odisha,"AIIMS, Bhubaneswar",PSYCHIATRY,AIIMS-All India,SC
2,4797,Jammu and Kashmir,"AIIMS, Jammu",COMMUNITY MEDICINE,AIIMS-All India,UR
2,4815,West Bengal,"AIIMS, Kalyani",PHARMACOLOGY,AIIMS-All India,UR
2,4860,Andhra Pradesh,"AIIMS, Mangalagiri",GENERAL SURGERY,AIIMS-All India,SC
2,4884,Andhra Pradesh,"AIIMS, Mangalagiri",OPHTHALMOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
2,4906,Andhra Pradesh,"AIIMS, Mangalagiri",RADIO DIAGNOSIS,AIIMS-All India,ST
2,4920,Uttar Pradesh,"AIIMS, Rai Bareli",FORENSIC MEDICINE,AIIMS-All India,UR
2,4921,Rajasthan,"AIIMS, Jodhpur",ANAESTHESIOLOGY,AIIMS-All India,SC
2,4930,Pondicherry,"JIPMER, Puducherry",PHYSIOLOGY,JIPMER-All India,UR
2,4947,Maharashtra,"AIIMS, Nagpur",PATHOLOGY,AIIMS-All India,OBC
2,4958,Rajasthan,"AIIMS, Jodhpur",OBG,AIIMS-All India,SC
2,4981,Maharashtra,"AIIMS, Nagpur",PAEDIATRICS,AIIMS-All India,SC
2,4995,Pondicherry,"JIPMER, Puducherry",PHYSIOLOGY,JIPMER-All India,UR
2,5007,Assam,"AIIMS, Guwahati",PMR,AIIMS-All India,OBC
2,5012,Assam,"AIIMS, Guwahati",COMMUNITY & FAMILY MEDICINE,AIIMS-All India,UR
2,5023,Punjab,"AIIMS, Bathinda",MICROBIOLOGY,AIIMS-All India,UR
2,5045,Pondicherry,"JIPMER, Puducherry",IHBT,JIPMER-All India,EWS
2,5068,Pondicherry,"JIPMER, Puducherry",MICROBIOLOGY,JIPMER-All India,OBC
2,5081,Pondicherry,"JIPMER, Puducherry",BIOCHEMISTRY,JIPMER-All India,OBC-PwD
2,5097,Punjab,"AIIMS, Bathinda",ORTHOPAEDICS,AIIMS-Inst. Pref,UR-AIIMS-IP
2,5125,Uttarakhand,"AIIMS, Rishikesh",PAEDIATRICS,AIIMS-All India,SC
2,5147,Bihar,"AIIMS, Patna",GENERAL MEDICINE,AIIMS-All India,ST
2,5160,Pondicherry,"JIPMER, Puducherry",PATHOLOGY,JIPMER-All India,EWS
2,5171,Gujarat,"AIIMS, Rajkot",RADIO DIAGNOSIS,AIIMS-All India,ST
2,5174,Telangana,"AIIMS, Bibinagar",PMR,AIIMS-All India,OBC
2,5231,Jharkhand,"AIIMS, Deoghar",ORTHOPAEDICS,AIIMS-All India,SC
2,5240,Delhi,"AIIMS, Delhi",HOSPITAL ADMINISTRATION,AIIMS-All India,OBC
2,5242,Delhi,"AIIMS, Delhi",BIOPHYSICS,AIIMS-All India,OBC
2,5243,Chandigarh,"PGIMER, Chandigarh",PAEDIATRICS,PGIMER-All India,ST
2,5260,Madhya Pradesh,"AIIMS, Bhopal",ANATOMY,AIIMS-All India,UR
2,5329,Uttar Pradesh,"AIIMS, Rai Bareli",ORTHOPAEDICS,AIIMS-All India,SC
2,5397,Punjab,"AIIMS, Bathinda",BIOCHEMISTRY,AIIMS-All India,UR
2,5403,Odisha,"AIIMS, Bhubaneswar",EMERGENCY MEDICINE,AIIMS-All India,SC
2,5416,Pondicherry,"JIPMER, Puducherry",ANATOMY,JIPMER-All India,OBC
2,5453,Punjab,"AIIMS, Bathinda",PAEDIATRICS,AIIMS-All India,SC
2,5462,Jharkhand,"AIIMS, Deoghar",FORENSIC MEDICINE,AIIMS-All India,UR
2,5487,Bihar,"AIIMS, Patna",PHYSIOLOGY,AIIMS-All India,UR
2,5500,Rajasthan,"AIIMS, Jodhpur",BIOCHEMISTRY,AIIMS-All India,UR
2,5516,Uttarakhand,"AIIMS, Rishikesh",ANAESTHESIOLOGY,AIIMS-All India,SC
2,5527,Delhi,"AIIMS, Delhi",IHBT,AIIMS-All India,EWS
2,5571,Bihar,"AIIMS, Patna",ANAESTHESIOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
2,5572,Chhattisgarh,"AIIMS, Raipur",PMR,AIIMS-All India,EWS
2,5573,Delhi,"AIIMS, Delhi",PAEDIATRIC SURGERY 6 YRS,AIIMS-Inst. Pref,UR-AIIMS-IP
2,5574,Assam,"AIIMS, Guwahati",PATHOLOGY,AIIMS-All India,OBC
2,5583,Chandigarh,"PGIMER, Chandigarh",HOSPITAL ADMINISTRATION,PGIMER-All India,OBC
2,5586,Delhi,"AIIMS, Delhi",PSYCHIATRY,AIIMS-All India,UR-PwD
2,5630,Assam,"AIIMS, Guwahati",PHARMACOLOGY,AIIMS-All India,UR
2,5662,Andhra Pradesh,"AIIMS, Mangalagiri",HOSPITAL ADMINISTRATION,AIIMS-All India,OBC
2,5672,Uttarakhand,"AIIMS, Rishikesh",PAEDIATRICS,AIIMS-All India,ST
2,5673,Assam,"AIIMS, Guwahati",BIOCHEMISTRY,AIIMS-All India,UR
2,5755,Chhattisgarh,"AIIMS, Raipur",BIOCHEMISTRY,AIIMS-All India,UR
2,5804,Andhra Pradesh,"AIIMS, Mangalagiri",RADIATION ONCOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
2,5816,Madhya Pradesh,"AIIMS, Bhopal",ANAESTHESIOLOGY,AIIMS-All India,SC
2,5823,Delhi,"AIIMS, Delhi",COMMUNITY MEDICINE,AIIMS-All India,EWS
2,5839,Delhi,"AIIMS, Delhi",PHARMACOLOGY,AIIMS-All India,OBC
2,5907,Chhattisgarh,"AIIMS, Raipur",ANAESTHESIOLOGY,AIIMS-All India,SC
2,5960,Punjab,"AIIMS, Bathinda",PAEDIATRICS,AIIMS-All India,SC
2,5965,Pondicherry,"JIPMER, Puducherry",FORENSIC MEDICINE,JIMPER-Inst. Pref,INST (JIPMER)
