Round,AI Rank,State,Institute,Course,Quota,Category
0,3460,Uttar Pradesh,"AIIMS, Rai Bareli",ANAESTHESIOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,3461,Pondicherry,"JIPMER, Puducherry",ANAESTHESIOLOGY,JIPMER-All India,SC
0,3462,Delhi,"AIIMS, Delhi",ANAESTHESIOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,3464,Chandigarh,"PGIMER, Chandigarh",PATHOLOGY,PGIMER-Rural,UR-RA
0,3483,Madhya Pradesh,"AIIMS, Bhopal",PATHOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,3493,Jharkhand,"AIIMS, Deoghar",ANATOMY,AIIMS-All India,OBC
0,3503,Jharkhand,"AIIMS, Deoghar",PHARMACOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,3506,Rajasthan,"AIIMS, Jodhpur",ORTHOPAEDICS,AIIMS-All India,SC
0,3513,Assam,"AIIMS, Guwahati",PATHOLOGY,AIIMS-All India,OBC
0,3514,Jammu and Kashmir,"AIIMS, Jammu",PATHOLOGY,AIIMS-All India,OBC
0,3531,Madhya Pradesh,"AIIMS, Bhopal",OPHTHALMOLOGY,AIIMS-All India,SC
0,3541,Assam,"AIIMS, Guwahati",PHARMACOLOGY,AIIMS-All India,UR
0,3545,Chandigarh,"PGIMER, Chandigarh",FORENSIC MEDICINE,PGIMER-All India,OBC
0,3556,Rajasthan,"AIIMS, Jodhpur",ANATOMY,AIIMS-All India,UR
0,3580,Delhi,"AIIMS, Delhi",BIOCHEMISTRY,AIIMS-All India,OBC
0,3585,Odisha,"AIIMS, Bhubaneswar",COMMUNITY MEDICINE,AIIMS-Inst. Pref,UR-AIIMS-IP
0,3590,Pondicherry,"JIPMER, Puducherry",ANATOMY,JIPMER-All India,OBC
0,3611,Maharashtra,"AIIMS, Nagpur",RADIATION ONCOLOGY,AIIMS-All India,SC
0,3627,Madhya Pradesh,"AIIMS, Bhopal",COMMUNITY MEDICINE,AIIMS-All India,OBC
0,3646,Uttarakhand,"AIIMS, Rishikesh",OPHTHALMOLOGY,AIIMS-All India,SC
0,3666,Uttarakhand,"AIIMS, Rishikesh",PAEDIATRIC SURGERY 6 YRS,AIIMS-Inst. Pref,UR-AIIMS-IP
0,3696,Madhya Pradesh,"AIIMS, Bhopal",COMMUNITY MEDICINE,AIIMS-All India,OBC
0,3703,Uttarakhand,"AIIMS, Rishikesh",PAEDIATRIC SURGERY 6 YRS,AIIMS-Inst. Pref,UR-AIIMS-IP
0,3710,Chandigarh,"PGIMER, Chandigarh",ANAESTHESIOLOGY,PGIMER-All India,SC
0,3717,Punjab,"AIIMS, Bathinda",MICROBIOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,3729,Maharashtra,"AIIMS, Nagpur",IHBT,AIIMS-All India,OBC
0,3737,Maharashtra,"AIIMS, Nagpur",ORTHOPAEDICS,AIIMS-All India,SC
0,3739,Punjab,"AIIMS, Bathinda",ANAESTHESIOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,3740,Jammu and Kashmir,"AIIMS, Jammu",PHYSIOLOGY,AIIMS-All India,UR
0,3774,Andhra Pradesh,"AIIMS, Mangalagiri",ORTHOPAEDICS,AIIMS-All India,ST
0,3775,Chandigarh,"PGIMER, Chandigarh",GENERAL SURGERY,PGIMER-All India,ST
0,3782,West Bengal,"AIIMS, Kalyani",OBG,AIIMS-All India,SC
0,3785,Rajasthan,"AIIMS, Jodhpur",COMMUNITY MEDICINE,AIIMS-All India,OBC
0,3809,Delhi,"AIIMS, Delhi",HOSPITAL ADMINISTRATION,AIIMS-All India,EWS
0,3828,Andhra Pradesh,"AIIMS, Mangalagiri",EMERGENCY MEDICINE,AIIMS-All India,SC
0,3847,Uttarakhand,"AIIMS, Rishikesh",PHARMACOLOGY,AIIMS-All India,OBC
0,3851,Assam,"AIIMS, Guwahati",ORTHOPAEDICS,AIIMS-All India,SC
0,3852,Chhattisgarh,"AIIMS, Raipur",OPHTHALMOLOGY,AIIMS-All India,SC
0,3876,Odisha,"AIIMS, Bhubaneswar",EMERGENCY MEDICINE,AIIMS-All India,SC
0,3877,Jharkhand,"AIIMS, Deoghar",GENERAL SURGERY,AIIMS-All India,SC
0,3899,West Bengal,"AIIMS, Kalyani",MICROBIOLOGY,AIIMS-All India,UR
0,3900,Maharashtra,"AIIMS, Nagpur",COMMUNITY MEDICINE,AIIMS-Inst. Pref,UR-AIIMS-IP
0,3906,Andhra Pradesh,"AIIMS, Mangalagiri",IHBT,AIIMS-All India,OBC
0,3920,Delhi,"AIIMS, Delhi",OBG,AIIMS-All India,ST
0,3921,Assam,"AIIMS, Guwahati",ANATOMY,AIIMS-All India,UR
0,3923,Assam,"AIIMS, Guwahati",MICROBIOLOGY,AIIMS-All India,UR
0,3932,Uttar Pradesh,"AIIMS, Gorakhpur",BIOCHEMISTRY,AIIMS-All India,UR
0,3957,Uttarakhand,"AIIMS, Rishikesh",COMMUNITY MEDICINE,AIIMS-All India,OBC
0,3958,Uttarakhand,"AIIMS, Rishikesh",ANATOMY,AIIMS-All India,UR
0,3972,Pondicherry,"JIPMER, Puducherry",GENERAL SURGERY,JIPMER-All India,ST
0,3980,Delhi,"AIIMS, Delhi",BIOCHEMISTRY,AIIMS-All India,OBC
0,3990,Odisha,"AIIMS, Bhubaneswar",IHBT,AIIMS-All India,OBC
0,4001,Pondicherry,"JIPMER, Puducherry",EMERGENCY MEDICINE,JIPMER-All India,ST
0,4005,Rajasthan,"AIIMS, Jodhpur",IHBT,AIIMS-All India,OBC
0,4023,Maharashtra,"AIIMS, Nagpur",COMMUNITY MEDICINE,AIIMS-All India,OBC
0,4035,Bihar,"AIIMS, Patna",PATHOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,4039,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",GENERAL SURGERY,AIIMS-All India,SC
0,4047,Andhra Pradesh,"AIIMS, Mangalagiri",IHBT,AIIMS-All India,EWS
0,4073,Andhra Pradesh,"AIIMS, Mangalagiri",PHARMACOLOGY,AIIMS-All India,OBC
0,4080,Maharashtra,"AIIMS, Nagpur",PMR,AIIMS-Inst. Pref,UR-AIIMS-IP
0,4106,Madhya Pradesh,"AIIMS, Bhopal",ENT,AIIMS-All India,SC
0,4111,Pondicherry,"JIPMER, Puducherry",PHARMACOLOGY,JIMPER-Inst. Pref,INST (JIPMER)
0,4115,Chhattisgarh,"AIIMS, Raipur",BIOCHEMISTRY,AIIMS-All India,UR
0,4121,Delhi,"AIIMS, Delhi",HOSPITAL ADMINISTRATION,AIIMS-Inst. Pref,UR-AIIMS-IP
0,4125,Pondicherry,"JIPMER, Puducherry",ANAESTHESIOLOGY,JIPMER-All India,SC
0,4127,Delhi,"AIIMS, Delhi",FORENSIC MEDICINE,AIIMS-All India,OBC
0,4132,Uttarakhand,"AIIMS, Rishikesh",ENT,AIIMS-All India,SC
0,4137,Pondicherry,"JIPMER, Puducherry",MICROBIOLOGY,JIMPER-Inst. Pref,INST (JIPMER)
0,4158,Andhra Pradesh,"AIIMS, Mangalagiri",ANAESTHESIOLOGY,AIIMS-All India,SC
0,4160,Pondicherry,"JIPMER, Puducherry",PATHOLOGY,JIPMER-All India,SC-PwD
0,4163,Pondicherry,"JIPMER, Puducherry",MICROBIOLOGY,JIPMER-All India,EWS
0,4170,Telangana,"AIIMS, Bibinagar",ORTHOPAEDICS,AIIMS-All India,SC
0,4178,Bihar,"AIIMS, Patna",PSYCHIATRY,AIIMS-All India,SC
0,4190,Chhattisgarh,"AIIMS, Raipur",COMMUNITY MEDICINE,AIIMS-Inst. Pref,UR-AIIMS-IP
0,4204,Maharashtra,"AIIMS, Nagpur",ANAESTHESIOLOGY,AIIMS-All India,SC
0,4208,Punjab,"AIIMS, Bathinda",ORTHOPAEDICS,AIIMS-All India,SC
0,4210,Punjab,"AIIMS, Bathinda",OPHTHALMOLOGY,AIIMS-All India,SC
0,4214,Uttar Pradesh,"AIIMS, Gorakhpur",OBG,AIIMS-All India,ST
0,4217,Jharkhand,"AIIMS, Deoghar",PHYSIOLOGY,AIIMS-All India,UR
0,4232,Delhi,"AIIMS, Delhi",BIOPHYSICS,AIIMS-All India,EWS
0,4239,Odisha,"AIIMS, Bhubaneswar",PAEDIATRICS,AIIMS-All India,ST
0,4249,Chhattisgarh,"AIIMS, Raipur",COMMUNITY MEDICINE,AIIMS-All India,OBC
0,4258,Chhattisgarh,"AIIMS, Raipur",COMMUNITY MEDICINE,AIIMS-All India,OBC
0,4267,Pondicherry,"JIPMER, Puducherry",COMMUNITY MEDICINE,JIPMER-All India,SC
0,4272,Uttar Pradesh,"AIIMS, Gorakhpur",RADIATION ONCOLOGY,AIIMS-All India,SC
0,4282,Odisha,"AIIMS, Bhubaneswar",ENT,AIIMS-All India,SC
0,4284,Jammu and Kashmir,"AIIMS, Jammu",PHYSIOLOGY,AIIMS-All India,UR
0,4331,Bihar,"AIIMS, Patna",IHBT,AIIMS-Inst. Pref,UR-AIIMS-IP
0,4338,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",ORTHOPAEDICS,AIIMS-All India,SC
0,4353,Telangana,"AIIMS, Bibinagar",COMMUNITY MEDICINE,AIIMS-All India,OBC
0,4357,Delhi,"AIIMS, Delhi",BIOPHYSICS,AIIMS-All India,OBC
0,4368,Delhi,"AIIMS, Delhi",PHYSIOLOGY,AIIMS-All India,OBC
0,4370,Jammu and Kashmir,"AIIMS, Jammu",ANATOMY,AIIMS-All India,UR
0,4378,Rajasthan,"AIIMS, Jodhpur",ANAESTHESIOLOGY,AIIMS-All India,SC
0,4401,Chhattisgarh,"AIIMS, Raipur",ANATOMY,AIIMS-All India,UR
0,4406,Andhra Pradesh,"AIIMS, Mangalagiri",ANATOMY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,4408,Uttarakhand,"AIIMS, Rishikesh",MICROBIOLOGY,AIIMS-All India,OBC
0,4413,Jharkhand,"AIIMS, Deoghar",COMMUNITY & FAMILY MEDICINE,AIIMS-All India,OBC
0,4420,West Bengal,"AIIMS, Kalyani",ORTHOPAEDICS,AIIMS-All India,SC
0,4440,Rajasthan,"AIIMS, Jodhpur",FORENSIC MEDICINE,AIIMS-All India,OBC
0,4459,Rajasthan,"AIIMS, Jodhpur",PHARMACOLOGY,AIIMS-All India,OBC
0,4463,Bihar,"AIIMS, Patna",FORENSIC MEDICINE,AIIMS-All India,OBC
0,4473,Telangana,"AIIMS, Bibinagar",ANAESTHESIOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,4478,Madhya Pradesh,"AIIMS, Bhopal",MICROBIOLOGY,AIIMS-All India,OBC
0,4531,Uttar Pradesh,"AIIMS, Rai Bareli",GENERAL MEDICINE,AIIMS-All India,ST
0,4541,Andhra Pradesh,"AIIMS, Mangalagiri",OPHTHALMOLOGY,AIIMS-All India,SC
0,4546,Maharashtra,"AIIMS, Nagpur",BIOCHEMISTRY,AIIMS-All India,UR
0,4551,Andhra Pradesh,"AIIMS, Mangalagiri",PHYSIOLOGY,AIIMS-All India,UR
0,4609,Pondicherry,"JIPMER, Puducherry",ANAESTHESIOLOGY,JIPMER-All India,ST
0,4616,Uttarakhand,"AIIMS, Rishikesh",ANAESTHESIOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,4628,Rajasthan,"AIIMS, Jodhpur",ANAESTHESIOLOGY,AIIMS-All India,SC
0,4629,West Bengal,"AIIMS, Kalyani",OPHTHALMOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,4630,Madhya Pradesh,"AIIMS, Bhopal",FAMILY MEDICINE,AIIMS-Inst. Pref,UR-AIIMS-IP
0,4650,Uttar Pradesh,"AIIMS, Gorakhpur",EMERGENCY MEDICINE,AIIMS-All India,SC
0,4672,Gujarat,"AIIMS, Rajkot",RADIATION ONCOLOGY,AIIMS-All India,SC
0,4683,Telangana,"AIIMS, Bibinagar",COMMUNITY MEDICINE,AIIMS-All India,EWS
0,4700,Maharashtra,"AIIMS, Nagpur",BIOCHEMISTRY,AIIMS-All India,UR
0,4709,Jharkhand,"AIIMS, Deoghar",BIOCHEMISTRY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,4712,Chhattisgarh,"AIIMS, Raipur",COMMUNITY MEDICINE,AIIMS-All India,EWS
0,4713,West Bengal,"AIIMS, Kalyani",ENT,AIIMS-All India,SC
0,4718,Odisha,"AIIMS, Bhubaneswar",PMR,AIIMS-Inst. Pref,UR-AIIMS-IP
0,4769,Chhattisgarh,"AIIMS, Raipur",EMERGENCY MEDICINE,AIIMS-All India,SC
0,4799,Jharkhand,"AIIMS, Deoghar",ORTHOPAEDICS,AIIMS-All India,SC
0,4803,Punjab,"AIIMS, Bathinda",PAEDIATRIC SURGERY 6 YRS,AIIMS-Inst. Pref,UR-AIIMS-IP
0,4805,Uttarakhand,"AIIMS, Rishikesh",GENERAL SURGERY,AIIMS-All India,ST
0,4807,Andhra Pradesh,"AIIMS, Mangalagiri",RADIATION ONCOLOGY,AIIMS-All India,SC
0,4816,West Bengal,"AIIMS, Kalyani",EMERGENCY MEDICINE,AIIMS-All India,SC
0,4825,Odisha,"AIIMS, Bhubaneswar",BIOCHEMISTRY,AIIMS-All India,OBC
0,4833,West Bengal,"AIIMS, Kalyani",FORENSIC MEDICINE,AIIMS-All India,OBC
0,4837,Maharashtra,"AIIMS, Nagpur",FORENSIC MEDICINE,AIIMS-All India,OBC
0,4862,Delhi,"AIIMS, Delhi",PATHOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,4872,Madhya Pradesh,"AIIMS, Bhopal",ANAESTHESIOLOGY,AIIMS-All India,SC
0,4881,Uttar Pradesh,"AIIMS, Rai Bareli",COMMUNITY MEDICINE,AIIMS-All India,OBC
0,4921,Odisha,"AIIMS, Bhubaneswar",OBG,AIIMS-All India,ST
0,4927,Pondicherry,"JIPMER, Puducherry",ANATOMY,JIMPER-Inst. Pref,INST (JIPMER)
0,4944,Chhattisgarh,"AIIMS, Raipur",PHARMACOLOGY,AIIMS-All India,OBC
0,4963,West Bengal,"AIIMS, Kalyani",PHYSIOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,4973,Telangana,"AIIMS, Bibinagar",COMMUNITY MEDICINE,AIIMS-Inst. Pref,UR-AIIMS-IP
0,4974,Delhi,"AIIMS, Delhi",ENT,AIIMS-All India,ST
0,4977,Uttar Pradesh,"AIIMS, Rai Bareli",MICROBIOLOGY,AIIMS-All India,OBC
0,4985,Uttarakhand,"AIIMS, Rishikesh",EMERGENCY MEDICINE,AIIMS-All India,ST
0,4995,Odisha,"AIIMS, Bhubaneswar",ENT,AIIMS-All India,SC
0,5012,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",ANATOMY,AIIMS-All India,UR
0,5031,Telangana,"AIIMS, Bibinagar",OPHTHALMOLOGY,AIIMS-All India,SC
0,5035,West Bengal,"AIIMS, Kalyani",PHYSIOLOGY,AIIMS-All India,OBC
0,5047,Jharkhand,"AIIMS, Deoghar",ENT,AIIMS-Inst. Pref,UR-AIIMS-IP
0,5049,West Bengal,"AIIMS, Kalyani",PHARMACOLOGY,AIIMS-All India,OBC
0,5055,Rajasthan,"AIIMS, Jodhpur",BIOCHEMISTRY,AIIMS-All India,EWS
0,5059,Assam,"AIIMS, Guwahati",PHYSIOLOGY,AIIMS-All India,UR
0,5063,Assam,"AIIMS, Guwahati",BIOCHEMISTRY,AIIMS-All India,UR
0,5069,Bihar,"AIIMS, Patna",PAEDIATRICS,AIIMS-All India,ST
0,5080,Chhattisgarh,"AIIMS, Raipur",PHARMACOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,5092,West Bengal,"AIIMS, Kalyani",OBG,AIIMS-Inst. Pref,UR-AIIMS-IP
0,5093,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",COMMUNITY & FAMILY MEDICINE,AIIMS-All India,EWS
0,5098,Maharashtra,"AIIMS, Nagpur",MICROBIOLOGY,AIIMS-All India,OBC
0,5102,West Bengal,"AIIMS, Kalyani",OPHTHALMOLOGY,AIIMS-All India,SC
0,5106,Assam,"AIIMS, Guwahati",PHYSIOLOGY,AIIMS-All India,UR
0,5139,West Bengal,"AIIMS, Kalyani",ANATOMY,AIIMS-All India,UR
0,5151,Chhattisgarh,"AIIMS, Raipur",MICROBIOLOGY,AIIMS-All India,OBC
0,5153,Uttar Pradesh,"AIIMS, Rai Bareli",PAEDIATRICS,AIIMS-All India,ST
0,5161,Gujarat,"AIIMS, Rajkot",ANATOMY,AIIMS-All India,UR
0,5183,Chandigarh,"PGIMER, Chandigarh",ANAESTHESIOLOGY,PGIMER-All India,ST
0,5188,West Bengal,"AIIMS, Kalyani",PAEDIATRICS,AIIMS-All India,ST
0,5212,West Bengal,"AIIMS, Kalyani",PSYCHIATRY,AIIMS-All India,SC
