Quota,Category,State,Institute,Course,Fee,CR 2025 1,CR 2025 2,CR 2025 3
AIIMS SO,Open,Delhi,"AIIMS, Delhi",MBBS,1350,48(48),48(48),48(48)
AI,Open,Delhi,"MAMC, Delhi",MBBS,2095,103(14),103(14),103(14)
AI,Open,Delhi,"VMMC, Delhi",MBBS,41000,132(10),132(10),132(10)
AIIMS SO,OBC,Delhi,"AIIMS, Delhi",MBBS,1350,206(33),207(33),207(33)
AI,Open,Delhi,"ABVIMS (Dr RML Hosp), Delhi",MBBS,41000,215(5),215(5),215(5)
AI,OBC,Delhi,"VMMC, Delhi",MBBS,41000,232(5),232(5),232(5)
AIIMS SO,EWS,Delhi,"AIIMS, Delhi",MBBS,1350,254(12),254(12),254(12)
JPMR SO,Open,Pondicherry,"JIPMER, Puducherry",MBBS,1200,258(52),260(52),260(52)
AI,OBC,Delhi,"MAMC, Delhi",MBBS,2095,381(9),381(9),381(9)
AIIMS SO,Open,Rajasthan,"AIIMS, Jodhpur",MBBS,1350,392(57),392(57),392(57)
AI,Open,Delhi,"UCMS, Delhi",MBBS,31340,559(9),559(9),559(9)
AIIMS SO,Open,Madhya Pradesh,"AIIMS, Bhopal",MBBS,1350,531(47),634(47),634(47)
AIIMS SO,SC,Delhi,"AIIMS, Delhi",MBBS,1350,644(18),644(18),644(18)
AI,Open,Chandigarh,"GMC, Chandigarh",MBBS,24979,690(10),690(10),690(10)
AI,EWS,Delhi,"VMMC, Delhi",MBBS,41000,693(3),693(3),693(3)
JPMR SO,OBC,Pondicherry,"JIPMER, Puducherry",MBBS,1200,738(35),748(35),748(35)
AIIMS SO,OBC,Rajasthan,"AIIMS, Jodhpur",MBBS,1350,766(38),766(38),766(38)
AIIMS SO,Open,Odisha,"AIIMS, Bhubaneswar",MBBS,1350,706(49),765(49),785(49)
AI,EWS,Delhi,"MAMC, Delhi",MBBS,2095,789(4),789(4),789(4)
AIIMS SO,Open,Uttarakhand,"AIIMS, Rishikesh",MBBS,1350,685(48),781(48),816(48)
AI,Open,Gujarat,"BJMC, Ahmedabad",MBBS,25000,889(14),889(14),889(14)
AI,EWS,Delhi,"ABVIMS (Dr RML Hosp), Delhi",MBBS,41000,1009(2),1009(2),1009(2)
AIIMS SO,Open,Maharashtra,"AIIMS, Nagpur",MBBS,1350,862(50),891(50),1030(50)
AIIMS SO,OBC,Uttarakhand,"AIIMS, Rishikesh",MBBS,1350,1077(33),1104(33),1104(33)
AI,OBC,Delhi,"ABVIMS (Dr RML Hosp), Delhi",MBBS,41000,519(5),519(5),1125(5)
AI,Open,Maharashtra,"Seth GS, Mumbai",MBBS,158600,868(15),1126(15),1126(15)
AI,Open,Delhi,"Lady Hardinge, Delhi",MBBS,1665,1128(14),1129(14),1129(14)
AIIMS SO,OBC,Madhya Pradesh,"AIIMS, Bhopal",MBBS,1350,1142(33),1142(33),1142(33)
AIIMS SO,EWS,Rajasthan,"AIIMS, Jodhpur",MBBS,1350,1153(14),1153(14),1153(14)
AI,Open,Kerala,"Govt Med Coll, Kozhikode",MBBS,23150,1173(15),1173(15),1173(15)
IP,Open,Delhi,"VMMC, Delhi",MBBS,41000,1221(53),1221(53),1221(53)
AI,Open,Tamil Nadu,"Madras Med Coll, Chennai",MBBS,18073,695(14),1296(14),1296(14)
AI,OBC,Tamil Nadu,"Madras Med Coll, Chennai",MBBS,18073,920(10),1324(10),1324(10)
AIIMS SO,Open,Andhra Pradesh,"AIIMS, Mangalagiri",MBBS,1350,1357(46),1357(46),1357(46)
AIIMS SO,Open,Chhattisgarh,"AIIMS, Raipur",MBBS,1350,1235(48),1376(48),1376(48)
AIIMS SO,ST,Delhi,"AIIMS, Delhi",MBBS,1350,1405(9),1405(9),1405(9)
AIIMS SO,OBC,Odisha,"AIIMS, Bhubaneswar",MBBS,1350,1481(32),1481(32),1481(32)
AIIMS SO,OBC,Maharashtra,"AIIMS, Nagpur",MBBS,1350,1520(32),1520(32),1520(32)
AIIMS SO,EWS,Madhya Pradesh,"AIIMS, Bhopal",MBBS,1350,1582(12),1582(12),1582(12)
AI,EWS,Delhi,"UCMS, Delhi",MBBS,31340,1168(2),1595(2),1595(2)
JPMR SO,EWS,Pondicherry,"JIPMER, Puducherry",MBBS,1200,1362(12),1624(12),1624(12)
AI,Open,Karnataka,"Bangalore Med Coll, Bangalore",MBBS,64350,1338(15),1642(15),1642(15)
AI,OBC,Rajasthan,"SMS, Jaipur",MBBS,96100,1656(10),1656(10),1656(10)
BHU SO,Open,Uttar Pradesh,"IMS(BHU), Varanasi",MBBS,33739,1165(38),1606(38),1709(38)
AIIMS SO,EWS,Uttarakhand,"AIIMS, Rishikesh",MBBS,1350,1540(12),1540(12),1715(12)
AI,EWS,Delhi,"Lady Hardinge, Delhi",MBBS,1665,1762(2),1762(2),1762(2)
AIIMS SO,Open,Punjab,"AIIMS, Bathinda",MBBS,1350,1733(39),1798(39),1798(39)
AIIMS SO,Open,Telangana,"AIIMS, Bibinagar",MBBS,1350,1782(38),1793(38),1874(38)
AI,EWS,Rajasthan,"SMS, Jaipur",MBBS,96100,1892(4),1892(4),1892(4)
AI,EWS,Chandigarh,"GMC, Chandigarh",MBBS,24979,1933(2),1933(2),1933(2)
AIIMS SO,Open,Bihar,"AIIMS, Patna",MBBS,1350,1537(50),1907(50),1939(50)
AI,OBC,Delhi,"Lady Hardinge, Delhi",MBBS,1665,1959(9),1959(9),1959(9)
AIIMS SO,OBC,Chhattisgarh,"AIIMS, Raipur",MBBS,1350,1914(31),2016(31),2016(31)
AIIMS SO,EWS,Maharashtra,"AIIMS, Nagpur",MBBS,1350,1885(11),1885(11),2023(11)
AI,OBC,Delhi,"UCMS, Delhi",MBBS,31340,1167(7),1220(7),2106(7)
DU,Open,Delhi,"MAMC, Delhi",MBBS,2095,1908(94),2177(94),2177(94)
AIIMS SO,EWS,Odisha,"AIIMS, Bhubaneswar",MBBS,1350,2259(11),2259(11),2259(11)
BHU SO,EWS,Uttar Pradesh,"IMS(BHU), Varanasi",MBBS,33739,2194(9),2284(9),2284(9)
AIIMS SO,Open,West Bengal,"AIIMS, Kalyani",MBBS,1350,2276(48),2417(48),2417(48)
AI,Open,Delhi,"Dr BSA Med Coll, Delhi",MBBS,75000,1772(8),2459(8),2459(8)
AIIMS SO,OBC,Punjab,"AIIMS, Bathinda",MBBS,1350,2369(25),2453(25),2482(25)
IP,Open,Delhi,"ABVIMS (Dr RML Hosp), Delhi",MBBS,41000,2502(30),2502(30),2502(30)
AI,Open,Rajasthan,"SMS, Jaipur",MBBS,96100,1174(15),1174(15),2531(15)
AIIMS SO,OBC,Andhra Pradesh,"AIIMS, Mangalagiri",MBBS,1350,2520(33),2575(33),2575(33)
AI,Open,Uttar Pradesh,"KGMU, Lucknow",MBBS,47600,1628(14),1803(14),2588(14)
AI,OBC,Kerala,"Govt Med Coll, Kozhikode",MBBS,23150,1556(10),2597(10),2597(10)
AIIMS SO,Open,Uttar Pradesh,"AIIMS, Gorakhpur",MBBS,1350,2091(47),2552(47),2602(47)
BHU SO,OBC,Uttar Pradesh,"IMS(BHU), Varanasi",MBBS,33739,1808(25),2260(25),2620(25)
AIIMS SO,EWS,Chhattisgarh,"AIIMS, Raipur",MBBS,1350,2621(12),2631(12),2631(12)
AIIMS SO,OBC,Bihar,"AIIMS, Patna",MBBS,1350,2132(32),2540(32),2705(32)
AIIMS SO,Open,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",MBBS,1350,2183(38),2512(38),2788(38)
AI,EWS,Delhi,"Dr BSA Med Coll, Delhi",MBBS,75000,2636(2),2830(2),2830(2)
AI,Open,Telangana,"Gandhi Med Coll, Secunderabad",MBBS,14000,2173(14),2166(14),2909(14)
AI,SC,Delhi,"VMMC, Delhi",MBBS,41000,2934(4),2934(4),2934(4)
AI,Open,Delhi,"NDMC Med College, Delhi",MBBS,105500,1744(4),2645(4),2986(4)
AIIMS SO,EWS,Bihar,"AIIMS, Patna",MBBS,1350,2988(12),3028(12),3028(12)
AIIMS SO,EWS,Punjab,"AIIMS, Bathinda",MBBS,1350,2999(10),3066(10),3066(10)
AI,Open,Delhi,"ESI, Basaidarpur, Delhi",MBBS,100000,-,3086(3),3086(3)
AI,EWS,Uttar Pradesh,"KGMU, Lucknow",MBBS,47600,2830(4),3073(4),3211(4)
AIIMS SO,EWS,Gujarat,"AIIMS, Rajkot",MBBS,1350,3215(7),3215(7),3215(7)
AI,Open,Maharashtra,"BJMC, Pune",MBBS,158600,2542(13),3236(13),3236(13)
AIIMS SO,Open,Gujarat,"AIIMS, Rajkot",MBBS,1350,1997(29),2642(29),3254(29)
AIIMS SO,EWS,Uttar Pradesh,"AIIMS, Gorakhpur",MBBS,1350,3081(12),3355(12),3355(12)
AIIMS SO,OBC,Gujarat,"AIIMS, Rajkot",MBBS,1350,2998(19),3287(19),3406(19)
AIIMS SO,OBC,Telangana,"AIIMS, Bibinagar",MBBS,1350,2894(26),3191(26),3464(26)
AI,Open,Jammu and Kashmir,"Govt Med Coll, Srinagar",MBBS,26250,2592(11),3536(12),3536(12)
AIIMS SO,OBC,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",MBBS,1350,2959(25),3153(25),3549(25)
AI,OBC,Chandigarh,"GMC, Chandigarh",MBBS,24979,2578(6),2976(6),3556(6)
AI,Open,West Bengal,"Medical College, Kolkata",MBBS,9000,2714(15),3581(15),3581(15)
AIIMS SO,OBC,Uttar Pradesh,"AIIMS, Gorakhpur",MBBS,1350,2654(32),3151(32),3595(32)
AI,OBC,Maharashtra,"Seth GS, Mumbai",MBBS,158600,3140(10),3703(10),3703(10)
AI,EWS,Gujarat,"BJMC, Ahmedabad",MBBS,25000,2677(4),2677(4),3714(4)
AIIMS SO,Open,Uttar Pradesh,"AIIMS, Rai Bareli",MBBS,1350,2600(39),3284(39),3736(39)
IP,EWS,Delhi,"VMMC, Delhi",MBBS,41000,3776(12),3776(12),3776(12)
AI,OBC,Delhi,"Dr BSA Med Coll, Delhi",MBBS,75000,2504(5),3669(5),3806(5)
JPMR SO,SC,Pondicherry,"JIPMER, Puducherry",MBBS,1200,3877(19),3877(19),3877(19)
IP,OBC,Delhi,"VMMC, Delhi",MBBS,41000,3946(33),3946(33),3946(33)
AIIMS SO,EWS,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",MBBS,1350,3630(10),3666(10),3957(10)
AIIMS SO,Open,Jammu and Kashmir,"AIIMS, Jammu",MBBS,1350,3389(39),3898(39),3993(39)
DU,Open,Delhi,"UCMS, Delhi",MBBS,31340,3924(58),3938(58),4076(58)
AIIMS SO,Open,Jharkhand,"AIIMS, Deoghar",MBBS,1350,3164(48),3586(48),4159(48)
AI,OBC,Uttar Pradesh,"KGMU, Lucknow",MBBS,47600,3102(9),3735(9),4217(9)
AIIMS SO,EWS,Telangana,"AIIMS, Bibinagar",MBBS,1350,3956(9),4225(9),4225(9)
AIIMS SO,OBC,Uttar Pradesh,"AIIMS, Rai Bareli",MBBS,1350,3279(26),3545(26),4282(26)
AI,Open,Rajasthan,"RUHS, Jaipur",MBBS,96029,2658(7),4322(7),4322(7)
AIIMS SO,OBC,Jammu and Kashmir,"AIIMS, Jammu",MBBS,1350,4085(26),4314(26),4335(26)
AIIMS SO,EWS,Andhra Pradesh,"AIIMS, Mangalagiri",MBBS,1350,4369(12),4336(12),4336(12)
AIIMS SO,Open,Assam,"AIIMS, Guwahati",MBBS,1350,3177(38),4016(38),4420(38)
AIIMS SO,OBC,West Bengal,"AIIMS, Kalyani",MBBS,1350,3406(31),3861(31),4442(31)
AIIMS SO,EWS,Uttar Pradesh,"AIIMS, Rai Bareli",MBBS,1350,3646(10),3918(10),4501(10)
AIIMS SO,OBC,Jharkhand,"AIIMS, Deoghar",MBBS,1350,3784(32),4463(32),4753(32)
AI,EWS,West Bengal,"IPGMER, Kolkata",MBBS,9000,4783(3),4815(3),4815(3)
AI,Open,Kerala,"Medical College, Trivandrum",MBBS,23150,1695(13),3218(13),4913(13)
AI,OBC,Delhi,"NDMC Med College, Delhi",MBBS,105500,2683(3),3754(3),4918(3)
AI,OBC,Gujarat,"BJMC, Ahmedabad",MBBS,25000,3089(9),4226(9),5015(9)
AI,EWS,Delhi,"NDMC Med College, Delhi",MBBS,105500,2370(1),2866(1),5106(1)
AI,EWS,Rajasthan,"RUHS, Jaipur",MBBS,96029,3873(2),5194(2),5194(2)
AI,SC,Delhi,"MAMC, Delhi",MBBS,2095,5218(5),5218(5),5218(5)
AIIMS SO,EWS,West Bengal,"AIIMS, Kalyani",MBBS,1350,4292(12),4703(12),5254(12)
AIIMS SO,EWS,Jammu and Kashmir,"AIIMS, Jammu",MBBS,1350,4603(9),4945(9),5308(9)
AI,OBC,Karnataka,"Bangalore Med Coll, Bangalore",MBBS,64350,3040(9),4475(9),5352(9)
AIIMS SO,OBC,Assam,"AIIMS, Guwahati",MBBS,1350,4063(26),4708(26),5382(26)
AI,EWS,Delhi,"ESI, Basaidarpur, Delhi",MBBS,100000,-,3957(1),5446(1)
AI,Open,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",MBBS,158600,1887(10),4108(10),5483(10)
AI,Open,Gujarat,"Govt Med Coll, Surat",MBBS,25000,3869(13),5895(13),5503(13)
AIIMS SO,EWS,Jharkhand,"AIIMS, Deoghar",MBBS,1350,4493(12),4672(12),5523(12)
AI,ST,Delhi,"MAMC, Delhi",MBBS,2095,5543(3),5543(3),5543(3)
AI,EWS,Maharashtra,"Seth GS, Mumbai",MBBS,158600,4157(4),4337(4),5545(4)
DU,Open,Delhi,"Lady Hardinge, Delhi",MBBS,1665,5577(70),5551(70),5551(70)
DU,OBC,Delhi,"MAMC, Delhi",MBBS,2095,5555(50),5555(50),5555(50)
AI,EWS,Haryana,"Pt BD Sharma, Rohtak",MBBS,61410,5562(4),5562(4),5562(4)
AI,Open,Punjab,"Govt Med Coll, Patiala",MBBS,192000,4156(13),5627(13),5627(13)
AI,OBC,Bihar,"Patna Med Coll, Patna",MBBS,9500,4258(7),5686(7),5686(7)
JPMR SO,Open,Pondicherry,"JIPMER, Karaikal",MBBS,1200,2633(16),4203(16),5731(16)
AI,OBC,Kerala,"Medical College, Trivandrum",MBBS,23150,2301(11),5722(11),5764(11)
AI,OBC,Rajasthan,"RUHS, Jaipur",MBBS,96029,3313(6),4716(6),5859(6)
AI,Open,Haryana,"ESI Med Coll, Faridabad",MBBS,100000,3587(7),4729(7),5864(9)
AIIMS SO,EWS,Assam,"AIIMS, Guwahati",MBBS,1350,5310(10),5463(10),5873(10)
AI,Open,Rajasthan,"SP Med Coll, Bikaner",MBBS,96100,3278(15),4608(15),6026(15)
AIIMS SO,SC,Odisha,"AIIMS, Bhubaneswar",MBBS,1350,6034(17),6034(17),6034(17)
AI,Open,Rajasthan,"SNMC, Jodhpur",MBBS,96100,3286(13),5309(13),6102(13)
AMU SO,Open,Uttar Pradesh,"JNMC (AMU), Aligarh",MBBS,60300,3971(68),5300(68),6170(68)
AI,OBC,Rajasthan,"SP Med Coll, Bikaner",MBBS,96100,3662(10),5084(10),6177(10)
AI,Open,Uttar Pradesh,"Dr RML IMS, Lucknow",MBBS,24000,3323(12),4280(12),6184(12)
AI,Open,Maharashtra,"Grant Med Coll, Mumbai",MBBS,158600,2368(15),4354(15),6251(15)
IP,EWS,Delhi,"ABVIMS (Dr RML Hosp), Delhi",MBBS,41000,5269(8),5269(8),6307(9)
AI,OBC,Rajasthan,"SNMC, Jodhpur",MBBS,96100,3912(9),5588(9),6314(9)
AI,Open,West Bengal,"IPGMER, Kolkata",MBBS,9000,3260(12),4137(12),6327(12)
AI,Open,Telangana,"Osmania Med Coll, Hyderabad",MBBS,14000,2892(14),4318(14),6374(14)
AI,EWS,Uttar Pradesh,"Dr RML IMS, Lucknow",MBBS,24000,3792(2),4640(2),6389(2)
AI,Open,Rajasthan,"ESIC Med Coll, Jaipur",MBBS,100000,-,-,6481(5)
AI,Open,Telangana,"ESIC Med Coll,Sanath Nagar",MBBS,100000,3437(6),4885(8),6515(8)
AI,SC,Tamil Nadu,"Madras Med Coll, Chennai",MBBS,18073,6518(6),6518(6),6518(6)
IP,Open,Delhi,"ESI, Basaidarpur, Delhi",MBBS,100000,-,-,6556(15)
AI,Open,Himachal Pradesh,"IGMC, Shimla",MBBS,50000,2882(8),4222(8),6571(8)
AI,Open,Bihar,"Patna Med Coll, Patna",MBBS,9500,3797(11),5045(11),6597(11)
AIIMS SO,SC,Rajasthan,"AIIMS, Jodhpur",MBBS,1350,6920(22),6698(22),6698(22)
AI,Open,Uttar Pradesh,"Govt IMS, Kasna",MBBS,24000,4401(7),4856(7),6760(7)
IP,OBC,Delhi,"ABVIMS (Dr RML Hosp), Delhi",MBBS,41000,6763(21),6763(21),6763(21)
AI,Open,Tamil Nadu,"Stanley Med Coll, Chennai",MBBS,18073,1258(14),4677(14),6781(14)
AI,Open,Maharashtra,"HBT & RN Cooper, Mumbai",MBBS,158600,4153(10),6544(10),6782(10)
AI,EWS,Uttar Pradesh,"ESIC MedCollHosp,Noida",MBBS,100000,-,6792(1),6792(1)
AI,OBC,Uttar Pradesh,"Dr RML IMS, Lucknow",MBBS,24000,4283(8),5077(8),6814(8)
AI,EWS,Bihar,"Patna Med Coll, Patna",MBBS,9500,5254(3),5254(3),6821(3)
AI,Open,Rajasthan,"RNT, Udaipur",MBBS,96029,3890(17),5912(17),6828(17)
AI,EWS,Tamil Nadu,"Madras Med Coll, Chennai",MBBS,18073,3168(2),3615(2),6861(3)
AI,Open,Himachal Pradesh,"RPG, Tanda",MBBS,50000,4392(6),6318(6),6983(6)
AI,EWS,Rajasthan,"SP Med Coll, Bikaner",MBBS,96100,4472(4),7013(4),7013(4)
AIIMS SO,SC,Madhya Pradesh,"AIIMS, Bhopal",MBBS,1350,7030(18),7030(18),7030(18)
AI,Open,Gujarat,"Medical College, Baroda",MBBS,25000,2986(15),4429(15),7081(15)
AI,OBC,Tamil Nadu,"Stanley Med Coll, Chennai",MBBS,18073,1735(10),5375(10),7131(10)
AIIMS SO,Open,Tamil Nadu,"AIIMS, Madurai",MBBS,1350,3597(20),5761(20),7143(20)
AI,Open,Uttar Pradesh,"ESIC MedCollHosp,Noida",MBBS,100000,-,6403(2),7166(2)
AI,Open,Odisha,"SCB, Cuttack",MBBS,22000,2618(15),4959(15),7227(15)
AI,EWS,Rajasthan,"SNMC, Jodhpur",MBBS,96100,4938(4),7232(4),7232(4)
AI,EWS,Karnataka,"Bangalore Med Coll, Bangalore",MBBS,64350,4514(4),5719(4),7252(4)
AI,EWS,Telangana,"Gandhi Med Coll, Secunderabad",MBBS,14000,4977(2),4977(2),7253(2)
AI,EWS,Maharashtra,"Grant Med Coll, Mumbai",MBBS,158600,5194(4),6602(4),7262(4)
AI,Open,Andhra Pradesh,"Andhra Med Coll, Vizag",MBBS,15000,3935(16),7258(16),7267(16)
AI,Open,Kerala,"Govt Med Coll, Kottayam",MBBS,23150,2172(11),6310(11),7279(11)
AI,Open,Maharashtra,"Topiwala, Mumbai",MBBS,158600,2876(9),5829(9),7284(9)
AI,OBC,Odisha,"SCB, Cuttack",MBBS,22000,4882(10),5172(10),7351(10)
AI,EWS,West Bengal,"Medical College, Kolkata",MBBS,9000,5183(4),5368(4),7487(4)
AI,Open,Rajasthan,"JLNMC, Ajmer",MBBS,96075,4264(14),6634(14),7505(14)
AI,Open,Kerala,"Govt Med Coll, Thrissur",MBBS,23150,2709(10),6538(10),7547(10)
AI,ST,Delhi,"VMMC, Delhi",MBBS,41000,7556(2),7556(2),7556(2)
AI,OBC,Jharkhand,"Rajendra IMS, Ranchi",MBBS,17500,5315(6),7587(6),7587(6)
AI,Open,Haryana,"Pt BD Sharma, Rohtak",MBBS,61410,3756(15),5139(15),7588(15)
AI,Open,Karnataka,"Shri Atal Bihari Vajpayee, BLR",MBBS,64350,2355(9),6326(11),7675(11)
AI,EWS,Himachal Pradesh,"IGMC, Shimla",MBBS,50000,3786(1),5106(1),7676(1)
AI,OBC,Rajasthan,"RNT, Udaipur",MBBS,96029,4208(9),6323(9),7695(9)
AI,OBC,Himachal Pradesh,"IGMC, Shimla",MBBS,50000,3947(4),5212(4),7698(4)
JPMR SO,OBC,Pondicherry,"JIPMER, Karaikal",MBBS,1200,3452(11),5727(11),7700(11)
AI,EWS,Odisha,"SCB, Cuttack",MBBS,22000,4961(4),7747(4),7747(4)
AI,OBC,Rajasthan,"JLNMC, Ajmer",MBBS,96075,4473(10),6942(10),7787(10)
AIIMS SO,ST,Rajasthan,"AIIMS, Jodhpur",MBBS,1350,7353(11),7353(11),7835(11)
AI,EWS,Rajasthan,"RNT, Udaipur",MBBS,96029,5007(3),7838(3),7838(3)
AI,Open,Madhya Pradesh,"MGM Med Coll, Indore",MBBS,100000,4185(15),6057(15),7866(15)
AI,EWS,Madhya Pradesh,"MGM Med Coll, Indore",MBBS,100000,6389(4),7972(4),7972(4)
AI,OBC,Telangana,"Gandhi Med Coll, Secunderabad",MBBS,14000,3554(8),4282(8),7999(8)
AI,OBC,Gujarat,"Medical College, Baroda",MBBS,25000,4716(10),6568(10),8033(10)
AI,OBC,Rajasthan,"ESIC Med Coll, Jaipur",MBBS,100000,-,-,8056(2)
AI,EWS,Haryana,"ESI Med Coll, Faridabad",MBBS,100000,5048(2),5048(2),8083(3)
JPMR SO,EWS,Pondicherry,"JIPMER, Karaikal",MBBS,1200,5105(5),6616(5),8126(5)
AI,OBC,Gujarat,"Govt Med Coll, Surat",MBBS,25000,5432(11),7410(11),8149(11)
AI,OBC,Kerala,"Govt Med Coll, Thrissur",MBBS,23150,3275(6),7015(6),8155(6)
AI,OBC,Delhi,"ESI, Basaidarpur, Delhi",MBBS,100000,-,5903(2),8175(2)
AI,EWS,Rajasthan,"JLNMC, Ajmer",MBBS,96075,5830(4),8225(4),8225(4)
AIIMS SO,SC,Uttarakhand,"AIIMS, Rishikesh",MBBS,1350,8240(19),8240(19),8240(19)
AI,OBC,Himachal Pradesh,"RPG, Tanda",MBBS,50000,5651(5),7088(5),8273(5)
AI,Open,Bihar,"IGIMS, Patna",MBBS,81667,4482(9),7506(9),8317(9)
AI,Open,Rajasthan,"Govt Med Coll, Kota",MBBS,96100,4680(14),7263(14),8335(14)
DU,OBC,Delhi,"UCMS, Delhi",MBBS,31340,8467(35),8467(35),8467(35)
AI,OBC,Haryana,"ESI Med Coll, Faridabad",MBBS,100000,4957(5),6675(5),8475(6)
AI,OBC,Kerala,"Govt Med Coll, Kottayam",MBBS,23150,2835(6),8244(6),8485(6)
AI,Open,Jharkhand,"Rajendra IMS, Ranchi",MBBS,17500,4515(11),6563(11),8595(11)
AIIMS SO,OBC,Tamil Nadu,"AIIMS, Madurai",MBBS,1350,4627(13),6456(13),8617(13)
AI,EWS,Uttar Pradesh,"LLRM Med Coll, Meerut",MBBS,24000,7780(2),8627(2),8627(2)
AI,EWS,Bihar,"IGIMS, Patna",MBBS,81667,5477(2),8083(2),8631(2)
AI,OBC,West Bengal,"IPGMER, Kolkata",MBBS,9000,4770(7),6987(7),8662(7)
AI,Open,Uttar Pradesh,"LLRM Med Coll, Meerut",MBBS,24000,4621(9),6556(9),8670(9)
AI,OBC,Rajasthan,"Govt Med Coll, Kota",MBBS,96100,5100(9),7748(9),8677(9)
AIIMS SO,SC,Maharashtra,"AIIMS, Nagpur",MBBS,1350,8326(17),8697(17),8697(17)
AI,Open,Maharashtra,"Govt Med Coll, Nagpur",MBBS,158600,4260(13),6718(13),8699(13)
AI,OBC,West Bengal,"Medical College, Kolkata",MBBS,9000,5022(9),6064(9),8754(9)
AI,EWS,Telangana,"Osmania Med Coll, Hyderabad",MBBS,14000,6616(3),5617(3),8757(3)
AI,OBC,Maharashtra,"Grant Med Coll, Mumbai",MBBS,158600,4444(9),6448(9),8758(9)
AI,EWS,Jharkhand,"Rajendra IMS, Ranchi",MBBS,17500,6622(2),7783(2),8785(2)
AI,OBC,Bihar,"IGIMS, Patna",MBBS,81667,5180(6),8483(6),8853(6)
AI,Open,Rajasthan,"Shri Kalyan MedColl,Sikar",MBBS,96029,5485(5),7194(5),8903(5)
AI,Open,Uttar Pradesh,"S N Med Coll, Agra",MBBS,24000,4945(12),7190(12),8950(12)
AI,EWS,Andhra Pradesh,"Andhra Med Coll, Vizag",MBBS,15000,7095(4),8775(4),8958(4)
AI,EWS,Rajasthan,"Govt Med Coll, Kota",MBBS,96100,6519(4),9037(4),9037(4)
AI,EWS,Haryana,"Kalpana Chawala Govt MC,Karnal",MBBS,61410,7844(2),9048(2),9048(2)
AI,OBC,Rajasthan,"Shri Kalyan MedColl,Sikar",MBBS,96029,5834(4),8184(4),9077(4)
AI,Open,Tamil Nadu,"Kilpauk Med Coll, Chennai",MBBS,18073,1758(8),7100(8),9114(8)
AI,Open,Gujarat,"PDU Med Coll, Rajkot",MBBS,25000,5609(13),8033(13),9123(13)
AI,Open,Gujarat,"MP Shah, Jamnagar",MBBS,25000,5864(16),8632(16),9171(16)
AI,Open,Karnataka,"ESI, Bangalore",MBBS,100000,4951(8),7298(8),9180(8)
AI,Open,Rajasthan,"ESIC Med Coll, Alwar",MBBS,100000,5630(7),7756(7),9187(7)
AI,EWS,Gujarat,"Govt Med Coll, Surat",MBBS,25000,6259(3),9222(3),9222(3)
AI,OBC,Maharashtra,"BJMC, Pune",MBBS,158600,4600(9),6464(9),9284(9)
AI,OBC,Telangana,"ESIC Med Coll,Sanath Nagar",MBBS,100000,7488(4),8444(5),9301(5)
AI,EWS,Rajasthan,"ESIC Med Coll, Alwar",MBBS,100000,7109(1),9325(1),9325(1)
AMS-FRGNOCI,Open,Delhi,"AIIMS, Delhi",MBBS,1433362,9332(7),9332(7),9332(7)
AI,Open,Uttar Pradesh,"GSVM Med Coll, Kanpur",MBBS,24000,4575(15),6782(15),9353(15)
AI,Open,Haryana,"Kalpana Chawala Govt MC,Karnal",MBBS,61410,4879(7),7588(7),9358(7)
AI,Open,Karnataka,"Mysore Med Coll, Mysore",MBBS,64350,3087(11),6516(13),9374(13)
AI,OBC,Rajasthan,"ESIC Med Coll, Alwar",MBBS,100000,6229(4),8440(4),9399(4)
AI,Open,Madhya Pradesh,"Gandhi Med Coll, Bhopal",MBBS,100000,4807(13),7436(13),9417(13)
AI,EWS,Gujarat,"ESIC Med Coll, Naroda",MBBS,100000,-,9468(1),9468(1)
AI,OBC,Gujarat,"PDU Med Coll, Rajkot",MBBS,25000,6453(8),8470(8),9496(8)
AI,OBC,Uttar Pradesh,"GSVM Med Coll, Kanpur",MBBS,24000,5462(10),9155(10),9513(10)
AI,EWS,West Bengal,"Nilratan Sircar, Kolkata",MBBS,9000,9130(4),9580(4),9580(4)
AI,EWS,Rajasthan,"Government Med Coll, Dausa",MBBS,96029,9592(1),9592(1),9592(1)
AI,OBC,Uttar Pradesh,"LLRM Med Coll, Meerut",MBBS,24000,5741(6),9513(6),9650(6)
AI,OBC,Gujarat,"MP Shah, Jamnagar",MBBS,25000,7018(9),9040(9),9667(9)
AI,OBC,Andhra Pradesh,"Andhra Med Coll, Vizag",MBBS,15000,5104(10),10160(10),9669(10)
AI,OBC,Madhya Pradesh,"MGM Med Coll, Indore",MBBS,100000,5686(10),7315(10),9789(10)
AI,EWS,Gujarat,"Medical College, Baroda",MBBS,25000,5870(4),8464(4),9820(4)
AI,OBC,Rajasthan,"Govt Med Coll, Pali",MBBS,96029,7989(6),9874(6),9874(6)
AI,OBC,Haryana,"Pt BD Sharma, Rohtak",MBBS,61410,4592(10),8553(10),9920(10)
AI,EWS,Punjab,"Govt Med Coll, Patiala",MBBS,192000,7097(4),9847(4),9925(4)
AI,Open,Kerala,"TD Med Coll, Allepey",MBBS,23150,3414(10),8835(10),9926(10)
