Quota,Category,State,Institute,Course,Fee,CR 2025 1,CR 2025 2,CR 2025 3
AI,ST,Karnataka,"Belagavi IMS, Belagavi",MBBS,64350,65058(1),101472(1),122194(2)
AI,ST,Uttar Pradesh,"Auton. StateMed,Siddharthnagar",MBBS,24000,104601(1),114568(1),122224(1)
AI,ST,Uttarakhand,"Soban Singh Govt Inst, Almora",MBBS,150000,96534(1),106302(1),122242(1)
AI,ST,Maharashtra,"SRTT, Ambajogai",MBBS,158600,106444(1),120665(1),122369(1)
AI,ST,Haryana,"BPS Govt Med Coll, Sonepat",MBBS,61410,96928(1),113394(1),122410(1)
AI,SC,Assam,"ESIC, Beltola",MBBS,100000,-,-,122478(1)
AI,SC,West Bengal,Midnapore Medical College,MBBS,9000,88573(5),122051(5),122611(5)
AI,SC,Karnataka,"Shimoga IMS, Shimoga",MBBS,64350,82744(4),114563(4),122634(4)
AI,ST,Punjab,"Guru Govind Singh, Faridkot",MBBS,192000,96892(2),106595(3),122656(3)
AI,ST,Odisha,"Sri Jagannath Med Coll, Puri",MBBS,22000,93818(1),122663(1),122663(1)
AI,ST,Haryana,"Pt Neki Ram Sharma GovtMedColl, Bhiwani",MBBS,61410,-,119386(1),122750(2)
AI,SC,West Bengal,"Barasat Govt Med Coll, Barasat",MBBS,9000,73405(2),114634(2),122842(2)
AI,ST,Assam,"ESIC, Beltola",MBBS,100000,-,-,122869(1)
AI,SC,Kerala,"TD Med Coll, Allepey",MBBS,23150,51931(4),105611(4),122876(4)
AI,ST,Karnataka,"Chamrajanagar IMS, Karnataka",MBBS,64350,104491(1),122917(1),122917(1)
AI,SC,West Bengal,Purulia Govt Med Coll,MBBS,9000,93051(2),122921(2),122921(2)
AI,SC,Andhra Pradesh,"Rajiv Gandhi IMS, Srikakulam",MBBS,15000,84998(6),121451(6),122928(6)
AI,SC,Maharashtra,"Government Med Coll, Ambernath",MBBS,158600,79284(3),108752(3),123067(3)
AI,SC,Karnataka,"Gadag IMS, Gadag",MBBS,64350,99128(3),123078(3),123145(3)
