State,Institute,Course,Quota,Fee,Beds,Bond Years,Bond Penalty,Stipend Year 1
Gujarat,"GMERS Medical College, Navsari",MBBS,AI,375000,360,1,200000,21840
Gujarat,"GMERS Medical College, Rajpipla",MBBS,AI,375000,Info Not Available,1,200000,21840
Gujarat,"Govt Med College (GMERS), Morbi",MBBS,AI,375000,360,1,200000,21840
Gujarat,"Govt Med Coll (GMERS), Panchmahal",MBBS,AI,375000,Info Not Available,1,200000,21840
Gujarat,"Govt Med Coll (GMERS), Porbandar",MBBS,AI,375000,330,1,200000,21840
Haryana,"BPS Govt Med Coll, Sonepat",MBBS,AI,61410,506,5,2577090,17000
Haryana,"Kalpana Chawala Govt MC,Karnal",MBBS,AI,61410,500,5,2577090,17000
Haryana,"Pt BD Sharma, Rohtak",MBBS,AI,61410,2080,5,2577090,17000
Haryana,"SHKM, Nalhar",MBBS,AI,61410,500,5,2577090,17000
Haryana,"AB Vajpay GovtMedColl,Faridabad",MBBS,AI,61410,Info Not Available,5,2577090,17000
Karnataka,"ESI, Bangalore",MBBS,AI,100000,530,1,500000,26300
Himachal Pradesh,"RPG, Tanda",MBBS,AI,50000,802,Info Not Available,Info not available,20000
Himachal Pradesh,"Govt Med Coll, Nahan",MBBS,AI,50000,313,Info Not Available,Info not available,20000
Himachal Pradesh,"DrRadhakrishnan GovtColl,Hamirpur",MBBS,AI,50000,Info Not Available,Info Not Available,Info not available,20000
Himachal Pradesh,"IGMC, Shimla",MBBS,AI,50000,1031,Info Not Available,Info not available,20000
Himachal Pradesh,"Govt Med Coll, Chamba",MBBS,AI,50000,380,Info Not Available,Info not available,20000
Karnataka,"ESIC Med Coll,Gulbarga",MBBS,AI,100000,480,1,500000,26300
Jammu and Kashmir,"Government Med Coll,Anantnag",MBBS,AI,34214,62,0,0,Info not available
Jammu and Kashmir,"Gove Med Coll, Jammu",MBBS,AI,26250,1700,0,0,Info not available
Jammu and Kashmir,"Government Medical Coll,Kathua",MBBS,AI,26250,Info Not Available,0,0,Info not available
Jammu and Kashmir,"Government Med Coll,Rajouri",MBBS,AI,26250,300,0,0,Info not available
Jammu and Kashmir,"Government Med Coll, Udhampur",MBBS,AI,27060,300,0,0,Info not available
Jammu and Kashmir,"Government Med Coll, Baramulla",MBBS,AI,37636,300,0,0,Info not available
Jammu and Kashmir,"Government Med Coll, Handwara",MBBS,AI,34215,Info Not Available,0,0,Info not available
Jammu and Kashmir,"Govt Med Coll, Srinagar",MBBS,AI,26250,2150,0,0,Info not available
Jammu and Kashmir,"Government Medical Coll, Doda",MBBS,AI,26250,Info Not Available,0,0,Info not available
Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",MBBS,AI,36400,Info Not Available,0,0,Info not available
Jharkhand,"Shaheed Nirmal Mahto, Dhanbad",MBBS,AI,7400,560,Info Not Available,Info not available,17500
Jharkhand,"Palamu Medical College, Palamu",MBBS,AI,9200,Info Not Available,Info Not Available,Info not available,17500
Jharkhand,"Hazaribagh Med Coll,Hazaribagh",MBBS,AI,9180,340,Info Not Available,Info not available,17500
Jharkhand,"Rajendra IMS, Ranchi",MBBS,AI,17500,1754,Info Not Available,Info not available,17500
Jharkhand,"MGM Med Coll, Jamshedpur",MBBS,AI,9130,540,Info Not Available,Info not available,17500
Jharkhand,"Dumka Medical Coll,Dighi Dumka",MBBS,AI,20100,Info Not Available,Info Not Available,Info not available,17500
West Bengal,"ESI, Joka, Kolkata",MBBS,AI,100000,470,1,500000,26300
Karnataka,"Bangalore Med Coll, Bangalore",MBBS,AI,64350,1993,1,1500000,30000
Karnataka,"Belagavi IMS, Belagavi",MBBS,AI,64350,1000,1,1500000,30000
Karnataka,"Bidar IMS, Bidar",MBBS,AI,64350,500,1,1500000,30000
Karnataka,"Chamrajanagar IMS, Karnataka",MBBS,AI,64350,750,1,1500000,30000
Karnataka,Chikkaballapura Inst Of Med Sci,MBBS,AI,64350,300,1,1500000,30000
Karnataka,Chikkamagaluru Inst of Med Sci,MBBS,AI,64350,Info Not Available,1,1500000,30000
Karnataka,Chitradurga Medical College,MBBS,AI,64350,500,1,1500000,30000
Karnataka,"Gadag IMS, Gadag",MBBS,AI,64350,850,1,1500000,30000
Karnataka,"Gulbarga IMS, Gulbarga",MBBS,AI,64350,873,1,1500000,30000
Karnataka,"Hassan IMS, Hassan",MBBS,AI,64350,150,1,1500000,30000
