State,Institute,Course,Quota,Category,Fee,CR 2025 1,CR 2025 2,CR 2025 3,CR 2025 4
Telangana,"NIMS, Hyderabad",RADIO DIAGNOSIS,AIQ,OBC,"₹ 72,000",249,249,249,-
Gujarat,"BJMC, Ahmedabad",GENERAL MEDICINE,AIQ,GEN,"₹ 30,000",170,252,252,-
Maharashtra,"Grant Med Coll, Mumbai",DERMATOLOGY,AIQ,GEN,"₹ 1,57,100",255,255,255,-
Delhi,"ABVIMS (Dr RML Hosp), Delhi",DERMATOLOGY,AIQ,GEN,"₹ 51,000",364,394,256,-
Haryana,"Pt BD Sharma, Rohtak",RADIO DIAGNOSIS,AIQ,GEN,"₹ 1,25,000",266,266,266,-
Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,IP,GEN,"₹ 15,000",273,273,273,-
Karnataka,"Bangalore Med Coll, Bangalore",DERMATOLOGY,AIQ,GEN,"₹ 1,23,400",275,275,275,-
Delhi,"VMMC, Delhi",GENERAL MEDICINE,AIQ,EWS,"₹ 15,000",89,89,276,-
Kerala,"Medical College, Trivandrum",DERMATOLOGY,AIQ,GEN,"₹ 69,470",282,282,282,-
Delhi,"Lady Hardinge, Delhi",RADIO DIAGNOSIS,AIQ,OBC,"₹ 16,200",283,283,283,-
Delhi,"VMMC, Delhi",DERMATOLOGY,AIQ,OBC,"₹ 15,000",293,293,293,-
Maharashtra,"Seth GS, Mumbai",GENERAL MEDICINE,AIQ,GEN,"₹ 1,57,100",125,125,295,-
Delhi,"Lady Hardinge, Delhi",GENERAL MEDICINE,DU,GEN,"₹ 16,200",296,296,296,-
Meghalaya,"NEIGRIHMS, Shillong",RADIO DIAGNOSIS,AIQ,GEN,"₹ 16,300",297,326,297,-
Maharashtra,"Lokmanya Tilak, Sion, Mumbai",RADIO DIAGNOSIS,AIQ,GEN,"₹ 1,57,100",209,329,306,-
Tamil Nadu,"Madras Med Coll, Chennai",RADIO DIAGNOSIS,AIQ,GEN,"₹ 50,000",156,307,307,-
West Bengal,"IPGMER, Kolkata",RADIO DIAGNOSIS,AIQ,GEN,"₹ 12,000",309,309,309,-
Karnataka,"Bangalore Med Coll, Bangalore",GENERAL MEDICINE,AIQ,GEN,"₹ 1,23,400",228,229,316,-
Rajasthan,"SMS, Jaipur",RADIO DIAGNOSIS,AIQ,GEN,"₹ 14,093",289,317,317,-
Delhi,"UCMS, Delhi",GENERAL MEDICINE,AIQ,GEN,"₹ 47,220",164,164,319,-
Delhi,"Lady Hardinge, Delhi",OBG,AIQ,GEN,"₹ 16,200",324,324,324,-
Delhi,"UCMS, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"₹ 47,220",187,341,332,-
Telangana,"NIMS, Hyderabad",RADIO DIAGNOSIS,AIQ,EWS,"₹ 72,000",334,334,334,-
Uttar Pradesh,"IMS(BHU), Varanasi",GENERAL MEDICINE,AIQ,EWS,"₹ 48,226",335,335,335,-
Maharashtra,"Grant Med Coll, Mumbai",RADIO DIAGNOSIS,AIQ,OBC,"₹ 1,57,100",383,337,337,-
Uttar Pradesh,"JNMC (AMU), Aligarh",RADIO DIAGNOSIS,AIQ,GEN,"₹ 54,700",326,393,339,-
Karnataka,"Bangalore Med Coll, Bangalore",DERMATOLOGY,AIQ,OBC,"₹ 1,23,400",344,344,344,-
Uttar Pradesh,"SGPGI, Lucknow",RADIO DIAGNOSIS,AIQ,GEN,"₹ 35,000",104,347,347,-
Maharashtra,"Seth GS, Mumbai",GENERAL MEDICINE,AIQ,OBC,"₹ 1,57,100",356,356,356,-
Delhi,"Lady Hardinge, Delhi",DERMATOLOGY,AIQ,GEN,"₹ 16,200",359,359,359,-
Maharashtra,"Govt Med Coll, Nagpur",RADIO DIAGNOSIS,AIQ,GEN,"₹ 1,57,100",357,360,360,-
Delhi,"GB Pant IPGMER, Delhi",RADIO DIAGNOSIS,AIQ,OBC,"₹ 16,200",-,361,361,-
Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,OBC,"₹ 51,000",265,370,370,-
Telangana,"ESIC Med Coll,Sanath Nagar",GENERAL MEDICINE,AIQ,GEN,"₹ 2,50,000",372,372,372,-
Maharashtra,"Topiwala, Mumbai",GENERAL MEDICINE,AIQ,GEN,"₹ 1,57,100",294,348,373,-
Kerala,"TD Med Coll, Allepey",RADIO DIAGNOSIS,AIQ,GEN,"₹ 69,470",377,377,377,-
Bihar,"IGIMS, Patna",RADIO DIAGNOSIS,AIQ,OBC,"₹ 1,60,000",380,380,380,-
Telangana,"Osmania Med Coll, Hyderabad",RADIO DIAGNOSIS,AIQ,GEN,"₹ 15,000",381,381,381,-
