S. No.,State,Management of college,College Name,Course Name,Seats
1,Andhra Pradesh,Govt,ACSR Government Medical College Nellore,MD - Anaesthesiology,3
2,Andhra Pradesh,Govt,ACSR Government Medical College Nellore,MD - Anatomy,2
3,Andhra Pradesh,Govt,ACSR Government Medical College Nellore,MD - Community Medicine,2
4,Andhra Pradesh,Govt,ACSR Government Medical College Nellore,MS - OBG,7
5,Andhra Pradesh,Govt,ACSR Government Medical College Nellore,MS - General Surgery,5
6,Andhra Pradesh,Govt,ACSR Government Medical College Nellore,MS - Orthopedics,4
7,Andhra Pradesh,Govt,ACSR Government Medical College Nellore,MS - Ophthalmology,3
8,Andhra Pradesh,Govt,ACSR Government Medical College Nellore,MD- General Medicine,17
9,Andhra Pradesh,Govt,ACSR Government Medical College Nellore,MD - Paediatrics,6
10,Andhra Pradesh,Govt,ACSR Government Medical College Nellore,MD - Psychiatry,2
11,Andhra Pradesh,Govt,ACSR Government Medical College Nellore,MD - Respiratory Medicine,3
12,Andhra Pradesh,Govt,ACSR Government Medical College Nellore,MD - Forensic Medicine,2
13,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",MD - Pharmacology,2
14,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",MS - ENT,6
15,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru","MD - Social & Preventive Medicine / Community
Medicine",4
16,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",MD - Anaesthesiology,14
17,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",MD - Bio-Chemistry,2
18,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru","MD - Dermatology , Venereology & Leprosy",6
19,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru","MD - Forensic Medicine/Forensic Medicine &
Toxicology",2
20,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",MD - Microbiology,2
21,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",MS - Orthopaedics,10
22,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",MD - Radio Diagnosis/Radiology,18
23,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",MD - Paediatrics,12
24,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",MS - Ophthalmology,6
25,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",MS - Obstetrics & Gynaecology,15
26,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",MS - General Surgery,20
27,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",MD - Physiology,2
28,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru","MD - Tuberculosis & Respiratory Diseases / Pulmonary
Medicine",7
29,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",MD - General Medicine,20
30,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",MD - Pathology,5
31,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",MD - Anatomy,2
32,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",MD - Psychiatry,3
33,Andhra Pradesh,Govt,"Andhra Medical College, Visakhapatnam",M.D. Anatomy,5
34,Andhra Pradesh,Govt,"Andhra Medical College, Visakhapatnam",M.D.Biochemistry,10
35,Andhra Pradesh,Govt,"Andhra Medical College, Visakhapatnam",M.D.Forensic Medicine,10
36,Andhra Pradesh,Govt,"Andhra Medical College, Visakhapatnam",M.D.Microbiology,10
37,Andhra Pradesh,Govt,"Andhra Medical College, Visakhapatnam",M.D.Pathology,14
38,Andhra Pradesh,Govt,"Andhra Medical College, Visakhapatnam",M.D.Pharmacology,10
39,Andhra Pradesh,Govt,"Andhra Medical College, Visakhapatnam",M.D.Physiology,12
40,Andhra Pradesh,Govt,"Andhra Medical College, Visakhapatnam",M.D. Community Medicine,12
41,Andhra Pradesh,Govt,"Andhra Medical College, Visakhapatnam",M.D. Anaesthesia,21
42,Andhra Pradesh,Govt,"Andhra Medical College, Visakhapatnam","M.D.,Dermatology",10
43,Andhra Pradesh,Govt,"Andhra Medical College, Visakhapatnam",M.D. General Medicine,29
44,Andhra Pradesh,Govt,"Andhra Medical College, Visakhapatnam",M.D. Paediatric,12
45,Andhra Pradesh,Govt,"Andhra Medical College, Visakhapatnam",M.D.Psychiatry,27
46,Andhra Pradesh,Govt,"Andhra Medical College, Visakhapatnam",M.D.Radiology/Radiodiagnosis,10
47,Andhra Pradesh,Govt,"Andhra Medical College, Visakhapatnam",M.D.Radiotherapy/Radiation Oncology,5
48,Andhra Pradesh,Govt,"Andhra Medical College, Visakhapatnam",M.D. Pulmonary Medicine,18
49,Andhra Pradesh,Govt,"Andhra Medical College, Visakhapatnam",M.S.ENT,13
50,Andhra Pradesh,Govt,"Andhra Medical College, Visakhapatnam",M.S.Ophthalmology,15
51,Andhra Pradesh,Govt,"Andhra Medical College, Visakhapatnam",M. S. Orthopaedics,12
52,Andhra Pradesh,Govt,"Andhra Medical College, Visakhapatnam",M.S. General Surgery,26
53,Andhra Pradesh,Govt,"Andhra Medical College, Visakhapatnam",M.S. OBG,37
54,Andhra Pradesh,Society,"Apollo Institute of Medical Sciences and Research, Chittoor",MD - Anatomy,2
55,Andhra Pradesh,Society,"Apollo Institute of Medical Sciences and Research, Chittoor",MS - General Surgery,4
56,Andhra Pradesh,Society,"Apollo Institute of Medical Sciences and Research, Chittoor",MD - Anaesthesiology,3
57,Andhra Pradesh,Society,"Apollo Institute of Medical Sciences and Research, Chittoor",MS - Ophthalmology,1
58,Andhra Pradesh,Society,"Apollo Institute of Medical Sciences and Research, Chittoor",MD - Psychiatry,2
59,Andhra Pradesh,Society,"Apollo Institute of Medical Sciences and Research, Chittoor",MD - Radio Diagnosis,2
60,Andhra Pradesh,Society,"Apollo Institute of Medical Sciences and Research, Chittoor",MD - Physiology,2
61,Andhra Pradesh,Society,"Apollo Institute of Medical Sciences and Research, Chittoor",MD - Paediatrics,3
62,Andhra Pradesh,Society,"Apollo Institute of Medical Sciences and Research, Chittoor",MD - Respiratory Medicine,2
63,Andhra Pradesh,Society,"Apollo Institute of Medical Sciences and Research, Chittoor",MS - Obstetrics and Gynaecology,5
64,Andhra Pradesh,Society,"Apollo Institute of Medical Sciences and Research, Chittoor",MS - Orthopaedics,2
65,Andhra Pradesh,Society,"Apollo Institute of Medical Sciences and Research, Chittoor",MS - Otorhinolaryngology,2
66,Andhra Pradesh,Society,"Apollo Institute of Medical Sciences and Research, Chittoor",MD - General Medicine,5
67,Andhra Pradesh,Society,"Apollo Institute of Medical Sciences and Research, Chittoor","MD - Dermatology , Venereology & Leprosy",1
68,Andhra Pradesh,Society,"Apollo Institute of Medical Sciences and Research, Chittoor",MD - Community Medicine,2
69,Andhra Pradesh,Trust,"Dr. P.S.I. Medical College , Chinoutpalli",MD - Pathology,5
70,Andhra Pradesh,Trust,"Dr. P.S.I. Medical College , Chinoutpalli",MD - Anatomy,2
71,Andhra Pradesh,Trust,"Dr. P.S.I. Medical College , Chinoutpalli",MD - Physiology,2
72,Andhra Pradesh,Trust,"Dr. P.S.I. Medical College , Chinoutpalli",MD - Psychiatry,4
73,Andhra Pradesh,Trust,"Dr. P.S.I. Medical College , Chinoutpalli",Diploma in Clinical Pathology,4
74,Andhra Pradesh,Trust,"Dr. P.S.I. Medical College , Chinoutpalli","MD - Dermatology , Venereology & Leprosy",6
75,Andhra Pradesh,Trust,"Dr. P.S.I. Medical College , Chinoutpalli",MD - Anaesthesiology,10
76,Andhra Pradesh,Trust,"Dr. P.S.I. Medical College , Chinoutpalli",MS - Ophthalmology,6
77,Andhra Pradesh,Trust,"Dr. P.S.I. Medical College , Chinoutpalli","MD - Tuberculosis & Respiratory Diseases / Pulmonary
Medicine",5
78,Andhra Pradesh,Trust,"Dr. P.S.I. Medical College , Chinoutpalli",MD - General Medicine,14
79,Andhra Pradesh,Trust,"Dr. P.S.I. Medical College , Chinoutpalli",MD - Bio-Chemistry,2
80,Andhra Pradesh,Trust,"Dr. P.S.I. Medical College , Chinoutpalli",MD - Pharmacology,4
81,Andhra Pradesh,Trust,"Dr. P.S.I. Medical College , Chinoutpalli",MS - Obstetrics & Gynaecology,8
82,Andhra Pradesh,Trust,"Dr. P.S.I. Medical College , Chinoutpalli",Diploma in Public Health,1
83,Andhra Pradesh,Trust,"Dr. P.S.I. Medical College , Chinoutpalli",MD - Microbiology,4
84,Andhra Pradesh,Trust,"Dr. P.S.I. Medical College , Chinoutpalli","MD - Social & Preventive Medicine / Community
Medicine",4
85,Andhra Pradesh,Trust,"Dr. P.S.I. Medical College , Chinoutpalli",MS - Orthopaedics,7
86,Andhra Pradesh,Trust,"Dr. P.S.I. Medical College , Chinoutpalli",MD - Paediatrics,6
87,Andhra Pradesh,Trust,"Dr. P.S.I. Medical College , Chinoutpalli",MS - General Surgery,12
88,Andhra Pradesh,Trust,"Dr. P.S.I. Medical College , Chinoutpalli",MD - Radio Diagnosis/Radiology,9
89,Andhra Pradesh,Trust,"Dr. P.S.I. Medical College , Chinoutpalli",MS - ENT,6
90,Andhra Pradesh,Trust,"Fathima Instt. of Medical Sciences,Kadapa",MD - Radio Diagnosis/Radiology,3
91,Andhra Pradesh,Trust,"Fathima Instt. of Medical Sciences,Kadapa",MD - General Medicine,8
92,Andhra Pradesh,Trust,"Fathima Instt. of Medical Sciences,Kadapa","MD - Dermatology , Venereology & Leprosy",3
93,Andhra Pradesh,Trust,"Fathima Instt. of Medical Sciences,Kadapa",MS - Obstetrics & Gynaecology,3
94,Andhra Pradesh,Trust,"Fathima Instt. of Medical Sciences,Kadapa",MS - General Surgery,4
95,Andhra Pradesh,Trust,"Fathima Instt. of Medical Sciences,Kadapa",MD - Paediatrics,4
96,Andhra Pradesh,Society,"Gayathri Vidya Parishad Institute of Health Care & Medical Technology,
Visakhapatnam",MD - General Medicine,4
97,Andhra Pradesh,Society,"Gayathri Vidya Parishad Institute of Health Care & Medical Technology,
Visakhapatnam",MD - Paediatrics,4
98,Andhra Pradesh,Society,"Gayathri Vidya Parishad Institute of Health Care & Medical Technology,
Visakhapatnam",MD - Respiratory Medicine,3
99,Andhra Pradesh,Society,"Gayathri Vidya Parishad Institute of Health Care & Medical Technology,
Visakhapatnam","MD - Dermatology , Venereology & Leprosy",3
100,Andhra Pradesh,Society,"Gayathri Vidya Parishad Institute of Health Care & Medical Technology,
Visakhapatnam",MD - Psychiatry,3
101,Andhra Pradesh,Society,"Gayathri Vidya Parishad Institute of Health Care & Medical Technology,
Visakhapatnam",MS - General Surgery,6
102,Andhra Pradesh,Society,"Gayathri Vidya Parishad Institute of Health Care & Medical Technology,
Visakhapatnam",MS - Orthopaedics,4
103,Andhra Pradesh,Society,"Gayathri Vidya Parishad Institute of Health Care & Medical Technology,
Visakhapatnam",MS - Otorhinolaryngology,3
104,Andhra Pradesh,Society,"Gayathri Vidya Parishad Institute of Health Care & Medical Technology,
Visakhapatnam",MS - Ophthalmology,1
105,Andhra Pradesh,Society,"Gayathri Vidya Parishad Institute of Health Care & Medical Technology,
Visakhapatnam",MS - Obstetrics and Gynaecology,3
106,Andhra Pradesh,Society,"Gayathri Vidya Parishad Institute of Health Care & Medical Technology,
Visakhapatnam",MD - Anaesthesiology,6
107,Andhra Pradesh,Society,"Gayathri Vidya Parishad Institute of Health Care & Medical Technology,
Visakhapatnam",MD - Radio Diagnosis,2
108,Andhra Pradesh,Society,"Gayathri Vidya Parishad Institute of Health Care & Medical Technology,
Visakhapatnam",MD - Pathology,2
109,Andhra Pradesh,Society,"Gayathri Vidya Parishad Institute of Health Care & Medical Technology,
Visakhapatnam",MD - Community Medicine,2
110,Andhra Pradesh,Pvt,"GITAM Institute of Medical Sciences and Research, Visakhapatnam",MS - Otorhinolaryngology,3
111,Andhra Pradesh,Pvt,"GITAM Institute of Medical Sciences and Research, Visakhapatnam","MD - Dermatology , Venereology & Leprosy",3
112,Andhra Pradesh,Pvt,"GITAM Institute of Medical Sciences and Research, Visakhapatnam",MD - Paediatrics,4
113,Andhra Pradesh,Pvt,"GITAM Institute of Medical Sciences and Research, Visakhapatnam",MD - Pathology,3
114,Andhra Pradesh,Pvt,"GITAM Institute of Medical Sciences and Research, Visakhapatnam",MS - Obstetrics and Gynaecology,6
115,Andhra Pradesh,Pvt,"GITAM Institute of Medical Sciences and Research, Visakhapatnam",MD - Radio Diagnosis,4
116,Andhra Pradesh,Pvt,"GITAM Institute of Medical Sciences and Research, Visakhapatnam",MD - Anaesthesiology,6
117,Andhra Pradesh,Pvt,"GITAM Institute of Medical Sciences and Research, Visakhapatnam",MD - Respiratory Medicine,2
118,Andhra Pradesh,Pvt,"GITAM Institute of Medical Sciences and Research, Visakhapatnam",MS - Ophthalmology,2
119,Andhra Pradesh,Pvt,"GITAM Institute of Medical Sciences and Research, Visakhapatnam",MS - General Surgery,6
120,Andhra Pradesh,Pvt,"GITAM Institute of Medical Sciences and Research, Visakhapatnam",MS - Orthopaedics,4
121,Andhra Pradesh,Pvt,"GITAM Institute of Medical Sciences and Research, Visakhapatnam",MD - General Medicine,4
122,Andhra Pradesh,Pvt,"GITAM Institute of Medical Sciences and Research, Visakhapatnam",MD - Psychiatry,2
123,Andhra Pradesh,Pvt,"GITAM Institute of Medical Sciences and Research, Visakhapatnam",MD - Community Medicine,3
124,Andhra Pradesh,Govt,"Government Medical College, Ananthapuram",MD - Respiratory Medicine,5
125,Andhra Pradesh,Govt,"Government Medical College, Ananthapuram",MD - Pathology,4
126,Andhra Pradesh,Govt,"Government Medical College, Ananthapuram",MS - Otorhinolaryngology,3
127,Andhra Pradesh,Govt,"Government Medical College, Ananthapuram",MD - Microbiology,11
128,Andhra Pradesh,Govt,"Government Medical College, Ananthapuram",MD - Radio Diagnosis,12
129,Andhra Pradesh,Govt,"Government Medical College, Ananthapuram",MS - Obstetrics & Gynaecology,12
130,Andhra Pradesh,Govt,"Government Medical College, Ananthapuram",MD - Psychiatry,2
131,Andhra Pradesh,Govt,"Government Medical College, Ananthapuram",MD - General Medicine,9
132,Andhra Pradesh,Govt,"Government Medical College, Ananthapuram",MS - Orthopaedics,7
133,Andhra Pradesh,Govt,"Government Medical College, Ananthapuram",MD - Pharmacology,7
134,Andhra Pradesh,Govt,"Government Medical College, Ananthapuram",MS - Ophthalmology,3
135,Andhra Pradesh,Govt,"Government Medical College, Ananthapuram","MD - Social & Preventive Medicine / Community
Medicine",3
136,Andhra Pradesh,Govt,"Government Medical College, Ananthapuram",MD - Anaesthesiology,6
137,Andhra Pradesh,Govt,"Government Medical College, Ananthapuram",MD - Anatomy,9
138,Andhra Pradesh,Govt,"Government Medical College, Ananthapuram",MD - Paediatrics,4
139,Andhra Pradesh,Govt,"Government Medical College, Ananthapuram",MD - Bio-Chemistry,2
140,Andhra Pradesh,Govt,"Government Medical College, Ananthapuram","MD - Forensic Medicine/Forensic Medicine &
Toxicology",2
141,Andhra Pradesh,Govt,"Government Medical College, Ananthapuram",MD - Physiology,4
142,Andhra Pradesh,Govt,"Government Medical College, Ananthapuram","MD - Dermatology , Venereology & Leprosy",4
143,Andhra Pradesh,Govt,"Government Medical College, Ananthapuram",MS - General Surgery,8
144,Andhra Pradesh,Govt,"Government Medical College, Kadapa(also known as Rajiv Gandhi Institute of
Medical Sciences, Kadapa)",MD - Anaesthesiology,13
145,Andhra Pradesh,Govt,"Government Medical College, Kadapa(also known as Rajiv Gandhi Institute of
Medical Sciences, Kadapa)",MD - Anatomy,2
146,Andhra Pradesh,Govt,"Government Medical College, Kadapa(also known as Rajiv Gandhi Institute of
Medical Sciences, Kadapa)",MD - Bio-Chemistry,2
147,Andhra Pradesh,Govt,"Government Medical College, Kadapa(also known as Rajiv Gandhi Institute of
Medical Sciences, Kadapa)","MD - Social & Preventive Medicine / Community
Medicine",9
148,Andhra Pradesh,Govt,"Government Medical College, Kadapa(also known as Rajiv Gandhi Institute of
Medical Sciences, Kadapa)","MD - Dermatology , Venereology & Leprosy",2
149,Andhra Pradesh,Govt,"Government Medical College, Kadapa(also known as Rajiv Gandhi Institute of
Medical Sciences, Kadapa)",MS - ENT,3
150,Andhra Pradesh,Govt,"Government Medical College, Kadapa(also known as Rajiv Gandhi Institute of
Medical Sciences, Kadapa)",MD - Emergency Medicine,5
151,Andhra Pradesh,Govt,"Government Medical College, Kadapa(also known as Rajiv Gandhi Institute of
Medical Sciences, Kadapa)","MD - Forensic Medicine/Forensic Medicine &
Toxicology",5
152,Andhra Pradesh,Govt,"Government Medical College, Kadapa(also known as Rajiv Gandhi Institute of
Medical Sciences, Kadapa)",MD - General Medicine,12
153,Andhra Pradesh,Govt,"Government Medical College, Kadapa(also known as Rajiv Gandhi Institute of
Medical Sciences, Kadapa)",MD - Microbiology,9
154,Andhra Pradesh,Govt,"Government Medical College, Kadapa(also known as Rajiv Gandhi Institute of
Medical Sciences, Kadapa)",MS - Obstetrics & Gynaecology,8
155,Andhra Pradesh,Govt,"Government Medical College, Kadapa(also known as Rajiv Gandhi Institute of
Medical Sciences, Kadapa)",MS - Ophthalmology,3
156,Andhra Pradesh,Govt,"Government Medical College, Kadapa(also known as Rajiv Gandhi Institute of
Medical Sciences, Kadapa)",MS - Orthopaedics,3
157,Andhra Pradesh,Govt,"Government Medical College, Kadapa(also known as Rajiv Gandhi Institute of
Medical Sciences, Kadapa)",MD - Pathology,9
158,Andhra Pradesh,Govt,"Government Medical College, Kadapa(also known as Rajiv Gandhi Institute of
Medical Sciences, Kadapa)",MD - Paediatrics,3
159,Andhra Pradesh,Govt,"Government Medical College, Kadapa(also known as Rajiv Gandhi Institute of
Medical Sciences, Kadapa)",MD - Pharmacology,7
160,Andhra Pradesh,Govt,"Government Medical College, Kadapa(also known as Rajiv Gandhi Institute of
Medical Sciences, Kadapa)",MD - Psychiatry,5
161,Andhra Pradesh,Govt,"Government Medical College, Kadapa(also known as Rajiv Gandhi Institute of
Medical Sciences, Kadapa)",MD - Radiation Oncology,5
162,Andhra Pradesh,Govt,"Government Medical College, Kadapa(also known as Rajiv Gandhi Institute of
Medical Sciences, Kadapa)",MD - Radio Diagnosis/Radiology,5
163,Andhra Pradesh,Govt,"Government Medical College, Kadapa(also known as Rajiv Gandhi Institute of
Medical Sciences, Kadapa)",MD - Respiratory Medicine,5
164,Andhra Pradesh,Govt,"Government Medical College, Kadapa(also known as Rajiv Gandhi Institute of
Medical Sciences, Kadapa)",MS - General Surgery,9
165,Andhra Pradesh,Govt,"Government Medical College, Ongole (Previously known as Rajiv Gandhi
Institute of Medical Sciences, Ongole,)",MD - General Medicine,6
166,Andhra Pradesh,Govt,"Government Medical College, Ongole (Previously known as Rajiv Gandhi
Institute of Medical Sciences, Ongole,)",MS - General Surgery,11
167,Andhra Pradesh,Govt,"Government Medical College, Ongole (Previously known as Rajiv Gandhi
Institute of Medical Sciences, Ongole,)",MS - Orthopedics,7
168,Andhra Pradesh,Govt,"Government Medical College, Ongole (Previously known as Rajiv Gandhi
Institute of Medical Sciences, Ongole,)",MD - Pharmacology,4
169,Andhra Pradesh,Govt,"Government Medical College, Ongole (Previously known as Rajiv Gandhi
Institute of Medical Sciences, Ongole,)",MD - Respiratory Medicine,1
170,Andhra Pradesh,Govt,"Government Medical College, Ongole (Previously known as Rajiv Gandhi
Institute of Medical Sciences, Ongole,)",MD - Anaesthesiology,7
171,Andhra Pradesh,Govt,"Government Medical College, Ongole (Previously known as Rajiv Gandhi
Institute of Medical Sciences, Ongole,)",MD - Microbiology,4
172,Andhra Pradesh,Govt,"Government Medical College, Ongole (Previously known as Rajiv Gandhi
Institute of Medical Sciences, Ongole,)",MS - Ophthalmology,5
173,Andhra Pradesh,Govt,"Government Medical College, Ongole (Previously known as Rajiv Gandhi
Institute of Medical Sciences, Ongole,)",MD - Psychiatry,2
174,Andhra Pradesh,Govt,"Government Medical College, Ongole (Previously known as Rajiv Gandhi
Institute of Medical Sciences, Ongole,)",MD - Bio-Chemistry,2
175,Andhra Pradesh,Govt,"Government Medical College, Ongole (Previously known as Rajiv Gandhi
Institute of Medical Sciences, Ongole,)",MD - Paediatrics,7
176,Andhra Pradesh,Govt,"Government Medical College, Ongole (Previously known as Rajiv Gandhi
Institute of Medical Sciences, Ongole,)",MD - Physiology,4
177,Andhra Pradesh,Govt,"Government Medical College, Ongole (Previously known as Rajiv Gandhi
Institute of Medical Sciences, Ongole,)",MD - Radio Diagnosis,5
178,Andhra Pradesh,Govt,"Government Medical College, Ongole (Previously known as Rajiv Gandhi
Institute of Medical Sciences, Ongole,)",MS - Obstetrics & Gynaecology,9
179,Andhra Pradesh,Govt,"Government Medical College, Ongole (Previously known as Rajiv Gandhi
Institute of Medical Sciences, Ongole,)",MS - Otorhinolaryngology,5
180,Andhra Pradesh,Govt,"Government Medical College, Ongole (Previously known as Rajiv Gandhi
Institute of Medical Sciences, Ongole,)",MD - Pathology,9
181,Andhra Pradesh,Govt,"Government Medical College, Ongole (Previously known as Rajiv Gandhi
Institute of Medical Sciences, Ongole,)",MD - Forensic Medicine,2
182,Andhra Pradesh,Govt,"Government Medical College, Ongole (Previously known as Rajiv Gandhi
Institute of Medical Sciences, Ongole,)","MD - Dermatology , Venereology & Leprosy",2
183,Andhra Pradesh,Govt,"Government Medical College, Ongole (Previously known as Rajiv Gandhi
Institute of Medical Sciences, Ongole,)",MD - Community Medicine,7
184,Andhra Pradesh,Govt,"Government Siddhartha Medical College, Vijaywada",MS - General Surgery,14
185,Andhra Pradesh,Govt,"Government Siddhartha Medical College, Vijaywada",MD - Anatomy,4
186,Andhra Pradesh,Govt,"Government Siddhartha Medical College, Vijaywada",MD - Anaesthesiology,22
187,Andhra Pradesh,Govt,"Government Siddhartha Medical College, Vijaywada","MD - Tuberculosis & Respiratory Diseases / Pulmonary
Medicine",5
188,Andhra Pradesh,Govt,"Government Siddhartha Medical College, Vijaywada",MD - Radio Diagnosis,3
189,Andhra Pradesh,Govt,"Government Siddhartha Medical College, Vijaywada",MD - Forensic Medicine,3
190,Andhra Pradesh,Govt,"Government Siddhartha Medical College, Vijaywada",MD - Microbiology,10
191,Andhra Pradesh,Govt,"Government Siddhartha Medical College, Vijaywada",MS - ENT,5
192,Andhra Pradesh,Govt,"Government Siddhartha Medical College, Vijaywada",MS - Orthopaedics,8
193,Andhra Pradesh,Govt,"Government Siddhartha Medical College, Vijaywada","MD - Dermatology , Venereology & Leprosy",3
194,Andhra Pradesh,Govt,"Government Siddhartha Medical College, Vijaywada",MD - Physiology,4
195,Andhra Pradesh,Govt,"Government Siddhartha Medical College, Vijaywada","MD - Social & Preventive Medicine / Community
Medicine",3
196,Andhra Pradesh,Govt,"Government Siddhartha Medical College, Vijaywada",MD - Bio-Chemistry,2
197,Andhra Pradesh,Govt,"Government Siddhartha Medical College, Vijaywada",MD - General Medicine,14
198,Andhra Pradesh,Govt,"Government Siddhartha Medical College, Vijaywada",MD - Psychiatry,2
199,Andhra Pradesh,Govt,"Government Siddhartha Medical College, Vijaywada",MS - Obstetrics & Gynaecology,20
200,Andhra Pradesh,Govt,"Government Siddhartha Medical College, Vijaywada",MD - Paediatrics,8
201,Andhra Pradesh,Govt,"Government Siddhartha Medical College, Vijaywada",MD - Pathology,15
202,Andhra Pradesh,Govt,"Government Siddhartha Medical College, Vijaywada",MD - Pharmacology,2
203,Andhra Pradesh,Govt,"Government Siddhartha Medical College, Vijaywada",MS-Ophthalmology,5
204,Andhra Pradesh,Trust,"Great Eastern Medical School and Hospital,Srikakulam",MD - Anaesthesiology,10
205,Andhra Pradesh,Trust,"Great Eastern Medical School and Hospital,Srikakulam","MD - Dermatology , Venereology & Leprosy",2
206,Andhra Pradesh,Trust,"Great Eastern Medical School and Hospital,Srikakulam",MD - Emergency Medicine,4
207,Andhra Pradesh,Trust,"Great Eastern Medical School and Hospital,Srikakulam",MD - General Medicine,12
208,Andhra Pradesh,Trust,"Great Eastern Medical School and Hospital,Srikakulam",MD - Paediatrics,6
209,Andhra Pradesh,Trust,"Great Eastern Medical School and Hospital,Srikakulam",MD - Pathology,2
210,Andhra Pradesh,Trust,"Great Eastern Medical School and Hospital,Srikakulam",MD - Pharmacology,2
211,Andhra Pradesh,Trust,"Great Eastern Medical School and Hospital,Srikakulam",MD - Psychiatry,2
212,Andhra Pradesh,Trust,"Great Eastern Medical School and Hospital,Srikakulam",MD - Radio Diagnosis/Radiology,10
213,Andhra Pradesh,Trust,"Great Eastern Medical School and Hospital,Srikakulam","MD - Social & Preventive Medicine / Community
Medicine",2
214,Andhra Pradesh,Trust,"Great Eastern Medical School and Hospital,Srikakulam","MD - Tuberculosis & Respiratory Diseases / Pulmonary
Medicine",2
215,Andhra Pradesh,Trust,"Great Eastern Medical School and Hospital,Srikakulam",MS - Ophthalmology,2
216,Andhra Pradesh,Trust,"Great Eastern Medical School and Hospital,Srikakulam",MS - ENT,2
217,Andhra Pradesh,Trust,"Great Eastern Medical School and Hospital,Srikakulam",MS - General Surgery,12
218,Andhra Pradesh,Trust,"Great Eastern Medical School and Hospital,Srikakulam",MS - Obstetrics & Gynaecology,9
219,Andhra Pradesh,Trust,"Great Eastern Medical School and Hospital,Srikakulam",MS - Orthopaedics,8
220,Andhra Pradesh,Trust,"GSL Medical College, Rajahmundry",MD - Anaesthesiology,8
221,Andhra Pradesh,Trust,"GSL Medical College, Rajahmundry",MD - Bio-Chemistry,2
222,Andhra Pradesh,Trust,"GSL Medical College, Rajahmundry","MD - Dermatology , Venereology & Leprosy",4
223,Andhra Pradesh,Trust,"GSL Medical College, Rajahmundry",MD - Emergency Medicine,1
224,Andhra Pradesh,Trust,"GSL Medical College, Rajahmundry",MD - General Medicine,24
225,Andhra Pradesh,Trust,"GSL Medical College, Rajahmundry",MD - Microbiology,2
226,Andhra Pradesh,Trust,"GSL Medical College, Rajahmundry",MD - Paediatrics,20
227,Andhra Pradesh,Trust,"GSL Medical College, Rajahmundry",MD - Pathology,6
228,Andhra Pradesh,Trust,"GSL Medical College, Rajahmundry",MD - Pharmacology,1
229,Andhra Pradesh,Trust,"GSL Medical College, Rajahmundry",MD - Physiology,2
230,Andhra Pradesh,Trust,"GSL Medical College, Rajahmundry",MD - Psychiatry,2
231,Andhra Pradesh,Trust,"GSL Medical College, Rajahmundry",MD - Radio Diagnosis/Radiology,10
232,Andhra Pradesh,Trust,"GSL Medical College, Rajahmundry","MD - Social & Preventive Medicine / Community
Medicine",6
233,Andhra Pradesh,Trust,"GSL Medical College, Rajahmundry","MD - Tuberculosis & Respiratory Diseases / Pulmonary
Medicine",10
234,Andhra Pradesh,Trust,"GSL Medical College, Rajahmundry",MD - Anatomy,2
235,Andhra Pradesh,Trust,"GSL Medical College, Rajahmundry",MS - Ophthalmology,6
236,Andhra Pradesh,Trust,"GSL Medical College, Rajahmundry",MS - ENT,5
237,Andhra Pradesh,Trust,"GSL Medical College, Rajahmundry",MS - General Surgery,24
238,Andhra Pradesh,Trust,"GSL Medical College, Rajahmundry",MS - Obstetrics & Gynaecology,15
239,Andhra Pradesh,Trust,"GSL Medical College, Rajahmundry",MS - Orthopaedics,20
240,Andhra Pradesh,Trust,"GSL Medical College, Rajahmundry",MD.- Radiation Oncology,2
241,Andhra Pradesh,Govt,"Guntur Medical College, Guntur","MD - Social & Preventive Medicine / Community
Medicine",5
