S. No.,State,Management of college,College Name,Course Name,Seats
7154,Uttar Pradesh,Govt,"Institute of Medical Sciences, BHU, Varansi","MD - Social & Preventive Medicine / Community
Medicine",5
7155,Uttar Pradesh,Govt,"Institute of Medical Sciences, BHU, Varansi",MD - Microbiology,5
7156,Uttar Pradesh,Govt,"Institute of Medical Sciences, BHU, Varansi",MD - Psychiatry,6
7157,Uttar Pradesh,Govt,"Institute of Medical Sciences, BHU, Varansi",MS - General Surgery,20
7158,Uttar Pradesh,Govt,"Institute of Medical Sciences, BHU, Varansi",MD - Bio-Chemistry,4
7159,Uttar Pradesh,Govt,"Institute of Mental Health and Hospital, Agra",MD - Psychiatry,8
7160,Uttar Pradesh,Pvt,"Integral Institute of Medical Sciences & Research, Lucknow",MD - Anaesthesiology,7
7161,Uttar Pradesh,Pvt,"Integral Institute of Medical Sciences & Research, Lucknow",MD - Bio-Chemistry,3
7162,Uttar Pradesh,Pvt,"Integral Institute of Medical Sciences & Research, Lucknow","MD - Dermatology , Venereology & Leprosy",3
7163,Uttar Pradesh,Pvt,"Integral Institute of Medical Sciences & Research, Lucknow",MD - General Medicine,4
7164,Uttar Pradesh,Pvt,"Integral Institute of Medical Sciences & Research, Lucknow",MD - Microbiology,4
7165,Uttar Pradesh,Pvt,"Integral Institute of Medical Sciences & Research, Lucknow",MD - Paediatrics,2
7166,Uttar Pradesh,Pvt,"Integral Institute of Medical Sciences & Research, Lucknow",MD - Pathology,5
7167,Uttar Pradesh,Pvt,"Integral Institute of Medical Sciences & Research, Lucknow",MD - Psychiatry,1
7168,Uttar Pradesh,Pvt,"Integral Institute of Medical Sciences & Research, Lucknow",MD - Radio Diagnosis/Radiology,2
7169,Uttar Pradesh,Pvt,"Integral Institute of Medical Sciences & Research, Lucknow","MD - Social & Preventive Medicine / Community
Medicine",4
7170,Uttar Pradesh,Pvt,"Integral Institute of Medical Sciences & Research, Lucknow",MS - General Surgery,2
7171,Uttar Pradesh,Pvt,"Integral Institute of Medical Sciences & Research, Lucknow",MS - Obstetrics & Gynaecology,6
7172,Uttar Pradesh,Pvt,"Integral Institute of Medical Sciences & Research, Lucknow",MS - Opthalmology,2
7173,Uttar Pradesh,Pvt,"Integral Institute of Medical Sciences & Research, Lucknow",MS - Orthopaedics,2
7174,Uttar Pradesh,Pvt,"Integral Institute of Medical Sciences & Research, Lucknow",MS - Otorhinolaryngology,1
7175,Uttar Pradesh,Govt,"Jawaharlal Nehru Medical College, Aligarh",Diploma in Ophthalmology,9
7176,Uttar Pradesh,Govt,"Jawaharlal Nehru Medical College, Aligarh",MD - Anaesthesiology,19
7177,Uttar Pradesh,Govt,"Jawaharlal Nehru Medical College, Aligarh",MD - Anatomy,3
7178,Uttar Pradesh,Govt,"Jawaharlal Nehru Medical College, Aligarh",MD - Bio-Chemistry,2
7179,Uttar Pradesh,Govt,"Jawaharlal Nehru Medical College, Aligarh","MD - Dermatology , Venereology & Leprosy",5
7180,Uttar Pradesh,Govt,"Jawaharlal Nehru Medical College, Aligarh","MD - Forensic Medicine/Forensic Medicine &
Toxicology",5
7181,Uttar Pradesh,Govt,"Jawaharlal Nehru Medical College, Aligarh",MD - General Medicine,21
7182,Uttar Pradesh,Govt,"Jawaharlal Nehru Medical College, Aligarh",MD - Microbiology,5
7183,Uttar Pradesh,Govt,"Jawaharlal Nehru Medical College, Aligarh",MD - Paediatrics,15
