STATE,INSTITUTE,COURSE,QUOTA,FEE,BEDS,BOND YEARS,BOND PENALTY,STIPEND YEAR 1
Gujarat,"BJMC, Ahmedabad",ANAESTHESIOLOGY,AIQ,"₹ 30,000.00",1557,1,"₹ 40,00,000.00","₹ 1,00,800.00"
Gujarat,"BJMC, Ahmedabad",PAEDIATRICS,AIQ,"₹ 30,000.00",1557,1,"₹ 40,00,000.00","₹ 1,00,800.00"
Gujarat,"BJMC, Ahmedabad",GENERAL MEDICINE,AIQ,"₹ 30,000.00",1557,1,"₹ 40,00,000.00","₹ 1,00,800.00"
Gujarat,"BJMC, Ahmedabad",ORTHOPAEDICS,AIQ,"₹ 30,000.00",1557,1,"₹ 40,00,000.00","₹ 1,00,800.00"
Gujarat,"BJMC, Ahmedabad",IHBT,AIQ,"₹ 30,000.00",1557,1,"₹ 40,00,000.00","₹ 1,00,800.00"
Gujarat,"BJMC, Ahmedabad",OBG,AIQ,"₹ 30,000.00",1557,1,"₹ 40,00,000.00","₹ 1,00,800.00"
Gujarat,"BJMC, Ahmedabad",DERMATOLOGY,AIQ,"₹ 30,000.00",1557,1,"₹ 40,00,000.00","₹ 1,00,800.00"
Gujarat,"BJMC, Ahmedabad",FORENSIC MEDICINE,AIQ,"₹ 30,000.00",1557,0,₹ 0.00,"₹ 1,00,800.00"
Maharashtra,"Datta Meghe Med Coll, Nagpur",OBG,MNG,"₹ 43,75,000.00",925,1,"₹ 5,00,000.00","₹ 66,629.00"
Maharashtra,"Datta Meghe Med Coll, Nagpur",GENERAL MEDICINE,NRI,"₹ 66,22,000.00",925,1,"₹ 5,00,000.00","₹ 66,629.00"
Maharashtra,"Datta Meghe Med Coll, Nagpur",DERMATOLOGY,NRI,"₹ 75,15,000.00",925,1,"₹ 5,00,000.00","₹ 66,629.00"
Maharashtra,"Datta Meghe Med Coll, Nagpur",RADIO DIAGNOSIS,NRI,"₹ 75,15,000.00",925,1,"₹ 5,00,000.00","₹ 66,629.00"
Maharashtra,"Datta Meghe Med Coll, Nagpur",OBG,NRI,"₹ 55,36,000.00",925,1,"₹ 5,00,000.00","₹ 66,629.00"
Gujarat,"BJMC, Ahmedabad",TBRD,AIQ,"₹ 30,000.00",1557,1,"₹ 40,00,000.00","₹ 1,00,800.00"
Gujarat,"BJMC, Ahmedabad",MICROBIOLOGY,AIQ,"₹ 30,000.00",1557,1,"₹ 40,00,000.00","₹ 1,00,800.00"
Gujarat,"BJMC, Ahmedabad",ENT,AIQ,"₹ 30,000.00",1557,1,"₹ 40,00,000.00","₹ 1,00,800.00"
Gujarat,"BJMC, Ahmedabad",PHYSIOLOGY,AIQ,"₹ 30,000.00",1557,0,₹ 0.00,"₹ 1,00,800.00"
Gujarat,"BJMC, Ahmedabad",GENERAL SURGERY,AIQ,"₹ 30,000.00",1557,1,"₹ 40,00,000.00","₹ 1,00,800.00"
Gujarat,"BJMC, Ahmedabad",SPM,AIQ,"₹ 30,000.00",1557,0,₹ 0.00,"₹ 1,00,800.00"
Gujarat,"BJMC, Ahmedabad",RADIATION ONCOLOGY,AIQ,"₹ 30,000.00",1557,1,"₹ 40,00,000.00","₹ 1,00,800.00"
