STATE,INSTITUTE,COURSE,QUOTA,FEE,BEDS,BOND YEARS,BOND PENALTY,STIPEND YEAR 1
Telangana,"Osmania Med Coll, Hyderabad",ANAESTHESIOLOGY,AIQ,"₹ 15,000.00",4800,1,"₹ 20,00,000.00","₹ 67,032.00"
Bihar,"Patna Med Coll, Patna",ANAESTHESIOLOGY,AIQ,"₹ 9,000.00",1748,2,"₹ 25,00,000.00","₹ 82,000.00"
Delhi,"ABVIMS (Dr RML Hosp), Delhi",ANAESTHESIOLOGY,AIQ,"₹ 51,000.00",1626,1,"₹ 20,00,000.00","₹ 1,36,008.00"
Maharashtra,"Pimpri Chinchwad, Pimpri",ANAESTHESIOLOGY,AIQ,"₹ 1,57,100.00",750,1,"₹ 50,00,000.00","₹ 93,559.00"
Odisha,"PGIMER&CapitalHosp,Bhubaneswar",ANAESTHESIOLOGY,AIQ,"₹ 35,000.00",760,2,"₹ 55,09,464.00","₹ 73,042.00"
Haryana,"Pt BD Sharma, Rohtak",ANAESTHESIOLOGY,AIQ,"₹ 1,25,000.00",2080,0,₹ 0.00,"₹ 1,04,346.00"
Chhattisgarh,"Pt JNM Med Coll, Raipur",ANAESTHESIOLOGY,AIQ,"₹ 20,000.00",1246,2,"₹ 50,00,000.00","₹ 67,500.00"
Rajasthan,"RNT, Udaipur",ANAESTHESIOLOGY,AIQ,"₹ 14,093.00",2206,2,"₹ 50,00,000.00","₹ 87,216.00"
Karnataka,"Raichur IMS, Raichur",ANAESTHESIOLOGY,AIQ,"₹ 1,23,400.00",500,1,"₹ 50,00,000.00","₹ 56,250.00"
Tamil Nadu,"Rajah Muthiah, Annamalainagar",ANAESTHESIOLOGY,AIQ,"₹ 50,000.00",1400,2,"₹ 40,00,000.00","₹ 54,025.00"
Maharashtra,"Rajarshee CSM Govt MC,Kolhapur",ANAESTHESIOLOGY,AIQ,"₹ 1,57,100.00",665,1,"₹ 50,00,000.00","₹ 93,559.00"
Jharkhand,"Rajendra IMS, Ranchi",ANAESTHESIOLOGY,AIQ,"₹ 1,550.00",1754,3,"₹ 30,00,000.00","₹ 1,00,770.00"
Telangana,"Rajiv Gandhi IMS, Adilabad",ANAESTHESIOLOGY,AIQ,"₹ 15,000.00",NA,1,"₹ 20,00,000.00","₹ 67,032.00"
Andhra Pradesh,"Rajiv Gandhi IMS, Kadapa",ANAESTHESIOLOGY,AIQ,"₹ 30,000.00",715,0,₹ 0.00,"₹ 60,823.00"
