STATE,INSTITUTE,COURSE,QUOTA,FEE,BEDS,BOND YEARS,BOND PENALTY,STIPEND YEAR 1
Goa,"Goa Med Coll, Panaji",ANATOMY,AIQ,"₹ 1,22,522.00",1160,1,"₹ 50,00,000.00","₹ 80,000.00"
Arunachal Pradesh,"Tomo Riba IHMS, Naharlagun",ANATOMY,AIQ,NA,500,2,"₹ 50,00,000.00",NA
Punjab,"Govt Med Coll, Amritsar",ANATOMY,AIQ,"₹ 1,00,000.00",951,2,"₹ 20,00,000.00","₹ 76,000.00"
Punjab,"Govt Med Coll, Patiala",ANATOMY,AIQ,"₹ 1,00,000.00",1130,2,"₹ 20,00,000.00","₹ 76,000.00"
Punjab,"Guru Govind Singh, Faridkot",ANATOMY,AIQ,"₹ 1,00,000.00",1025,2,"₹ 20,00,000.00","₹ 76,000.00"
Telangana,"Malla Reddy(Women), Hyderabad",ANATOMY,MNG,"₹ 1,00,000.00",1050,1,"₹ 15,00,000.00","₹ 45,000.00"
Pondicherry,"Aarupadai Veedu, Pondicherry",ANATOMY,MNG,₹ 0.00,584,0,₹ 0.00,₹ 0.00
Tamil Nadu,"Chettinad Hosp&RI,Kanchipuram",ANATOMY,MNG,"₹ 3,00,000.00",1180,0,₹ 0.00,"₹ 48,000.00"
Karnataka,"JN Medical College, Belgaum",ANATOMY,MNG,"₹ 27,500.00",2400,1,"₹ 10,00,000.00","₹ 56,250.00"
Karnataka,"JSS Med Coll, Mysore",ANATOMY,MNG,"₹ 10,000.00",2060,0,₹ 0.00,"₹ 45,000.00"
Karnataka,"KS Hegde, Mangalore",ANATOMY,MNG,"₹ 10,000.00",1000,0,₹ 0.00,"₹ 56,250.00"
Odisha,"Kalinga IMS, Bhubaneswar",ANATOMY,MNG,"₹ 7,50,000.00",2600,0,₹ 0.00,"₹ 72,000.00"
Maharashtra,"Krishna IMS, Karad",ANATOMY,MNG,"₹ 3,00,000.00",1125,1,"₹ 5,00,000.00","₹ 92,470.00"
Pondicherry,"MGMC & RI, Pondicherry",ANATOMY,MNG,"₹ 6,00,000.00",1380,0,₹ 0.00,"₹ 40,000.00"
Maharashtra,"DY Patil, Navi Mumbai",ANATOMY,MNG,"₹ 8,50,000.00",1662,1,"₹ 10,00,000.00","₹ 76,629.00"
Karnataka,"Rajeshwari, Bangalore",ANATOMY,MNG,"₹ 5,00,000.00",1460,0,₹ 0.00,"₹ 45,000.00"
Maharashtra,"Rural Med Coll, LONI",ANATOMY,MNG,"₹ 6,70,000.00",1275,0,₹ 0.00,"₹ 76,429.00"
Uttar Pradesh,"Santosh Med Coll, Ghaziabad",ANATOMY,MNG,"₹ 75,000.00",800,0,₹ 0.00,"₹ 56,010.00"
Tamil Nadu,"Sree Balaji Med Coll, Chennai",ANATOMY,MNG,"₹ 1,00,000.00",1250,0,₹ 0.00,"₹ 25,000.00"
Tamil Nadu,"SRMC & RI, Chennai",ANATOMY,MNG,"₹ 6,00,000.00",1800,0,₹ 0.00,"₹ 48,000.00"
Karnataka,"Sri Siddhartha IMS, T. Begur",ANATOMY,MNG,"₹ 1,00,000.00",720,0,₹ 0.00,"₹ 30,000.00"
Tamil Nadu,"SRM Med Coll, Kancheepuram",ANATOMY,MNG,₹ 0.00,1590,0,₹ 0.00,"₹ 52,451.00"
Tamil Nadu,"Vinayaka Missions, Salem",ANATOMY,MNG,"₹ 2,68,000.00",560,0,₹ 0.00,₹ 0.00
Karnataka,"Yenepoya Med Coll, Mangalore",ANATOMY,MNG,"₹ 10,000.00",910,0,₹ 0.00,"₹ 55,000.00"
Maharashtra,"JN Med College, Meghe, Wardha",ANATOMY,MNG,"₹ 3,00,000.00",2150,1,"₹ 5,00,000.00","₹ 70,000.00"
Maharashtra,"MGM Med Coll, Aurangabad",ANATOMY,MNG,"₹ 1,00,000.00",700,1,"₹ 25,00,000.00","₹ 88,000.00"
Karnataka,"Siddhartha Med Coll, Tumkur",ANATOMY,MNG,"₹ 1,00,000.00",960,0,₹ 0.00,"₹ 35,000.00"
Kerala,"Amrita School of Med, Kochi",ANATOMY,MNG,"₹ 6,00,000.00",1110,0,₹ 0.00,"₹ 48,000.00"
Haryana,Amrita School of Med. Faridabad,ANATOMY,MNG,"₹ 6,00,000.00",NA,0,₹ 0.00,"₹ 60,000.00"
Tamil Nadu,"Sri Lalithambigai Med, Chennai",ANATOMY,MNG,"₹ 5,00,000.00",NA,NA,NA,"₹ 47,000.00"
Karnataka,"SDU Med Coll, Kolar",ANATOMY,MNG,₹ 0.00,1100,1,"₹ 19,80,000.00","₹ 50,000.00"
Karnataka,"Shri BM Patil, Vijayapura",ANATOMY,MNG,"₹ 55,000.00",1130,0,₹ 0.00,"₹ 45,000.00"
Odisha,"IMS & SUM, Bhubaneswar",ANATOMY,MNG,₹ 0.00,1410,0,₹ 0.00,"₹ 60,000.00"
Haryana,"MMIMS, Mullana, Ambala",ANATOMY,MNG,"₹ 3,30,000.00",940,1,"₹ 10,00,000.00","₹ 56,100.00"
Maharashtra,"BVDU, Sangli",ANATOMY,MNG,"₹ 10,50,000.00",853,1,"₹ 12,00,000.00","₹ 86,000.00"
Gujarat,"SBKS, Vadodara",ANATOMY,MNG,"₹ 7,15,000.00",1340,0,₹ 0.00,"₹ 1,00,800.00"
Maharashtra,"Symbiosis Med Coll Women, Pune",ANATOMY,MNG,"₹ 1,00,000.00",NA,1,"₹ 10,00,000.00","₹ 60,000.00"
Karnataka,"Kasturba Med Coll, Mangalore",ANATOMY,MNG,"₹ 4,95,000.00",1290,0,₹ 0.00,"₹ 56,250.00"
Karnataka,"Kasturba Med Coll, Manipal",ANATOMY,MNG,"₹ 4,95,000.00",2032,0,₹ 0.00,"₹ 56,250.00"
Maharashtra,"DY Patil, Pimpri, Pune",ANATOMY,MNG,"₹ 1,00,000.00",2011,1,₹ 0.00,"₹ 85,000.00"
Delhi,"Hamdard Institute, Delhi",ANATOMY,MNG,"₹ 10,50,000.00",710,0,₹ 0.00,"₹ 80,000.00"
Maharashtra,"MGM Med Coll, Navi Mumbai",ANATOMY,MNG,"₹ 1,00,000.00",1740,1,"₹ 25,00,000.00","₹ 88,000.00"
Maharashtra,"BVDU, Pune",ANATOMY,MNG,"₹ 1,00,000.00",856,2,NA,"₹ 86,000.00"
Tamil Nadu,"Meenakshi Med Coll, Enathur",ANATOMY,MNG,"₹ 1,00,000.00",1110,0,₹ 0.00,₹ 0.00
Tamil Nadu,"ACS Med Coll, Chennai",ANATOMY,MNG,"₹ 5,00,000.00",1050,0,₹ 0.00,"₹ 47,000.00"
Tamil Nadu,"Saveetha, Kanchipuram",ANATOMY,MNG,"₹ 50,000.00",1250,0,₹ 0.00,"₹ 48,000.00"
Karnataka,"Yenepoya Med Coll, Mangalore",ANATOMY,MM,"₹ 10,000.00",910,0,₹ 0.00,"₹ 55,000.00"
Delhi,"Hamdard Institute, Delhi",ANATOMY,MM,"₹ 10,50,000.00",710,0,₹ 0.00,"₹ 80,000.00"
Gujarat,"SBKS, Vadodara",ANATOMY,JM,"₹ 6,43,500.00",1340,1,"₹ 15,00,000.00","₹ 1,00,800.00"
Maharashtra,"Rural Med Coll, LONI",ANATOMY,NRI,"₹ 33,88,400.00",1275,0,₹ 0.00,"₹ 76,429.00"
Maharashtra,"BVDU, Sangli",ANATOMY,NRI,"₹ 25,80,000.00",853,1,"₹ 12,00,000.00","₹ 86,000.00"
Maharashtra,"Symbiosis Med Coll Women, Pune",ANATOMY,NRI,"₹ 21,50,000.00",NA,1,"₹ 10,00,000.00","₹ 60,000.00"
Maharashtra,"BVDU, Pune",ANATOMY,NRI,"₹ 25,80,000.00",856,1,"₹ 12,00,000.00","₹ 86,000.00"
Delhi,"UCMS, Delhi",ANATOMY,DU,"₹ 47,220.00",1000,1,"₹ 20,00,000.00","₹ 1,32,336.00"
Delhi,"MAMC, Delhi",ANATOMY,DU,"₹ 16,200.00",2800,1,"₹ 20,00,000.00","₹ 1,32,336.00"
Delhi,"Lady Hardinge, Delhi",ANATOMY,DU,"₹ 16,200.00",877,1,"₹ 20,00,000.00","₹ 1,26,927.00"
Delhi,"VMMC, Delhi",ANATOMY,IP,"₹ 15,000.00",1550,1,"₹ 20,00,000.00","₹ 1,20,965.00"
Uttar Pradesh,"IMS(BHU), Varanasi",ANATOMY,BHU,"₹ 48,226.00",2424,0,₹ 0.00,"₹ 1,12,054.00"
Uttar Pradesh,"JNMC (AMU), Aligarh",ANATOMY,AMU,"₹ 54,700.00",1269,0,₹ 0.00,"₹ 1,14,975.00"
Maharashtra,"AFMC, Pune",ANATOMY,AFMS,"₹ 1,57,100.00",1082,5,"₹ 59,00,000.00","₹ 93,559.00"
Karnataka,"Inst of Aero, IAF, Bangaluru",AVIATION MEDICINE,AFMS,"₹ 26,000.00",NA,5,"₹ 59,00,000.00","₹ 56,250.00"
Gujarat,"BJMC, Ahmedabad",BIOCHEMISTRY,AIQ,"₹ 30,000.00",1557,0,₹ 0.00,"₹ 1,00,800.00"
Gujarat,"Govt Med Coll, Bhavnagar",BIOCHEMISTRY,AIQ,"₹ 30,000.00",720,0,₹ 0.00,"₹ 1,00,800.00"
Gujarat,"Govt Med Coll, Surat",BIOCHEMISTRY,AIQ,"₹ 30,000.00",1150,0,₹ 0.00,"₹ 1,00,800.00"
Gujarat,"Medical College, Baroda",BIOCHEMISTRY,AIQ,"₹ 30,000.00",1250,0,₹ 0.00,"₹ 1,00,800.00"
Gujarat,"PDU Med Coll, Rajkot",BIOCHEMISTRY,AIQ,"₹ 30,000.00",750,0,₹ 0.00,"₹ 1,00,800.00"
Tripura,"Agartala Med Coll, Agartala",BIOCHEMISTRY,AIQ,"₹ 1,50,000.00",580,1,"₹ 35,00,000.00","₹ 55,200.00"
Andhra Pradesh,"Andhra Med Coll, Vizag",BIOCHEMISTRY,AIQ,"₹ 30,000.00",1030,0,₹ 0.00,"₹ 60,823.00"
Bihar,"AN Magadh, Gaya",BIOCHEMISTRY,AIQ,"₹ 9,000.00",425,2,"₹ 25,00,000.00","₹ 82,000.00"
Assam,"Assam Med Coll, Dibrugarh",BIOCHEMISTRY,AIQ,"₹ 27,300.00",1365,2,"₹ 20,00,000.00","₹ 55,200.00"
Madhya Pradesh,"Atal Bihari Vajpayee, Vidisha",BIOCHEMISTRY,AIQ,"₹ 1,01,500.00",300,1,"₹ 10,00,000.00","₹ 75,444.00"
Uttar Pradesh,"Auton. State Med Coll, Ayodhya",BIOCHEMISTRY,AIQ,"₹ 24,000.00",300,2,"₹ 40,00,000.00","₹ 1,10,646.00"
Maharashtra,"BJMC, Pune",BIOCHEMISTRY,AIQ,"₹ 1,57,100.00",1296,1,"₹ 50,00,000.00","₹ 93,559.00"
Karnataka,"Bangalore Med Coll, Bangalore",BIOCHEMISTRY,AIQ,"₹ 40,900.00",1993,1,"₹ 50,00,000.00","₹ 56,250.00"
West Bengal,Bankura Sammilani Med Coll,BIOCHEMISTRY,AIQ,"₹ 12,000.00",1441,3,"₹ 30,00,000.00","₹ 61,634.00"
Karnataka,"Belagavi IMS, Belagavi",BIOCHEMISTRY,AIQ,"₹ 40,900.00",1000,1,"₹ 50,00,000.00","₹ 56,250.00"
Karnataka,"Bidar IMS, Bidar",BIOCHEMISTRY,AIQ,"₹ 40,900.00",500,1,"₹ 50,00,000.00","₹ 56,250.00"
Haryana,"BPS Govt Med Coll, Sonepat",BIOCHEMISTRY,AIQ,"₹ 1,25,000.00",506,0,₹ 0.00,"₹ 1,04,346.00"
Madhya Pradesh,"Bundelkhand Med Coll, Sagar",BIOCHEMISTRY,AIQ,"₹ 1,01,500.00",750,1,"₹ 10,00,000.00","₹ 75,444.00"
West Bengal,Burdwan Medical College,BIOCHEMISTRY,AIQ,"₹ 12,000.00",1099,3,"₹ 30,00,000.00","₹ 61,634.00"
West Bengal,Calcutta National Med Coll,BIOCHEMISTRY,AIQ,"₹ 12,000.00",1470,3,"₹ 30,00,000.00","₹ 61,634.00"
Karnataka,"Chamrajanagar IMS, Karnataka",BIOCHEMISTRY,AIQ,"₹ 40,900.00",750,1,"₹ 50,00,000.00","₹ 56,250.00"
Tamil Nadu,Chengalpattu Med Coll,BIOCHEMISTRY,AIQ,"₹ 50,000.00",700,2,"₹ 40,00,000.00","₹ 54,025.00"
Chhattisgarh,"CIMS, Bilaspur",BIOCHEMISTRY,AIQ,"₹ 20,000.00",550,2,"₹ 50,00,000.00","₹ 67,500.00"
Tamil Nadu,Coimbatore Med Coll,BIOCHEMISTRY,AIQ,"₹ 50,000.00",1182,2,"₹ 40,00,000.00","₹ 54,025.00"
West Bengal,"College of Med & SDH, Kolkata",BIOCHEMISTRY,AIQ,"₹ 12,000.00",500,3,"₹ 30,00,000.00","₹ 61,634.00"
Bihar,"Darbhanga, Lehriasarai",BIOCHEMISTRY,AIQ,"₹ 9,000.00",1030,2,"₹ 25,00,000.00","₹ 82,000.00"
Uttarakhand,"Doon Med Coll, Dehradun",BIOCHEMISTRY,AIQ,"₹ 1,00,000.00",750,0,₹ 0.00,"₹ 71,257.00"
Rajasthan,"SNMC, Jodhpur",BIOCHEMISTRY,AIQ,"₹ 14,093.00",3101,2,"₹ 25,00,000.00","₹ 87,216.00"
Maharashtra,"VMMC, Solapur",BIOCHEMISTRY,AIQ,"₹ 1,57,100.00",763,1,"₹ 50,00,000.00","₹ 93,559.00"
Himachal Pradesh,"RPG, Tanda",BIOCHEMISTRY,AIQ,"₹ 24,000.00",828,2,"₹ 40,00,000.00","₹ 40,000.00"
Maharashtra,"Govt Med Coll, Nanded",BIOCHEMISTRY,AIQ,"₹ 1,57,100.00",750,1,"₹ 50,00,000.00","₹ 93,559.00"
Telangana,"ESIC Med Coll,Sanath Nagar",BIOCHEMISTRY,AIQ,"₹ 2,50,000.00",690,2,"₹ 10,00,000.00","₹ 1,30,653.00"
Karnataka,"ESI, Bangalore",BIOCHEMISTRY,AIQ,"₹ 2,50,000.00",530,2,"₹ 10,00,000.00","₹ 1,14,016.00"
Haryana,"ESIC Med Coll, Faridabad",BIOCHEMISTRY,AIQ,"₹ 2,50,000.00",625,2,"₹ 10,00,000.00","₹ 1,15,853.00"
Karnataka,"ESIC Med Coll,Gulbarga",BIOCHEMISTRY,AIQ,"₹ 2,50,000.00",480,2,"₹ 10,00,000.00","₹ 1,14,016.00"
Tamil Nadu,"ESI PGIMSR, KK Nagar, Chennai",BIOCHEMISTRY,AIQ,"₹ 2,50,000.00",470,2,"₹ 10,00,000.00","₹ 1,15,506.00"
Assam,"Fakhruddin Ali Ahmed, Barpeta",BIOCHEMISTRY,AIQ,"₹ 27,300.00",470,2,"₹ 20,00,000.00","₹ 55,200.00"
Delhi,"GB Pant IPGMER, Delhi",BIOCHEMISTRY,AIQ,"₹ 16,200.00",714,1,"₹ 20,00,000.00","₹ 1,26,927.00"
Karnataka,"Gadag IMS, Gadag",BIOCHEMISTRY,AIQ,"₹ 40,900.00",NA,1,"₹ 50,00,000.00","₹ 56,250.00"
Madhya Pradesh,"Gajra Raja Med Coll, Gwalior",BIOCHEMISTRY,AIQ,"₹ 1,01,500.00",1100,1,"₹ 10,00,000.00","₹ 75,444.00"
Madhya Pradesh,"Gandhi Med Coll, Bhopal",BIOCHEMISTRY,AIQ,"₹ 1,01,500.00",1135,1,"₹ 10,00,000.00","₹ 75,444.00"
Telangana,"Gandhi Med Coll, Secunderabad",BIOCHEMISTRY,AIQ,"₹ 15,000.00",1200,1,"₹ 20,00,000.00","₹ 67,032.00"
Assam,"Gauhati Med Coll, Guwahati",BIOCHEMISTRY,AIQ,"₹ 27,300.00",2185,2,"₹ 20,00,000.00","₹ 55,200.00"
Maharashtra,"Govt Med Coll, Akola",BIOCHEMISTRY,AIQ,"₹ 1,57,100.00",1050,1,"₹ 50,00,000.00","₹ 93,559.00"
Chhattisgarh,"Govt Med Coll, Ambikapur",BIOCHEMISTRY,AIQ,"₹ 20,000.00",785,2,"₹ 50,00,000.00","₹ 67,500.00"
Andhra Pradesh,"Govt Med Coll, Ananthapuram",BIOCHEMISTRY,AIQ,"₹ 30,000.00",500,0,₹ 0.00,"₹ 60,823.00"
Maharashtra,"GovtMedColl,ChhatrapatiSambhajiNgr",BIOCHEMISTRY,AIQ,"₹ 1,57,100.00",1177,1,"₹ 50,00,000.00","₹ 93,559.00"
Uttar Pradesh,"Govt Med Coll, Bahraich",BIOCHEMISTRY,AIQ,"₹ 24,000.00",NA,2,"₹ 40,00,000.00","₹ 1,10,646.00"
Bihar,"Govt Med Coll, Bettiah",BIOCHEMISTRY,AIQ,"₹ 9,000.00",470,2,"₹ 25,00,000.00","₹ 82,000.00"
Rajasthan,"Govt Med Coll, Bhilwara",BIOCHEMISTRY,AIQ,"₹ 89,489.00",NA,2,"₹ 25,00,000.00","₹ 87,216.00"
Chandigarh,"GMC, Chandigarh",BIOCHEMISTRY,AIQ,"₹ 34,500.00",967,0,₹ 0.00,"₹ 1,09,926.00"
Maharashtra,"Govt Med Coll, Chandrapur",BIOCHEMISTRY,AIQ,"₹ 1,57,100.00",650,1,"₹ 50,00,000.00","₹ 93,559.00"
Madhya Pradesh,"Govt Med Coll, Datia",BIOCHEMISTRY,AIQ,"₹ 1,01,500.00",540,1,"₹ 10,00,000.00","₹ 75,444.00"
Uttar Pradesh,"Govt Med Coll, Firozobad",BIOCHEMISTRY,AIQ,"₹ 24,000.00",517,2,"₹ 40,00,000.00","₹ 1,10,646.00"
Maharashtra,"Govt Med Coll, Gondia",BIOCHEMISTRY,AIQ,"₹ 1,57,100.00",500,1,"₹ 50,00,000.00","₹ 93,559.00"
Rajasthan,"Govt Med Coll, Kota",BIOCHEMISTRY,AIQ,"₹ 14,093.00",2581,2,"₹ 25,00,000.00","₹ 87,216.00"
Kerala,"Govt Med Coll, Kottayam",BIOCHEMISTRY,AIQ,"₹ 69,470.00",2094,1,"₹ 50,00,000.00","₹ 57,876.00"
Kerala,"Govt Med Coll, Kozhikode",BIOCHEMISTRY,AIQ,"₹ 69,470.00",3025,1,"₹ 50,00,000.00","₹ 57,876.00"
Telangana,"Govt Med Coll, Mahabubnagar",BIOCHEMISTRY,AIQ,"₹ 15,000.00",900,1,"₹ 20,00,000.00","₹ 67,032.00"
Maharashtra,"Govt Med Coll, Miraj",BIOCHEMISTRY,AIQ,"₹ 1,57,100.00",725,1,"₹ 50,00,000.00","₹ 93,559.00"
Maharashtra,"Govt Med Coll, Nagpur",BIOCHEMISTRY,AIQ,"₹ 1,57,100.00",1866,1,"₹ 50,00,000.00","₹ 93,559.00"
Telangana,"Govt Med Coll, Nalgonda",BIOCHEMISTRY,AIQ,"₹ 15,000.00",580,1,"₹ 20,00,000.00","₹ 67,032.00"
Telangana,"Govt Med Coll, Nizamabad",BIOCHEMISTRY,AIQ,"₹ 15,000.00",500,1,"₹ 20,00,000.00","₹ 67,032.00"
Madhya Pradesh,"Govt Med Coll, Ratlam",BIOCHEMISTRY,AIQ,"₹ 1,01,500.00",300,1,"₹ 10,00,000.00","₹ 75,444.00"
Telangana,"Govt Med Coll, Siddipet",BIOCHEMISTRY,AIQ,"₹ 15,000.00",780,1,"₹ 20,00,000.00","₹ 67,032.00"
Telangana,"Govt Med Coll, Suryapet",BIOCHEMISTRY,AIQ,"₹ 15,000.00",580,1,"₹ 20,00,000.00","₹ 67,032.00"
Kerala,"Govt Med Coll, Thrissur",BIOCHEMISTRY,AIQ,"₹ 69,470.00",1400,1,"₹ 50,00,000.00","₹ 57,876.00"
Andhra Pradesh,"Govt Siddhartha, Vijaywada",BIOCHEMISTRY,AIQ,"₹ 30,000.00",707,0,₹ 0.00,"₹ 60,823.00"
Maharashtra,"Grant Med Coll, Mumbai",BIOCHEMISTRY,AIQ,"₹ 1,57,100.00",2844,1,"₹ 50,00,000.00","₹ 93,559.00"
Karnataka,"Gulbarga IMS, Gulbarga",BIOCHEMISTRY,AIQ,"₹ 40,900.00",873,1,"₹ 50,00,000.00","₹ 56,250.00"
Andhra Pradesh,"Guntur Med Coll, Guntur",BIOCHEMISTRY,AIQ,"₹ 30,000.00",1170,0,₹ 0.00,"₹ 60,823.00"
Karnataka,"Hassan IMS, Hassan",BIOCHEMISTRY,AIQ,"₹ 40,900.00",NA,1,"₹ 50,00,000.00","₹ 56,250.00"
Bihar,"IGIMS, Patna",BIOCHEMISTRY,AIQ,"₹ 1,60,000.00",1170,0,₹ 0.00,"₹ 1,22,878.00"
Maharashtra,"Indira Gandhi MedColl, Nagpur",BIOCHEMISTRY,AIQ,"₹ 1,57,100.00",822,1,"₹ 50,00,000.00","₹ 93,559.00"
Uttar Pradesh,"IMS(BHU), Varanasi",BIOCHEMISTRY,AIQ,"₹ 48,226.00",2424,0,₹ 0.00,"₹ 1,12,054.00"
West Bengal,"IPGMER, Kolkata",BIOCHEMISTRY,AIQ,"₹ 12,000.00",2300,3,"₹ 30,00,000.00","₹ 61,634.00"
Rajasthan,"JLNMC, Ajmer",BIOCHEMISTRY,AIQ,"₹ 14,093.00",1428,2,"₹ 25,00,000.00","₹ 87,216.00"
Uttar Pradesh,"JNMC (AMU), Aligarh",BIOCHEMISTRY,AIQ,"₹ 54,700.00",1269,0,₹ 0.00,"₹ 1,14,975.00"
Bihar,"Jawaharlal Nehru, Bhagalpur",BIOCHEMISTRY,AIQ,"₹ 9,000.00",800,2,"₹ 25,00,000.00","₹ 82,000.00"
Rajasthan,"Jhalawar Med Coll, Jhalawar",BIOCHEMISTRY,AIQ,"₹ 89,489.00",NA,2,"₹ 25,00,000.00","₹ 87,216.00"
Assam,"Jorhat Med Coll, Jorhat",BIOCHEMISTRY,AIQ,"₹ 27,300.00",814,2,"₹ 20,00,000.00","₹ 55,200.00"
Tamil Nadu,"KAPV Med Coll, Trichy",BIOCHEMISTRY,AIQ,"₹ 50,000.00",2500,2,"₹ 40,00,000.00","₹ 54,025.00"
Telangana,"Kakatiya Med Coll, Warangal",BIOCHEMISTRY,AIQ,"₹ 15,000.00",1150,1,"₹ 20,00,000.00","₹ 67,032.00"
Haryana,"Kalpana Chawala Govt MC,Karnal",BIOCHEMISTRY,AIQ,"₹ 1,25,000.00",556,0,₹ 0.00,"₹ 1,04,346.00"
Karnataka,"KIMS, Hubli",BIOCHEMISTRY,AIQ,"₹ 40,900.00",1200,1,"₹ 50,00,000.00","₹ 56,250.00"
Karnataka,Karwar Inst of Med Sciences,BIOCHEMISTRY,AIQ,"₹ 40,900.00",650,1,"₹ 50,00,000.00","₹ 56,250.00"
Karnataka,"Kidwai Memorial, Bangalore",BIOCHEMISTRY,AIQ,"₹ 40,900.00",680,1,"₹ 50,00,000.00","₹ 56,250.00"
Tamil Nadu,"Kilpauk Med Coll, Chennai",BIOCHEMISTRY,AIQ,"₹ 50,000.00",1700,2,"₹ 40,00,000.00","₹ 54,025.00"
Uttar Pradesh,"KGMU, Lucknow",BIOCHEMISTRY,AIQ,"₹ 54,700.00",4500,2,"₹ 40,00,000.00","₹ 1,26,725.00"
Karnataka,Kodagu Inst of Med Sciences,BIOCHEMISTRY,AIQ,"₹ 40,900.00",600,1,"₹ 50,00,000.00","₹ 56,250.00"
Karnataka,"Koppal Inst of MS, Koppal",BIOCHEMISTRY,AIQ,"₹ 40,900.00",NA,1,"₹ 50,00,000.00","₹ 56,250.00"
Andhra Pradesh,"Kurnool Med Coll, Kurnool",BIOCHEMISTRY,AIQ,"₹ 30,000.00",1150,0,₹ 0.00,"₹ 60,823.00"
Delhi,"Lady Hardinge, Delhi",BIOCHEMISTRY,AIQ,"₹ 16,200.00",877,1,"₹ 20,00,000.00","₹ 1,26,927.00"
Chhattisgarh,"Lakhi Ram Agrawal, Raigarh",BIOCHEMISTRY,AIQ,"₹ 20,000.00",650,2,"₹ 50,00,000.00","₹ 67,500.00"
Uttar Pradesh,"LLRM Med Coll, Meerut",BIOCHEMISTRY,AIQ,"₹ 24,000.00",1090,2,"₹ 40,00,000.00","₹ 1,10,646.00"
Maharashtra,"Lokmanya Tilak, Sion, Mumbai",BIOCHEMISTRY,AIQ,"₹ 1,57,100.00",1462,1,"₹ 50,00,000.00","₹ 93,559.00"
Madhya Pradesh,"MGM Med Coll, Indore",BIOCHEMISTRY,AIQ,"₹ 1,01,500.00",1300,1,"₹ 10,00,000.00","₹ 75,444.00"
Tamil Nadu,"Madras Med Coll, Chennai",BIOCHEMISTRY,AIQ,"₹ 50,000.00",7285,2,"₹ 40,00,000.00","₹ 54,025.00"
Tamil Nadu,"Madurai Med Coll, Madurai",BIOCHEMISTRY,AIQ,"₹ 50,000.00",3518,2,"₹ 40,00,000.00","₹ 54,025.00"
Maharashtra,"MGIMS, Wardha",BIOCHEMISTRY,AIQ,"₹ 1,57,100.00",1000,1,"₹ 50,00,000.00","₹ 93,559.00"
Karnataka,"Mandya IMS, Mandya",BIOCHEMISTRY,AIQ,"₹ 40,900.00",910,1,"₹ 50,00,000.00","₹ 56,250.00"
Delhi,"MAMC, Delhi",BIOCHEMISTRY,AIQ,"₹ 16,200.00",2800,1,"₹ 20,00,000.00","₹ 1,32,336.00"
West Bengal,"Govt. Med College, Kolkata",BIOCHEMISTRY,AIQ,"₹ 12,000.00",2668,3,"₹ 30,00,000.00","₹ 61,634.00"
Kerala,"Medical College, Trivandrum",BIOCHEMISTRY,AIQ,"₹ 69,470.00",2126,1,"₹ 50,00,000.00","₹ 57,876.00"
Odisha,"MKCG, Berhampur",BIOCHEMISTRY,AIQ,"₹ 35,000.00",1140,2,"₹ 68,05,464.00","₹ 91,042.00"
Tamil Nadu,"Govt. Mohan Kumaramangalam, Salem",BIOCHEMISTRY,AIQ,"₹ 50,000.00",1642,2,"₹ 40,00,000.00","₹ 54,025.00"
West Bengal,Murshidabad Med Coll,BIOCHEMISTRY,AIQ,"₹ 12,000.00",1208,3,"₹ 30,00,000.00","₹ 61,634.00"
Karnataka,"Mysore Med Coll, Mysore",BIOCHEMISTRY,AIQ,"₹ 40,900.00",1050,1,"₹ 50,00,000.00","₹ 56,250.00"
Bihar,"Nalanda Med Coll, Patna",BIOCHEMISTRY,AIQ,"₹ 9,000.00",750,2,"₹ 25,00,000.00","₹ 82,000.00"
Madhya Pradesh,"NSC Bose Med Coll, Jabalpur",BIOCHEMISTRY,AIQ,"₹ 1,01,500.00",1150,1,"₹ 10,00,000.00","₹ 75,444.00"
West Bengal,"Nilratan Sircar, Kolkata",BIOCHEMISTRY,AIQ,"₹ 12,000.00",1920,3,"₹ 30,00,000.00","₹ 61,634.00"
West Bengal,"NBMC, Darjeeling",BIOCHEMISTRY,AIQ,"₹ 12,000.00",843,3,"₹ 30,00,000.00","₹ 61,634.00"
Meghalaya,"NEIGRIHMS, Shillong",BIOCHEMISTRY,AIQ,"₹ 16,300.00",594,0,₹ 0.00,"₹ 1,25,000.00"
Telangana,"Osmania Med Coll, Hyderabad",BIOCHEMISTRY,AIQ,"₹ 15,000.00",4800,1,"₹ 20,00,000.00","₹ 67,032.00"
Bihar,"Patna Med Coll, Patna",BIOCHEMISTRY,AIQ,"₹ 9,000.00",1748,2,"₹ 25,00,000.00","₹ 82,000.00"
Delhi,"ABVIMS (Dr RML Hosp), Delhi",BIOCHEMISTRY,AIQ,"₹ 51,000.00",1626,1,"₹ 20,00,000.00","₹ 1,36,008.00"
Haryana,"Pt BD Sharma, Rohtak",BIOCHEMISTRY,AIQ,"₹ 1,25,000.00",2080,0,₹ 0.00,"₹ 1,04,346.00"
Chhattisgarh,"Pt JNM Med Coll, Raipur",BIOCHEMISTRY,AIQ,"₹ 20,000.00",1246,2,"₹ 50,00,000.00","₹ 67,500.00"
Rajasthan,"RNT, Udaipur",BIOCHEMISTRY,AIQ,"₹ 14,093.00",2206,2,"₹ 25,00,000.00","₹ 87,216.00"
